section,category,metric,type,date,value,publish_date,ObjectId
County-level Data,"Doses Administered per 100,000 People",Bent County,"Rate per 100,000",,5846.843739,01/29/2021,1
County-level Data,"Doses Administered per 100,000 People",Boulder County,"Rate per 100,000",,10275.58044,01/29/2021,2
County-level Data,"Doses Administered per 100,000 People",Broomfield County,"Rate per 100,000",,11867.95173,01/29/2021,3
County-level Data,"Doses Administered per 100,000 People",Chaffee County,"Rate per 100,000",,16841.0196,01/29/2021,4
County-level Data,"Doses Administered per 100,000 People",Cheyenne County,"Rate per 100,000",,10082.19178,01/29/2021,5
County-level Data,"Doses Administered per 100,000 People",Clear Creek County,"Rate per 100,000",,7864.476386,01/29/2021,6
County-level Data,"Doses Administered per 100,000 People",Conejos County,"Rate per 100,000",,9729.199853,01/29/2021,7
County-level Data,"Doses Administered per 100,000 People",Costilla County,"Rate per 100,000",,15676.65289,01/29/2021,8
County-level Data,"Doses Administered per 100,000 People",Crowley County,"Rate per 100,000",,6167.108753,01/29/2021,9
County-level Data,"Doses Administered per 100,000 People",Custer County,"Rate per 100,000",,15121.56553,01/29/2021,10
County-level Data,"Doses Administered per 100,000 People",Delta County,"Rate per 100,000",,8658.133641,01/29/2021,11
County-level Data,"Doses Administered per 100,000 People",Denver County,"Rate per 100,000",,10303.34362,01/29/2021,12
County-level Data,"Doses Administered per 100,000 People",Dolores County,"Rate per 100,000",,12469.31762,01/29/2021,13
County-level Data,"Doses Administered per 100,000 People",Douglas County,"Rate per 100,000",,9037.971371,01/29/2021,14
County-level Data,"Doses Administered per 100,000 People",Eagle County,"Rate per 100,000",,14145.63283,01/29/2021,15
County-level Data,"Doses Administered per 100,000 People",El Paso County,"Rate per 100,000",,6528.367749,01/29/2021,16
County-level Data,"Doses Administered per 100,000 People",Elbert County,"Rate per 100,000",,3904.669115,01/29/2021,17
County-level Data,"Doses Administered per 100,000 People",Fremont County,"Rate per 100,000",,9339.909749,01/29/2021,18
County-level Data,"Doses Administered per 100,000 People",Garfield County,"Rate per 100,000",,13465.62957,01/29/2021,19
County-level Data,"Doses Administered per 100,000 People",Gilpin County,"Rate per 100,000",,8109.412711,01/29/2021,20
County-level Data,"Doses Administered per 100,000 People",Grand County,"Rate per 100,000",,8111.719048,01/29/2021,21
County-level Data,"Doses Administered per 100,000 People",Gunnison County,"Rate per 100,000",,15444.41269,01/29/2021,22
County-level Data,"Doses Administered per 100,000 People",Hinsdale County,"Rate per 100,000",,25396.8254,01/29/2021,23
County-level Data,"Doses Administered per 100,000 People",Huerfano County,"Rate per 100,000",,14735.92063,01/29/2021,24
County-level Data,"Doses Administered per 100,000 People",Jackson County,"Rate per 100,000",,9761.388286,01/29/2021,25
County-level Data,"Doses Administered per 100,000 People",Jefferson County,"Rate per 100,000",,10673.30268,01/29/2021,26
County-level Data,"Doses Administered per 100,000 People",Kiowa County,"Rate per 100,000",,20788.53047,01/29/2021,27
County-level Data,"Doses Administered per 100,000 People",Kit Carson County,"Rate per 100,000",,10311.44781,01/29/2021,28
County-level Data,"Doses Administered per 100,000 People",La Plata County,"Rate per 100,000",,12590.63122,01/29/2021,29
County-level Data,"Doses Administered per 100,000 People",Lake County,"Rate per 100,000",,11582.72491,01/29/2021,30
County-level Data,"Doses Administered per 100,000 People",Larimer County,"Rate per 100,000",,9964.195463,01/29/2021,31
County-level Data,"Doses Administered per 100,000 People",Las Animas County,"Rate per 100,000",,16994.4111,01/29/2021,32
County-level Data,"Doses Administered per 100,000 People",Lincoln County,"Rate per 100,000",,10857.34364,01/29/2021,33
County-level Data,"Doses Administered per 100,000 People",Logan County,"Rate per 100,000",,9747.193575,01/29/2021,34
County-level Data,"Doses Administered per 100,000 People",Mesa County,"Rate per 100,000",,7304.447729,01/29/2021,35
County-level Data,"Doses Administered per 100,000 People",Mineral County,"Rate per 100,000",,30366.49215,01/29/2021,36
County-level Data,"Doses Administered per 100,000 People",Moffat County,"Rate per 100,000",,11364.32237,01/29/2021,37
County-level Data,"Doses Administered per 100,000 People",Montezuma County,"Rate per 100,000",,13891.43731,01/29/2021,38
County-level Data,"Doses Administered per 100,000 People",Montrose County,"Rate per 100,000",,7085.233251,01/29/2021,39
County-level Data,"Doses Administered per 100,000 People",Morgan County,"Rate per 100,000",,7183.27353,01/29/2021,40
County-level Data,"Doses Administered per 100,000 People",Otero County,"Rate per 100,000",,13172.14594,01/29/2021,41
County-level Data,"Doses Administered per 100,000 People",Other,"Rate per 100,000",,,01/29/2021,42
County-level Data,"Doses Administered per 100,000 People",Ouray County,"Rate per 100,000",,12728.00973,01/29/2021,43
County-level Data,"Doses Administered per 100,000 People",Park County,"Rate per 100,000",,6458.289111,01/29/2021,44
County-level Data,"Doses Administered per 100,000 People",Phillips County,"Rate per 100,000",,16643.29126,01/29/2021,45
County-level Data,"Doses Administered per 100,000 People",Pitkin County,"Rate per 100,000",,12677.40482,01/29/2021,46
County-level Data,"Doses Administered per 100,000 People",Prowers County,"Rate per 100,000",,10468.56954,01/29/2021,47
County-level Data,"Doses Administered per 100,000 People",Pueblo County,"Rate per 100,000",,10535.36375,01/29/2021,48
County-level Data,"Doses Administered per 100,000 People",Rio Blanco County,"Rate per 100,000",,11209.76693,01/29/2021,49
County-level Data,"Doses Administered per 100,000 People",Rio Grande County,"Rate per 100,000",,15696.74319,01/29/2021,50
County-level Data,Doses Administered,Pitkin County,Count,,1257,01/28/2021,51
County-level Data,Doses Administered,Prowers County,Count,,1185,01/28/2021,52
County-level Data,Doses Administered,Pueblo County,Count,,16230,01/28/2021,53
County-level Data,Doses Administered,Rio Blanco County,Count,,705,01/28/2021,54
County-level Data,Doses Administered,Rio Grande County,Count,,1748,01/28/2021,55
County-level Data,Doses Administered,Routt County,Count,,3402,01/28/2021,56
County-level Data,Doses Administered,Saguache County,Count,,581,01/28/2021,57
County-level Data,Doses Administered,San Juan County,Count,,297,01/28/2021,58
County-level Data,Doses Administered,San Miguel County,Count,,972,01/28/2021,59
County-level Data,Doses Administered,Sedgwick County,Count,,701,01/28/2021,60
County-level Data,Doses Administered,Summit County,Count,,4314,01/28/2021,61
County-level Data,Doses Administered,Teller County,Count,,1962,01/28/2021,62
County-level Data,Doses Administered,Washington County,Count,,357,01/28/2021,63
County-level Data,Doses Administered,Weld County,Count,,25051,01/28/2021,64
County-level Data,Doses Administered,Yuma County,Count,,1412,01/28/2021,65
County-level Data,"Doses Administered per 100,000 People",Adams County,"Rate per 100,000",,7121.658283,01/28/2021,66
County-level Data,"Doses Administered per 100,000 People",Alamosa County,"Rate per 100,000",,13664.17403,01/28/2021,67
County-level Data,"Doses Administered per 100,000 People",Arapahoe County,"Rate per 100,000",,7911.123562,01/28/2021,68
County-level Data,"Doses Administered per 100,000 People",Archuleta County,"Rate per 100,000",,15612.05542,01/28/2021,69
County-level Data,"Doses Administered per 100,000 People",Baca County,"Rate per 100,000",,15354.33071,01/28/2021,70
County-level Data,"Doses Administered per 100,000 People",Bent County,"Rate per 100,000",,5191.445326,01/28/2021,71
County-level Data,"Doses Administered per 100,000 People",Boulder County,"Rate per 100,000",,9744.3484,01/28/2021,72
County-level Data,"Doses Administered per 100,000 People",Broomfield County,"Rate per 100,000",,11459.54043,01/28/2021,73
County-level Data,"Doses Administered per 100,000 People",Chaffee County,"Rate per 100,000",,16752.61529,01/28/2021,74
County-level Data,"Doses Administered per 100,000 People",Cheyenne County,"Rate per 100,000",,9917.808219,01/28/2021,75
County-level Data,"Doses Administered per 100,000 People",Clear Creek County,"Rate per 100,000",,7792.607803,01/28/2021,76
County-level Data,"Doses Administered per 100,000 People",Conejos County,"Rate per 100,000",,8638.647225,01/28/2021,77
County-level Data,"Doses Administered per 100,000 People",Costilla County,"Rate per 100,000",,14798.55372,01/28/2021,78
County-level Data,"Doses Administered per 100,000 People",Crowley County,"Rate per 100,000",,6001.32626,01/28/2021,79
County-level Data,"Doses Administered per 100,000 People",Custer County,"Rate per 100,000",,15022.73177,01/28/2021,80
County-level Data,"Doses Administered per 100,000 People",Delta County,"Rate per 100,000",,8115.997819,01/28/2021,81
County-level Data,"Doses Administered per 100,000 People",Denver County,"Rate per 100,000",,10023.73707,01/28/2021,82
County-level Data,"Doses Administered per 100,000 People",Dolores County,"Rate per 100,000",,12469.31762,01/28/2021,83
County-level Data,"Doses Administered per 100,000 People",Douglas County,"Rate per 100,000",,8711.681573,01/28/2021,84
County-level Data,"Doses Administered per 100,000 People",Eagle County,"Rate per 100,000",,13796.98565,01/28/2021,85
County-level Data,"Doses Administered per 100,000 People",El Paso County,"Rate per 100,000",,6234.524072,01/28/2021,86
County-level Data,"Doses Administered per 100,000 People",Elbert County,"Rate per 100,000",,3657.348422,01/28/2021,87
County-level Data,"Doses Administered per 100,000 People",Fremont County,"Rate per 100,000",,8981.005352,01/28/2021,88
County-level Data,"Doses Administered per 100,000 People",Garfield County,"Rate per 100,000",,12106.10291,01/28/2021,89
County-level Data,"Doses Administered per 100,000 People",Gilpin County,"Rate per 100,000",,7691.069992,01/28/2021,90
County-level Data,"Doses Administered per 100,000 People",Grand County,"Rate per 100,000",,7838.147347,01/28/2021,91
County-level Data,"Doses Administered per 100,000 People",Gunnison County,"Rate per 100,000",,15210.06002,01/28/2021,92
County-level Data,"Doses Administered per 100,000 People",Hinsdale County,"Rate per 100,000",,22832.72283,01/28/2021,93
County-level Data,"Doses Administered per 100,000 People",Huerfano County,"Rate per 100,000",,14341.99008,01/28/2021,94
County-level Data,"Doses Administered per 100,000 People",Jackson County,"Rate per 100,000",,9761.388286,01/28/2021,95
County-level Data,"Doses Administered per 100,000 People",Jefferson County,"Rate per 100,000",,10251.40589,01/28/2021,96
County-level Data,"Doses Administered per 100,000 People",Kiowa County,"Rate per 100,000",,20430.10753,01/28/2021,97
County-level Data,"Doses Administered per 100,000 People",Kit Carson County,"Rate per 100,000",,9806.397306,01/28/2021,98
County-level Data,"Doses Administered per 100,000 People",La Plata County,"Rate per 100,000",,11666.54819,01/28/2021,99
County-level Data,"Doses Administered per 100,000 People",Lake County,"Rate per 100,000",,11496.10197,01/28/2021,100
County-level Data,Doses Administered,Mineral County,Count,,232,01/30/2021,101
County-level Data,"Doses Administered per 100,000 People",Larimer County,"Rate per 100,000",,9533.028145,01/28/2021,102
County-level Data,Doses Administered,Adams County,Count,,36882,01/28/2021,103
County-level Data,Doses Administered,El Paso County,Count,,47167,01/29/2021,104
County-level Data,Doses Administered,Elbert County,Count,,1042,01/29/2021,105
County-level Data,Doses Administered,Fremont County,Count,,4450,01/29/2021,106
County-level Data,Doses Administered,Garfield County,Count,,8102,01/29/2021,107
County-level Data,Doses Administered,Gilpin County,Count,,504,01/29/2021,108
County-level Data,Doses Administered,Grand County,Count,,1275,01/29/2021,109
County-level Data,Doses Administered,Gunnison County,Count,,2702,01/29/2021,110
County-level Data,Doses Administered,Hinsdale County,Count,,208,01/29/2021,111
County-level Data,Doses Administered,Huerfano County,Count,,1010,01/29/2021,112
County-level Data,Doses Administered,Jackson County,Count,,135,01/29/2021,113
County-level Data,Doses Administered,Jefferson County,Count,,62234,01/29/2021,114
County-level Data,Doses Administered,Kiowa County,Count,,290,01/29/2021,115
County-level Data,Doses Administered,Kit Carson County,Count,,735,01/29/2021,116
County-level Data,Doses Administered,La Plata County,Count,,7085,01/29/2021,117
County-level Data,Doses Administered,Lake County,Count,,936,01/29/2021,118
County-level Data,Doses Administered,Larimer County,Count,,35566,01/29/2021,119
County-level Data,Doses Administered,Las Animas County,Count,,2463,01/29/2021,120
County-level Data,Doses Administered,Lincoln County,Count,,618,01/29/2021,121
County-level Data,Doses Administered,Logan County,Count,,2136,01/29/2021,122
County-level Data,Doses Administered,Mesa County,Count,,11317,01/29/2021,123
County-level Data,Doses Administered,Mineral County,Count,,232,01/29/2021,124
County-level Data,Doses Administered,Moffat County,Count,,1506,01/29/2021,125
County-level Data,Doses Administered,Montezuma County,Count,,3634,01/29/2021,126
County-level Data,Doses Administered,Montrose County,Count,,3030,01/29/2021,127
County-level Data,Doses Administered,Morgan County,Count,,2082,01/29/2021,128
County-level Data,Doses Administered,Otero County,Count,,2408,01/29/2021,129
County-level Data,Doses Administered,Other,Count,,8747,01/29/2021,130
County-level Data,Doses Administered,Ouray County,Count,,628,01/29/2021,131
County-level Data,Doses Administered,Park County,Count,,1217,01/29/2021,132
County-level Data,Doses Administered,Phillips County,Count,,712,01/29/2021,133
County-level Data,Doses Administered,Pitkin County,Count,,2251,01/29/2021,134
County-level Data,Doses Administered,Prowers County,Count,,1269,01/29/2021,135
County-level Data,Doses Administered,Pueblo County,Count,,17711,01/29/2021,136
County-level Data,Doses Administered,Rio Blanco County,Count,,707,01/29/2021,137
County-level Data,Doses Administered,Rio Grande County,Count,,1764,01/29/2021,138
County-level Data,Doses Administered,Routt County,Count,,3619,01/29/2021,139
County-level Data,Doses Administered,Saguache County,Count,,587,01/29/2021,140
County-level Data,Doses Administered,San Juan County,Count,,297,01/29/2021,141
County-level Data,Doses Administered,San Miguel County,Count,,975,01/29/2021,142
County-level Data,Doses Administered,Sedgwick County,Count,,782,01/29/2021,143
County-level Data,Doses Administered,Summit County,Count,,4408,01/29/2021,144
County-level Data,Doses Administered,Teller County,Count,,2020,01/29/2021,145
County-level Data,Doses Administered,Washington County,Count,,365,01/29/2021,146
County-level Data,Doses Administered,Weld County,Count,,26261,01/29/2021,147
County-level Data,Doses Administered,Yuma County,Count,,1513,01/29/2021,148
County-level Data,"Doses Administered per 100,000 People",Adams County,"Rate per 100,000",,7377.892775,01/29/2021,149
County-level Data,"Doses Administered per 100,000 People",Alamosa County,"Rate per 100,000",,14090.60009,01/29/2021,150
County-level Data,"Doses Administered per 100,000 People",Arapahoe County,"Rate per 100,000",,8206.18067,01/29/2021,151
County-level Data,"Doses Administered per 100,000 People",Archuleta County,"Rate per 100,000",,15747.75032,01/29/2021,152
County-level Data,"Doses Administered per 100,000 People",Baca County,"Rate per 100,000",,15410.57368,01/29/2021,153
County-level Data,Doses Administered,Alamosa County,Count,,2211,01/28/2021,154
County-level Data,Doses Administered,Arapahoe County,Count,,51962,01/28/2021,155
County-level Data,Doses Administered,Archuleta County,Count,,2186,01/28/2021,156
County-level Data,Doses Administered,Baca County,Count,,546,01/28/2021,157
County-level Data,Doses Administered,Bent County,Count,,301,01/28/2021,158
County-level Data,Doses Administered,Boulder County,Count,,31880,01/28/2021,159
County-level Data,Doses Administered,Broomfield County,Count,,8109,01/28/2021,160
County-level Data,Doses Administered,Chaffee County,Count,,3411,01/28/2021,161
County-level Data,Doses Administered,Cheyenne County,Count,,181,01/28/2021,162
County-level Data,Doses Administered,Clear Creek County,Count,,759,01/28/2021,163
County-level Data,Doses Administered,Conejos County,Count,,705,01/28/2021,164
County-level Data,Doses Administered,Costilla County,Count,,573,01/28/2021,165
County-level Data,Doses Administered,Crowley County,Count,,362,01/28/2021,166
County-level Data,Doses Administered,Custer County,Count,,760,01/28/2021,167
County-level Data,Doses Administered,Delta County,Count,,2530,01/28/2021,168
County-level Data,Doses Administered,Denver County,Count,,73097,01/28/2021,169
County-level Data,Doses Administered,Dolores County,Count,,254,01/28/2021,170
County-level Data,Doses Administered,Douglas County,Count,,30624,01/28/2021,171
County-level Data,Doses Administered,Eagle County,Count,,7598,01/28/2021,172
County-level Data,Doses Administered,El Paso County,Count,,45044,01/28/2021,173
County-level Data,Doses Administered,Elbert County,Count,,976,01/28/2021,174
County-level Data,Doses Administered,Fremont County,Count,,4279,01/28/2021,175
County-level Data,Doses Administered,Garfield County,Count,,7284,01/28/2021,176
County-level Data,Doses Administered,Gilpin County,Count,,478,01/28/2021,177
County-level Data,Doses Administered,Grand County,Count,,1232,01/28/2021,178
County-level Data,Doses Administered,Gunnison County,Count,,2661,01/28/2021,179
County-level Data,Doses Administered,Hinsdale County,Count,,187,01/28/2021,180
County-level Data,Doses Administered,Huerfano County,Count,,983,01/28/2021,181
County-level Data,Doses Administered,Jackson County,Count,,135,01/28/2021,182
County-level Data,Doses Administered,Jefferson County,Count,,59774,01/28/2021,183
County-level Data,Doses Administered,Kiowa County,Count,,285,01/28/2021,184
County-level Data,Doses Administered,Kit Carson County,Count,,699,01/28/2021,185
County-level Data,Doses Administered,La Plata County,Count,,6565,01/28/2021,186
County-level Data,Doses Administered,Lake County,Count,,929,01/28/2021,187
County-level Data,Doses Administered,Larimer County,Count,,34027,01/28/2021,188
County-level Data,Doses Administered,Las Animas County,Count,,2306,01/28/2021,189
County-level Data,Doses Administered,Lincoln County,Count,,587,01/28/2021,190
County-level Data,Doses Administered,Logan County,Count,,1947,01/28/2021,191
County-level Data,Doses Administered,Mesa County,Count,,10893,01/28/2021,192
County-level Data,Doses Administered,Mineral County,Count,,216,01/28/2021,193
County-level Data,Doses Administered,Moffat County,Count,,1443,01/28/2021,194
County-level Data,Doses Administered,Montezuma County,Count,,3541,01/28/2021,195
County-level Data,Doses Administered,Montrose County,Count,,2873,01/28/2021,196
County-level Data,Doses Administered,Morgan County,Count,,2016,01/28/2021,197
County-level Data,Doses Administered,Otero County,Count,,2295,01/28/2021,198
County-level Data,Doses Administered,Other,Count,,8362,01/28/2021,199
County-level Data,Doses Administered,Ouray County,Count,,550,01/28/2021,200
County-level Data,Doses Administered,Park County,Count,,1195,01/28/2021,201
County-level Data,Doses Administered,Phillips County,Count,,684,01/28/2021,202
County-level Data,"Doses Administered per 100,000 People",Las Animas County,"Rate per 100,000",,15911.12951,01/28/2021,203
County-level Data,Doses Administered,Moffat County,Count,,1540,01/30/2021,204
County-level Data,Doses Administered,Montezuma County,Count,,3773,01/30/2021,205
County-level Data,Doses Administered,Montrose County,Count,,3112,01/30/2021,206
County-level Data,Doses Administered,Morgan County,Count,,2095,01/30/2021,207
County-level Data,Doses Administered,Otero County,Count,,2506,01/30/2021,208
County-level Data,Doses Administered,Other,Count,,9043,01/30/2021,209
County-level Data,Doses Administered,Ouray County,Count,,636,01/30/2021,210
County-level Data,Doses Administered,Park County,Count,,1249,01/30/2021,211
County-level Data,Doses Administered,Phillips County,Count,,740,01/30/2021,212
County-level Data,Doses Administered,Pitkin County,Count,,2325,01/30/2021,213
County-level Data,Doses Administered,Prowers County,Count,,1307,01/30/2021,214
County-level Data,Doses Administered,Pueblo County,Count,,18980,01/30/2021,215
County-level Data,Doses Administered,Rio Blanco County,Count,,707,01/30/2021,216
County-level Data,Doses Administered,Rio Grande County,Count,,1830,01/30/2021,217
County-level Data,Doses Administered,Routt County,Count,,3885,01/30/2021,218
County-level Data,Doses Administered,Saguache County,Count,,591,01/30/2021,219
County-level Data,Doses Administered,San Juan County,Count,,308,01/30/2021,220
County-level Data,Doses Administered,San Miguel County,Count,,976,01/30/2021,221
County-level Data,Doses Administered,Sedgwick County,Count,,782,01/30/2021,222
County-level Data,Doses Administered,Summit County,Count,,4543,01/30/2021,223
County-level Data,Doses Administered,Teller County,Count,,2240,01/30/2021,224
County-level Data,Doses Administered,Washington County,Count,,367,01/30/2021,225
County-level Data,Doses Administered,Weld County,Count,,27354,01/30/2021,226
County-level Data,Doses Administered,Yuma County,Count,,1536,01/30/2021,227
County-level Data,"Doses Administered per 100,000 People",Adams County,"Rate per 100,000",,7713.488516,01/30/2021,228
County-level Data,"Doses Administered per 100,000 People",Alamosa County,"Rate per 100,000",,15073.23404,01/30/2021,229
County-level Data,"Doses Administered per 100,000 People",Arapahoe County,"Rate per 100,000",,8538.386351,01/30/2021,230
County-level Data,"Doses Administered per 100,000 People",Archuleta County,"Rate per 100,000",,19997.14327,01/30/2021,231
County-level Data,"Doses Administered per 100,000 People",Baca County,"Rate per 100,000",,15466.81665,01/30/2021,232
County-level Data,"Doses Administered per 100,000 People",Bent County,"Rate per 100,000",,6071.058986,01/30/2021,233
County-level Data,"Doses Administered per 100,000 People",Boulder County,"Rate per 100,000",,10612.41457,01/30/2021,234
County-level Data,"Doses Administered per 100,000 People",Broomfield County,"Rate per 100,000",,12232.5542,01/30/2021,235
County-level Data,"Doses Administered per 100,000 People",Chaffee County,"Rate per 100,000",,17243.75031,01/30/2021,236
County-level Data,"Doses Administered per 100,000 People",Cheyenne County,"Rate per 100,000",,10136.9863,01/30/2021,237
