section,category,metric,type,date,value,publish_date,ObjectId
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,,200877,01/09/2021,1
State Data,Cumulative counts to date,People Immunized with One Dose,,,173042,01/09/2021,2
State Data,Cumulative counts to date,People Immunized with Two Doses,,,27785,01/09/2021,3
State Data,Cumulative counts to date,Total Vaccine Providers,,,360,01/09/2021,4
State Metrics,Vaccinations,Immunized Yesterday,Moderna,,8728,01/09/2021,5
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,,-247,01/09/2021,6
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,,12432,01/09/2021,7
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,,-682,01/09/2021,8
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,,0,01/09/2021,9
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,,0,01/09/2021,10
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,,0,01/09/2021,11
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,,0,01/09/2021,12
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Unspecified COVID Vaccine,,0,01/09/2021,13
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,,217250,01/10/2021,14
State Data,Cumulative counts to date,People Immunized with One Dose,,,183323,01/10/2021,15
State Data,Cumulative counts to date,People Immunized with Two Doses,,,33878,01/10/2021,16
State Data,Cumulative counts to date,Total Vaccine Providers,,,378,01/10/2021,17
State Metrics,Vaccinations,Immunized Yesterday,Moderna,,4199,01/10/2021,18
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,,-6140,01/10/2021,19
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,,5559,01/10/2021,20
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,,-8797,01/10/2021,21
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,,0,01/10/2021,22
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,,0,01/10/2021,23
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,,0,01/10/2021,24
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,,0,01/10/2021,25
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Unspecified COVID Vaccine,,0,01/10/2021,26
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,,223488,01/11/2021,27
State Data,Cumulative counts to date,People Immunized with One Dose,,,187641,01/11/2021,28
State Data,Cumulative counts to date,People Immunized with Two Doses,,,35798,01/11/2021,29
State Data,Cumulative counts to date,Total Vaccine Providers,,,386,01/11/2021,30
State Metrics,Vaccinations,Immunized Yesterday,Moderna,,462,01/11/2021,31
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,,-4463,01/11/2021,32
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,,1802,01/11/2021,33
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,,-4637,01/11/2021,34
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,,0,01/11/2021,35
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,,0,01/11/2021,36
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,,0,01/11/2021,37
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,,0,01/11/2021,38
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Unspecified COVID Vaccine,,0,01/11/2021,39
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,,238766,01/12/2021,40
State Data,Cumulative counts to date,People Immunized with One Dose,,,198086,01/12/2021,41
State Data,Cumulative counts to date,People Immunized with Two Doses,,,40618,01/12/2021,42
