Data as of,Start Date,End Date,Group,Year,Month,MMWR Week,Week Ending Date,State,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
02/19/2021,12/29/2019,01/04/2020,By Week,2019/2020,,1,01/04/2020,United States,5,60172,98,4109,5,434,4543,
02/19/2021,01/05/2020,01/11/2020,By Week,2020,,2,01/11/2020,United States,3,60721,97,4152,0,474,4629,
02/19/2021,01/12/2020,01/18/2020,By Week,2020,,3,01/18/2020,United States,4,59349,97,4063,2,467,4532,
02/19/2021,01/19/2020,01/25/2020,By Week,2020,,4,01/25/2020,United States,4,59147,99,3917,1,499,4419,
02/19/2021,01/26/2020,02/01/2020,By Week,2020,,5,02/01/2020,United States,1,58807,99,3816,1,481,4297,
02/19/2021,02/02/2020,02/08/2020,By Week,2020,,6,02/08/2020,United States,2,59376,99,3813,1,521,4335,
02/19/2021,02/09/2020,02/15/2020,By Week,2020,,7,02/15/2020,United States,0,58791,100,3842,0,561,4403,
02/19/2021,02/16/2020,02/22/2020,By Week,2020,,8,02/22/2020,United States,5,58869,101,3713,2,566,4282,
02/19/2021,02/23/2020,02/29/2020,By Week,2020,,9,02/29/2020,United States,9,59279,103,3833,5,655,4492,
02/19/2021,03/01/2020,03/07/2020,By Week,2020,,10,03/07/2020,United States,35,59640,103,3973,17,636,4626,
02/19/2021,03/08/2020,03/14/2020,By Week,2020,,11,03/14/2020,United States,57,58639,103,3971,29,627,4625,
02/19/2021,03/15/2020,03/21/2020,By Week,2020,,12,03/21/2020,United States,575,59172,104,4547,251,559,5423,
02/19/2021,03/22/2020,03/28/2020,By Week,2020,,13,03/28/2020,United States,3176,62980,113,6184,1434,445,8320,
02/19/2021,03/29/2020,04/04/2020,By Week,2020,,14,04/04/2020,United States,10070,72259,129,9930,4769,478,15474,
02/19/2021,04/05/2020,04/11/2020,By Week,2020,,15,04/11/2020,United States,16236,79052,143,12007,7237,473,21140,
02/19/2021,04/12/2020,04/18/2020,By Week,2020,,16,04/18/2020,United States,17105,76752,142,11405,7316,265,21270,
02/19/2021,04/19/2020,04/25/2020,By Week,2020,,17,04/25/2020,United States,15482,73871,138,10388,6614,144,19303,
02/19/2021,04/26/2020,05/02/2020,By Week,2020,,18,05/02/2020,United States,13179,69267,129,8948,5518,65,16654,
02/19/2021,05/03/2020,05/09/2020,By Week,2020,,19,05/09/2020,United States,11208,66777,127,7833,4713,48,14366,
02/19/2021,05/10/2020,05/16/2020,By Week,2020,,20,05/16/2020,United States,9195,64441,123,6778,3783,22,12209,
02/19/2021,05/17/2020,05/23/2020,By Week,2020,,21,05/23/2020,United States,7211,61581,118,5899,2977,24,10152,
02/19/2021,05/24/2020,05/30/2020,By Week,2020,,22,05/30/2020,United States,6148,59637,115,5280,2488,12,8952,
02/19/2021,05/31/2020,06/06/2020,By Week,2020,,23,06/06/2020,United States,5026,58840,112,4899,2150,11,7786,
02/19/2021,06/07/2020,06/13/2020,By Week,2020,,24,06/13/2020,United States,4220,57988,112,4543,1861,11,6910,
02/19/2021,06/14/2020,06/20/2020,By Week,2020,,25,06/20/2020,United States,3827,57949,112,4367,1605,8,6596,
02/19/2021,06/21/2020,06/27/2020,By Week,2020,,26,06/27/2020,United States,3814,58443,114,4269,1555,12,6539,
02/19/2021,06/28/2020,07/04/2020,By Week,2020,,27,07/04/2020,United States,4523,59765,115,4563,2003,5,7085,
02/19/2021,07/05/2020,07/11/2020,By Week,2020,,28,07/11/2020,United States,5752,61863,121,5535,2708,10,8588,
02/19/2021,07/12/2020,07/18/2020,By Week,2020,,29,07/18/2020,United States,7163,63098,124,6185,3448,13,9910,
02/19/2021,07/19/2020,07/25/2020,By Week,2020,,30,07/25/2020,United States,8197,64165,127,6754,3956,11,11001,
02/19/2021,07/26/2020,08/01/2020,By Week,2020,,31,08/01/2020,United States,8267,64135,126,6839,4067,13,11045,
02/19/2021,08/02/2020,08/08/2020,By Week,2020,,32,08/08/2020,United States,7826,63642,124,6809,3975,9,10666,
02/19/2021,08/09/2020,08/15/2020,By Week,2020,,33,08/15/2020,United States,7216,63548,126,6506,3668,5,10056,
