Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
07/24/2020,02/01/2020,02/01/2020,By week,United States,Week-ending,0,58413,0.98,3783,0,479,4262,
07/24/2020,02/08/2020,02/08/2020,By week,United States,Week-ending,1,59175,0.99,3786,0,520,4307,
07/24/2020,02/15/2020,02/15/2020,By week,United States,Week-ending,0,58453,0.99,3812,0,554,4366,
07/24/2020,02/22/2020,02/22/2020,By week,United States,Week-ending,5,58532,1.01,3673,1,563,4240,
07/24/2020,02/29/2020,02/29/2020,By week,United States,Week-ending,7,58741,1.02,3790,4,647,4440,
07/24/2020,03/07/2020,03/07/2020,By week,United States,Week-ending,35,58782,1.02,3920,17,625,4562,
07/24/2020,03/14/2020,03/14/2020,By week,United States,Week-ending,52,57748,1.01,3907,27,612,4543,
07/24/2020,03/21/2020,03/21/2020,By week,United States,Week-ending,565,58604,1.03,4502,251,550,5359,
07/24/2020,03/28/2020,03/28/2020,By week,United States,Week-ending,3141,62605,1.12,6141,1419,440,8253,
07/24/2020,04/04/2020,04/04/2020,By week,United States,Week-ending,9933,71838,1.28,9856,4724,477,15306,
07/24/2020,04/11/2020,04/11/2020,By week,United States,Week-ending,16076,78566,1.42,11919,7190,472,20937,
07/24/2020,04/18/2020,04/18/2020,By week,United States,Week-ending,16966,76243,1.41,11333,7273,265,21102,
07/24/2020,04/25/2020,04/25/2020,By week,United States,Week-ending,15304,73222,1.36,10295,6561,143,19085,
07/24/2020,05/02/2020,05/02/2020,By week,United States,Week-ending,13024,68580,1.28,8866,5474,65,16461,
07/24/2020,05/09/2020,05/09/2020,By week,United States,Week-ending,11028,65949,1.25,7738,4658,47,14145,
07/24/2020,05/16/2020,05/16/2020,By week,United States,Week-ending,9016,63439,1.21,6642,3719,20,11956,
07/24/2020,05/23/2020,05/23/2020,By week,United States,Week-ending,7046,60476,1.16,5766,2924,23,9907,
07/24/2020,05/30/2020,05/30/2020,By week,United States,Week-ending,6006,58135,1.12,5137,2432,11,8722,
07/24/2020,06/06/2020,06/06/2020,By week,United States,Week-ending,4858,56597,1.08,4728,2088,11,7509,
07/24/2020,06/13/2020,06/13/2020,By week,United States,Week-ending,4033,54499,1.05,4276,1798,11,6519,
07/24/2020,06/20/2020,06/20/2020,By week,United States,Week-ending,3551,53237,1.03,4023,1506,5,6073,
07/24/2020,06/27/2020,06/27/2020,By week,United States,Week-ending,3321,52207,1.01,3751,1360,10,5721,
07/24/2020,07/04/2020,07/04/2020,By week,United States,Week-ending,3554,50417,0.97,3711,1562,3,5704,
07/24/2020,07/11/2020,07/11/2020,By week,United States,Week-ending,3331,45034,0.87,3597,1579,5,5354,
07/24/2020,07/18/2020,07/18/2020,By week,United States,Week-ending,1513,26233,0.51,1792,677,6,2634,
07/24/2020,02/01/2020,02/01/2020,By week,Alabama,Week-ending,0,1022,0.94,56,0,14,70,
07/24/2020,02/08/2020,02/08/2020,By week,Alabama,Week-ending,0,1114,1,61,0,10,71,
07/24/2020,02/15/2020,02/15/2020,By week,Alabama,Week-ending,0,1088,1,76,0,,82,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,02/22/2020,02/22/2020,By week,Alabama,Week-ending,0,1093,1.01,68,0,,73,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,02/29/2020,02/29/2020,By week,Alabama,Week-ending,0,1156,1.11,63,0,14,77,
07/24/2020,03/07/2020,03/07/2020,By week,Alabama,Week-ending,0,1052,1.01,58,0,13,71,
07/24/2020,03/14/2020,03/14/2020,By week,Alabama,Week-ending,0,1083,1,60,0,,67,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,03/21/2020,03/21/2020,By week,Alabama,Week-ending,,1049,1.02,71,,,78,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,03/28/2020,03/28/2020,By week,Alabama,Week-ending,23,1062,1.04,68,,,92,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,04/04/2020,04/04/2020,By week,Alabama,Week-ending,49,1144,1.11,65,11,,106,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,04/11/2020,04/11/2020,By week,Alabama,Week-ending,81,1125,1.1,86,27,,143,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,04/18/2020,04/18/2020,By week,Alabama,Week-ending,89,1131,1.15,94,26,0,157,
07/24/2020,04/25/2020,04/25/2020,By week,Alabama,Week-ending,83,1125,1.12,76,19,,141,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,05/02/2020,05/02/2020,By week,Alabama,Week-ending,78,1125,1.13,86,25,,140,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,05/09/2020,05/09/2020,By week,Alabama,Week-ending,113,1150,1.14,92,34,,171,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,05/16/2020,05/16/2020,By week,Alabama,Week-ending,90,1122,1.12,87,29,,149,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,05/23/2020,05/23/2020,By week,Alabama,Week-ending,76,1127,1.15,80,22,0,134,
07/24/2020,05/30/2020,05/30/2020,By week,Alabama,Week-ending,103,1075,1.1,95,30,,169,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,06/06/2020,06/06/2020,By week,Alabama,Week-ending,86,1113,1.1,84,31,,140,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,06/13/2020,06/13/2020,By week,Alabama,Week-ending,77,1080,1.14,71,27,0,121,
07/24/2020,06/20/2020,06/20/2020,By week,Alabama,Week-ending,82,1018,1.04,77,25,0,134,
07/24/2020,06/27/2020,06/27/2020,By week,Alabama,Week-ending,87,1012,1.09,72,27,0,132,
07/24/2020,07/04/2020,07/04/2020,By week,Alabama,Week-ending,103,992,1.01,80,40,0,143,
07/24/2020,07/11/2020,07/11/2020,By week,Alabama,Week-ending,72,840,0.85,57,21,0,108,
07/24/2020,07/18/2020,07/18/2020,By week,Alabama,Week-ending,45,450,0.47,30,,0,66,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,02/01/2020,02/01/2020,By week,Alaska,Week-ending,0,85,0.95,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,02/08/2020,02/08/2020,By week,Alaska,Week-ending,0,95,1.27,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,02/15/2020,02/15/2020,By week,Alaska,Week-ending,0,88,1.01,0,0,0,0,
07/24/2020,02/22/2020,02/22/2020,By week,Alaska,Week-ending,0,83,1.02,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,02/29/2020,02/29/2020,By week,Alaska,Week-ending,0,83,0.99,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,03/07/2020,03/07/2020,By week,Alaska,Week-ending,0,78,0.91,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,03/14/2020,03/14/2020,By week,Alaska,Week-ending,0,92,1.09,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,03/21/2020,03/21/2020,By week,Alaska,Week-ending,0,68,0.85,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,03/28/2020,03/28/2020,By week,Alaska,Week-ending,,85,0.99,10,,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,04/04/2020,04/04/2020,By week,Alaska,Week-ending,,97,1.12,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,04/11/2020,04/11/2020,By week,Alaska,Week-ending,,83,0.96,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,04/18/2020,04/18/2020,By week,Alaska,Week-ending,,80,1.03,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,04/25/2020,04/25/2020,By week,Alaska,Week-ending,0,61,0.78,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,05/02/2020,05/02/2020,By week,Alaska,Week-ending,0,85,0.96,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,05/09/2020,05/09/2020,By week,Alaska,Week-ending,,86,1.1,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,05/16/2020,05/16/2020,By week,Alaska,Week-ending,0,81,1.05,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,05/23/2020,05/23/2020,By week,Alaska,Week-ending,0,79,1.03,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,05/30/2020,05/30/2020,By week,Alaska,Week-ending,0,93,1.29,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,06/06/2020,06/06/2020,By week,Alaska,Week-ending,0,71,0.84,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,06/13/2020,06/13/2020,By week,Alaska,Week-ending,,80,0.97,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,06/20/2020,06/20/2020,By week,Alaska,Week-ending,0,70,0.82,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,06/27/2020,06/27/2020,By week,Alaska,Week-ending,0,59,0.76,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,07/04/2020,07/04/2020,By week,Alaska,Week-ending,0,46,0.55,0,0,0,0,
07/24/2020,07/11/2020,07/11/2020,By week,Alaska,Week-ending,0,39,0.44,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,07/18/2020,07/18/2020,By week,Alaska,Week-ending,0,,0.12,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/24/2020,02/01/2020,02/01/2020,By week,Arizona,Week-ending,0,1263,0.99,74,0,13,87,
07/24/2020,02/08/2020,02/08/2020,By week,Arizona,Week-ending,0,1261,1.01,79,0,11,90,
07/24/2020,02/15/2020,02/15/2020,By week,Arizona,Week-ending,0,1309,1.1,92,0,14,106,
