Data as of,Start Date,End Date,Group,Year,Month,MMWR Week,Week Ending Date,State,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
01/21/2021,12/29/2019,01/04/2020,By Week,,,1,01/04/2020,United States,2,60163,98,4105,2,434,4539,
01/21/2021,01/05/2020,01/11/2020,By Week,2020,,2,01/11/2020,United States,0,60712,97,4151,0,475,4626,
01/21/2021,01/12/2020,01/18/2020,By Week,2020,,3,01/18/2020,United States,3,59351,97,4063,2,467,4531,
01/21/2021,01/19/2020,01/25/2020,By Week,2020,,4,01/25/2020,United States,2,59141,99,3916,1,499,4416,
01/21/2021,01/26/2020,02/01/2020,By Week,2020,,5,02/01/2020,United States,0,58800,99,3815,0,481,4296,
01/21/2021,02/02/2020,02/08/2020,By Week,2020,,6,02/08/2020,United States,1,59369,99,3811,0,521,4333,
01/21/2021,02/09/2020,02/15/2020,By Week,2020,,7,02/15/2020,United States,0,58786,100,3838,0,560,4398,
01/21/2021,02/16/2020,02/22/2020,By Week,2020,,8,02/22/2020,United States,4,58865,101,3711,1,566,4280,
01/21/2021,02/23/2020,02/29/2020,By Week,2020,,9,02/29/2020,United States,9,59270,103,3833,5,655,4492,
01/21/2021,03/01/2020,03/07/2020,By Week,2020,,10,03/07/2020,United States,36,59636,103,3975,18,635,4627,
01/21/2021,03/08/2020,03/14/2020,By Week,2020,,11,03/14/2020,United States,56,58634,103,3969,28,626,4622,
01/21/2021,03/15/2020,03/21/2020,By Week,2020,,12,03/21/2020,United States,574,59166,104,4545,250,559,5421,
01/21/2021,03/22/2020,03/28/2020,By Week,2020,,13,03/28/2020,United States,3173,62968,113,6181,1434,445,8314,
01/21/2021,03/29/2020,04/04/2020,By Week,2020,,14,04/04/2020,United States,10058,72237,129,9925,4765,478,15461,
01/21/2021,04/05/2020,04/11/2020,By Week,2020,,15,04/11/2020,United States,16228,79013,143,12001,7233,473,21130,
01/21/2021,04/12/2020,04/18/2020,By Week,2020,,16,04/18/2020,United States,17100,76700,142,11400,7315,265,21261,
01/21/2021,04/19/2020,04/25/2020,By Week,2020,,17,04/25/2020,United States,15467,73830,138,10383,6610,144,19287,
01/21/2021,04/26/2020,05/02/2020,By Week,2020,,18,05/02/2020,United States,13175,69232,129,8946,5516,65,16650,
01/21/2021,05/03/2020,05/09/2020,By Week,2020,,19,05/09/2020,United States,11196,66760,127,7833,4711,48,14356,
01/21/2021,05/10/2020,05/16/2020,By Week,2020,,20,05/16/2020,United States,9186,64423,123,6775,3782,21,12197,
01/21/2021,05/17/2020,05/23/2020,By Week,2020,,21,05/23/2020,United States,7202,61560,118,5893,2973,24,10141,
01/21/2021,05/24/2020,05/30/2020,By Week,2020,,22,05/30/2020,United States,6140,59613,115,5276,2486,12,8942,
01/21/2021,05/31/2020,06/06/2020,By Week,2020,,23,06/06/2020,United States,5019,58822,112,4896,2148,11,7778,
01/21/2021,06/07/2020,06/13/2020,By Week,2020,,24,06/13/2020,United States,4217,57960,112,4540,1859,11,6906,
01/21/2021,06/14/2020,06/20/2020,By Week,2020,,25,06/20/2020,United States,3821,57915,112,4364,1603,8,6589,
01/21/2021,06/21/2020,06/27/2020,By Week,2020,,26,06/27/2020,United States,3808,58414,114,4260,1553,12,6526,
01/21/2021,06/28/2020,07/04/2020,By Week,2020,,27,07/04/2020,United States,4510,59739,115,4556,1999,5,7069,
01/21/2021,07/05/2020,07/11/2020,By Week,2020,,28,07/11/2020,United States,5744,61821,121,5529,2708,10,8574,
01/21/2021,07/12/2020,07/18/2020,By Week,2020,,29,07/18/2020,United States,7148,63049,124,6179,3444,13,9893,
01/21/2021,07/19/2020,07/25/2020,By Week,2020,,30,07/25/2020,United States,8178,64112,127,6746,3950,11,10980,
01/21/2021,07/26/2020,08/01/2020,By Week,2020,,31,08/01/2020,United States,8258,64074,126,6831,4061,13,11034,
01/21/2021,08/02/2020,08/08/2020,By Week,2020,,32,08/08/2020,United States,7809,63541,124,6795,3968,9,10642,
01/21/2021,08/09/2020,08/15/2020,By Week,2020,,33,08/15/2020,United States,7207,63409,125,6492,3665,5,10036,
01/21/2021,08/16/2020,08/22/2020,By Week,2020,,34,08/22/2020,United States,6332,62262,123,5954,3207,12,9088,
01/21/2021,08/23/2020,08/29/2020,By Week,2020,,35,08/29/2020,United States,5671,60779,119,5527,2869,11,8335,
01/21/2021,08/30/2020,09/05/2020,By Week,2020,,36,09/05/2020,United States,4936,59756,117,5165,2483,9,7623,
01/21/2021,09/06/2020,09/12/2020,By Week,2020,,37,09/12/2020,United States,4517,59037,114,4887,2251,7,7158,
01/21/2021,09/13/2020,09/19/2020,By Week,2020,,38,09/19/2020,United States,4144,58921,114,4695,2005,5,6839,
01/21/2021,09/20/2020,09/26/2020,By Week,2020,,39,09/26/2020,United States,4145,59489,115,4833,2055,4,6926,
01/21/2021,09/27/2020,10/03/2020,By Week,2020,,40,10/03/2020,United States,4043,58196,111,4664,1945,8,6770,
01/21/2021,10/04/2020,10/10/2020,By Week,2020,,41,10/10/2020,United States,4570,59599,114,4935,2239,13,7276,
01/21/2021,10/11/2020,10/17/2020,By Week,2020,,42,10/17/2020,United States,4904,57991,109,4960,2327,17,7547,
01/21/2021,10/18/2020,10/24/2020,By Week,2020,,43,10/24/2020,United States,5656,59425,111,5370,2598,16,8437,
01/21/2021,10/25/2020,10/31/2020,By Week,2020,,44,10/31/2020,United States,6566,60460,112,5791,3052,20,9320,
01/21/2021,11/01/2020,11/07/2020,By Week,2020,,45,11/07/2020,United States,8211,64067,118,6688,3842,21,11070,
01/21/2021,11/08/2020,11/14/2020,By Week,2020,,46,11/14/2020,United States,10008,65288,119,7595,4739,19,12876,
01/21/2021,11/15/2020,11/21/2020,By Week,2020,,47,11/21/2020,United States,12561,67326,122,8879,5971,28,15487,
01/21/2021,11/22/2020,11/28/2020,By Week,2020,,48,11/28/2020,United States,14469,68275,124,9759,7016,23,17223,
01/21/2021,11/29/2020,12/05/2020,By Week,2020,,49,12/05/2020,United States,16718,70979,126,10967,8044,31,19660,
01/21/2021,12/06/2020,12/12/2020,By Week,2020,,50,12/12/2020,United States,17374,72174,126,11236,8388,24,20235,
01/21/2021,12/13/2020,12/19/2020,By Week,2020,,51,12/19/2020,United States,15332,66267,114,10169,7491,23,18022,
01/21/2021,12/20/2020,12/26/2020,By Week,2020,,52,12/26/2020,United States,9085,53334,91,6711,4478,16,11327,
01/21/2021,12/27/2020,01/02/2021,By Week,,,53,01/02/2021,United States,5791,44815,76,4886,2963,11,7721,
01/21/2021,01/03/2021,01/09/2021,By Week,2021,,1,01/09/2021,United States,4796,36487,59,4026,2458,7,6370,
01/21/2021,01/10/2021,01/16/2021,By Week,2021,,2,01/16/2021,United States,1990,19087,31,1779,968,4,2805,
01/21/2021,12/29/2019,01/04/2020,By Week,,,1,01/04/2020,Alabama,0,1081,94,63,0,,69,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/05/2020,01/11/2020,By Week,2020,,2,01/11/2020,Alabama,0,1127,96,79,0,10,89,
01/21/2021,01/12/2020,01/18/2020,By Week,2020,,3,01/18/2020,Alabama,0,1039,91,62,0,,65,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/19/2020,01/25/2020,By Week,2020,,4,01/25/2020,Alabama,0,1055,94,62,0,,69,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/26/2020,02/01/2020,By Week,2020,,5,02/01/2020,Alabama,0,1026,94,56,0,14,70,
01/21/2021,02/02/2020,02/08/2020,By Week,2020,,6,02/08/2020,Alabama,0,1119,101,61,0,10,71,
01/21/2021,02/09/2020,02/15/2020,By Week,2020,,7,02/15/2020,Alabama,0,1094,101,76,0,,82,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,02/16/2020,02/22/2020,By Week,2020,,8,02/22/2020,Alabama,0,1097,101,68,0,,73,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,02/23/2020,02/29/2020,By Week,2020,,9,02/29/2020,Alabama,0,1162,112,63,0,14,77,
01/21/2021,03/01/2020,03/07/2020,By Week,2020,,10,03/07/2020,Alabama,0,1054,101,58,0,13,71,
01/21/2021,03/08/2020,03/14/2020,By Week,2020,,11,03/14/2020,Alabama,0,1091,101,61,0,,68,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,03/15/2020,03/21/2020,By Week,2020,,12,03/21/2020,Alabama,,1058,103,71,,,79,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,03/22/2020,03/28/2020,By Week,2020,,13,03/28/2020,Alabama,23,1073,105,68,,,92,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,03/29/2020,04/04/2020,By Week,2020,,14,04/04/2020,Alabama,49,1156,112,65,11,,106,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,04/05/2020,04/11/2020,By Week,2020,,15,04/11/2020,Alabama,81,1134,111,85,27,,143,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,04/12/2020,04/18/2020,By Week,2020,,16,04/18/2020,Alabama,89,1144,116,94,26,0,157,
01/21/2021,04/19/2020,04/25/2020,By Week,2020,,17,04/25/2020,Alabama,83,1138,113,77,19,,142,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,04/26/2020,05/02/2020,By Week,2020,,18,05/02/2020,Alabama,81,1147,116,87,26,,143,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,05/03/2020,05/09/2020,By Week,2020,,19,05/09/2020,Alabama,116,1168,116,94,34,,176,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,05/10/2020,05/16/2020,By Week,2020,,20,05/16/2020,Alabama,94,1147,115,89,30,,154,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,05/17/2020,05/23/2020,By Week,2020,,21,05/23/2020,Alabama,79,1151,117,82,23,0,138,
01/21/2021,05/24/2020,05/30/2020,By Week,2020,,22,05/30/2020,Alabama,103,1106,113,95,30,,169,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,05/31/2020,06/06/2020,By Week,2020,,23,06/06/2020,Alabama,90,1169,116,86,32,,145,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,06/07/2020,06/13/2020,By Week,2020,,24,06/13/2020,Alabama,81,1134,120,76,29,0,128,
01/21/2021,06/14/2020,06/20/2020,By Week,2020,,25,06/20/2020,Alabama,88,1087,111,79,25,0,142,
01/21/2021,06/21/2020,06/27/2020,By Week,2020,,26,06/27/2020,Alabama,102,1148,123,83,30,0,155,
01/21/2021,06/28/2020,07/04/2020,By Week,2020,,27,07/04/2020,Alabama,121,1196,121,94,48,,167,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,07/05/2020,07/11/2020,By Week,2020,,28,07/11/2020,Alabama,134,1258,127,95,36,0,193,
01/21/2021,07/12/2020,07/18/2020,By Week,2020,,29,07/18/2020,Alabama,191,1289,134,102,45,0,248,
01/21/2021,07/19/2020,07/25/2020,By Week,2020,,30,07/25/2020,Alabama,247,1326,142,134,87,,295,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,07/26/2020,08/01/2020,By Week,2020,,31,08/01/2020,Alabama,261,1359,141,157,94,,325,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,08/02/2020,08/08/2020,By Week,2020,,32,08/08/2020,Alabama,261,1369,141,133,86,,309,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,08/09/2020,08/15/2020,By Week,2020,,33,08/15/2020,Alabama,229,1299,137,140,83,0,286,
01/21/2021,08/16/2020,08/22/2020,By Week,2020,,34,08/22/2020,Alabama,207,1293,139,118,64,0,261,
