Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/23/2020,02/01/2020,02/01/2020,By week,United States,Week-ending,1,58112,0.98,3764,0,476,4241,
06/23/2020,02/08/2020,02/08/2020,By week,United States,Week-ending,1,58644,0.98,3745,0,515,4261,
06/23/2020,02/15/2020,02/15/2020,By week,United States,Week-ending,0,57826,0.98,3762,0,548,4310,
06/23/2020,02/22/2020,02/22/2020,By week,United States,Week-ending,4,57846,0.99,3638,1,557,4198,
06/23/2020,02/29/2020,02/29/2020,By week,United States,Week-ending,5,58231,1.01,3760,3,637,4399,
06/23/2020,03/07/2020,03/07/2020,By week,United States,Week-ending,32,58489,1.01,3897,16,619,4531,
06/23/2020,03/14/2020,03/14/2020,By week,United States,Week-ending,52,57389,1.01,3880,27,608,4512,
06/23/2020,03/21/2020,03/21/2020,By week,United States,Week-ending,548,58023,1.02,4461,245,542,5300,
06/23/2020,03/28/2020,03/28/2020,By week,United States,Week-ending,3045,61999,1.11,6038,1372,438,8099,
06/23/2020,04/04/2020,04/04/2020,By week,United States,Week-ending,9491,70624,1.26,9605,4540,460,14793,
06/23/2020,04/11/2020,04/11/2020,By week,United States,Week-ending,15681,77119,1.39,11687,7025,467,20472,
06/23/2020,04/18/2020,04/18/2020,By week,United States,Week-ending,16326,74476,1.38,10960,6981,260,20379,
06/23/2020,04/25/2020,04/25/2020,By week,United States,Week-ending,14072,70578,1.31,9673,6027,142,17764,
06/23/2020,05/02/2020,05/02/2020,By week,United States,Week-ending,11629,65465,1.22,8183,4919,60,14933,
06/23/2020,05/09/2020,05/09/2020,By week,United States,Week-ending,10660,63108,1.2,7424,4510,46,13611,
06/23/2020,05/16/2020,05/16/2020,By week,United States,Week-ending,8633,59427,1.13,6296,3573,19,11372,
06/23/2020,05/23/2020,05/23/2020,By week,United States,Week-ending,6501,55282,1.06,5299,2731,19,9087,
06/23/2020,05/30/2020,05/30/2020,By week,United States,Week-ending,5192,51512,0.99,4489,2114,10,7577,
06/23/2020,06/06/2020,06/06/2020,By week,United States,Week-ending,3502,45745,0.85,3595,1510,8,5595,
06/23/2020,06/13/2020,06/13/2020,By week,United States,Week-ending,1260,30509,0.52,1889,550,4,2603,
06/23/2020,06/20/2020,06/20/2020,By week,United States,Week-ending,155,8813,0.12,496,64,1,588,
06/23/2020,02/01/2020,02/01/2020,By week,Alabama,Week-ending,0,1021,0.93,56,0,14,70,
06/23/2020,02/08/2020,02/08/2020,By week,Alabama,Week-ending,0,1110,1,61,0,10,71,
06/23/2020,02/15/2020,02/15/2020,By week,Alabama,Week-ending,0,1086,1,76,0,,82,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
