Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
07/02/2020,02/01/2020,02/01/2020,By week,United States,Week-ending,0,58253,0.98,3769,0,478,4247,
07/02/2020,02/08/2020,02/08/2020,By week,United States,Week-ending,1,58954,0.99,3764,0,518,4283,
07/02/2020,02/15/2020,02/15/2020,By week,United States,Week-ending,0,58108,0.99,3781,0,551,4332,
07/02/2020,02/22/2020,02/22/2020,By week,United States,Week-ending,5,57967,1,3642,1,558,4204,
07/02/2020,02/29/2020,02/29/2020,By week,United States,Week-ending,5,58276,1.01,3765,3,639,4406,
07/02/2020,03/07/2020,03/07/2020,By week,United States,Week-ending,33,58549,1.01,3901,16,622,4539,
07/02/2020,03/14/2020,03/14/2020,By week,United States,Week-ending,52,57472,1.01,3887,27,611,4522,
07/02/2020,03/21/2020,03/21/2020,By week,United States,Week-ending,552,58118,1.02,4474,246,543,5316,
07/02/2020,03/28/2020,03/28/2020,By week,United States,Week-ending,3058,62150,1.11,6064,1377,440,8135,
07/02/2020,04/04/2020,04/04/2020,By week,United States,Week-ending,9518,71086,1.27,9654,4550,463,14862,
07/02/2020,04/11/2020,04/11/2020,By week,United States,Week-ending,15718,77917,1.4,11753,7044,469,20558,
07/02/2020,04/18/2020,04/18/2020,By week,United States,Week-ending,16373,75282,1.39,11017,6993,261,20472,
07/02/2020,04/25/2020,04/25/2020,By week,United States,Week-ending,14143,71480,1.33,9749,6055,143,17884,
07/02/2020,05/02/2020,05/02/2020,By week,United States,Week-ending,11714,66312,1.23,8291,4963,62,15084,
07/02/2020,05/09/2020,05/09/2020,By week,United States,Week-ending,10802,64208,1.22,7558,4580,46,13817,
07/02/2020,05/16/2020,05/16/2020,By week,United States,Week-ending,8851,60974,1.16,6466,3665,19,11668,
07/02/2020,05/23/2020,05/23/2020,By week,United States,Week-ending,6804,57373,1.1,5532,2845,20,9509,
07/02/2020,05/30/2020,05/30/2020,By week,United States,Week-ending,5670,54477,1.05,4832,2305,10,8207,
