Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
08/24/2020,02/01/2020,02/01/2020,By week,United States,Week-ending,0,58506,0.99,3788,0,479,4267,
08/24/2020,02/08/2020,02/08/2020,By week,United States,Week-ending,1,59251,0.99,3794,0,520,4315,
08/24/2020,02/15/2020,02/15/2020,By week,United States,Week-ending,0,58646,1,3819,0,554,4373,
08/24/2020,02/22/2020,02/22/2020,By week,United States,Week-ending,5,58692,1.01,3690,1,564,4258,
08/24/2020,02/29/2020,02/29/2020,By week,United States,Week-ending,10,59117,1.03,3816,5,654,4475,
08/24/2020,03/07/2020,03/07/2020,By week,United States,Week-ending,35,59431,1.03,3949,17,631,4597,
08/24/2020,03/14/2020,03/14/2020,By week,United States,Week-ending,52,58145,1.02,3939,27,617,4580,
08/24/2020,03/21/2020,03/21/2020,By week,United States,Week-ending,570,58794,1.04,4520,252,556,5387,
08/24/2020,03/28/2020,03/28/2020,By week,United States,Week-ending,3150,62764,1.12,6159,1425,440,8274,
08/24/2020,04/04/2020,04/04/2020,By week,United States,Week-ending,9996,72012,1.29,9889,4745,478,15382,
08/24/2020,04/11/2020,04/11/2020,By week,United States,Week-ending,16148,78741,1.42,11956,7211,473,21025,
08/24/2020,04/18/2020,04/18/2020,By week,United States,Week-ending,17030,76414,1.41,11363,7291,265,21178,
08/24/2020,04/25/2020,04/25/2020,By week,United States,Week-ending,15384,73463,1.37,10331,6583,143,19179,
08/24/2020,05/02/2020,05/02/2020,By week,United States,Week-ending,13106,68893,1.28,8911,5496,65,16566,
08/24/2020,05/09/2020,05/09/2020,By week,United States,Week-ending,11129,66443,1.26,7799,4691,47,14274,
08/24/2020,05/16/2020,05/16/2020,By week,United States,Week-ending,9123,64081,1.22,6714,3757,20,12097,
08/24/2020,05/23/2020,05/23/2020,By week,United States,Week-ending,7118,61156,1.17,5832,2943,24,10026,
08/24/2020,05/30/2020,05/30/2020,By week,United States,Week-ending,6071,59142,1.14,5216,2457,12,8842,
08/24/2020,06/06/2020,06/06/2020,By week,United States,Week-ending,4943,58223,1.11,4838,2125,11,7667,
08/24/2020,06/13/2020,06/13/2020,By week,United States,Week-ending,4153,57252,1.1,4474,1846,11,6789,
08/24/2020,06/20/2020,06/20/2020,By week,United States,Week-ending,3748,56926,1.1,4290,1579,7,6465,
08/24/2020,06/27/2020,06/27/2020,By week,United States,Week-ending,3701,57037,1.11,4131,1519,10,6322,
08/24/2020,07/04/2020,07/04/2020,By week,United States,Week-ending,4316,57456,1.11,4365,1920,4,6762,
08/24/2020,07/11/2020,07/11/2020,By week,United States,Week-ending,5383,58217,1.13,5200,2555,9,8037,
