Data as of,Start Date,End Date,Group,Year,Month,MMWR Week,Week Ending Date,State,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
01/27/2021,12/29/2019,01/04/2020,By Week,2019/2020,,1,01/04/2020,United States,2,60165,98,4105,2,434,4539,
01/27/2021,01/05/2020,01/11/2020,By Week,2020,,2,01/11/2020,United States,0,60713,97,4151,0,475,4626,
01/27/2021,01/12/2020,01/18/2020,By Week,2020,,3,01/18/2020,United States,3,59350,97,4063,2,467,4531,
01/27/2021,01/19/2020,01/25/2020,By Week,2020,,4,01/25/2020,United States,2,59139,99,3916,1,499,4416,
01/27/2021,01/26/2020,02/01/2020,By Week,2020,,5,02/01/2020,United States,0,58801,99,3815,0,481,4296,
01/27/2021,02/02/2020,02/08/2020,By Week,2020,,6,02/08/2020,United States,1,59369,99,3811,0,521,4333,
01/27/2021,02/09/2020,02/15/2020,By Week,2020,,7,02/15/2020,United States,0,58786,100,3839,0,560,4399,
01/27/2021,02/16/2020,02/22/2020,By Week,2020,,8,02/22/2020,United States,4,58865,101,3711,1,566,4280,
01/27/2021,02/23/2020,02/29/2020,By Week,2020,,9,02/29/2020,United States,9,59270,103,3833,5,655,4492,
01/27/2021,03/01/2020,03/07/2020,By Week,2020,,10,03/07/2020,United States,35,59636,103,3973,17,636,4626,
01/27/2021,03/08/2020,03/14/2020,By Week,2020,,11,03/14/2020,United States,56,58634,103,3970,28,626,4623,
01/27/2021,03/15/2020,03/21/2020,By Week,2020,,12,03/21/2020,United States,574,59167,104,4545,250,559,5421,
01/27/2021,03/22/2020,03/28/2020,By Week,2020,,13,03/28/2020,United States,3173,62968,113,6181,1434,445,8314,
01/27/2021,03/29/2020,04/04/2020,By Week,2020,,14,04/04/2020,United States,10062,72239,129,9928,4767,478,15466,
