Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/03/2020,02/01/2020,02/01/2020,By week,United States,Week-ending,0,57675,0.97,3725,0,476,4201,
06/03/2020,02/08/2020,02/08/2020,By week,United States,Week-ending,1,58303,0.98,3719,0,513,4233,
06/03/2020,02/15/2020,02/15/2020,By week,United States,Week-ending,0,57651,0.98,3751,0,543,4294,
06/03/2020,02/22/2020,02/22/2020,By week,United States,Week-ending,3,57726,0.99,3622,1,555,4179,
06/03/2020,02/29/2020,02/29/2020,By week,United States,Week-ending,5,58088,1.01,3747,3,631,4380,
06/03/2020,03/07/2020,03/07/2020,By week,United States,Week-ending,32,58094,1,3860,16,619,4494,
06/03/2020,03/14/2020,03/14/2020,By week,United States,Week-ending,51,56960,1,3853,26,605,4482,
06/03/2020,03/21/2020,03/21/2020,By week,United States,Week-ending,544,57453,1.01,4401,245,534,5228,
06/03/2020,03/28/2020,03/28/2020,By week,United States,Week-ending,3012,61235,1.1,5972,1360,435,8009,
06/03/2020,04/04/2020,04/04/2020,By week,United States,Week-ending,9395,69535,1.25,9488,4506,458,14612,
06/03/2020,04/11/2020,04/11/2020,By week,United States,Week-ending,15465,75449,1.36,11490,6939,462,20141,
06/03/2020,04/18/2020,04/18/2020,By week,United States,Week-ending,15954,72269,1.34,10676,6828,254,19873,
06/03/2020,04/25/2020,04/25/2020,By week,United States,Week-ending,13556,67577,1.26,9300,5831,140,17069,
06/03/2020,05/02/2020,05/02/2020,By week,United States,Week-ending,10779,61864,1.15,7727,4633,56,13910,
06/03/2020,05/09/2020,05/09/2020,By week,United States,Week-ending,9503,58344,1.11,6752,4040,43,12249,
06/03/2020,05/16/2020,05/16/2020,By week,United States,Week-ending,6631,51253,0.98,5092,2748,16,8990,
06/03/2020,05/23/2020,05/23/2020,By week,United States,Week-ending,2776,35991,0.69,2773,1126,14,4437,
06/03/2020,05/30/2020,05/30/2020,By week,United States,Week-ending,536,15332,0.3,848,214,0,1170,
06/03/2020,02/01/2020,02/01/2020,By week,Alabama,Week-ending,0,1020,0.93,56,0,14,70,
06/03/2020,02/08/2020,02/08/2020,By week,Alabama,Week-ending,0,1108,1,61,0,10,71,
06/03/2020,02/15/2020,02/15/2020,By week,Alabama,Week-ending,0,1080,0.99,75,0,,81,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,02/22/2020,02/22/2020,By week,Alabama,Week-ending,0,1082,1,68,0,,72,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,02/29/2020,02/29/2020,By week,Alabama,Week-ending,0,1146,1.1,63,0,14,77,
06/03/2020,03/07/2020,03/07/2020,By week,Alabama,Week-ending,0,1038,0.99,58,0,13,71,
06/03/2020,03/14/2020,03/14/2020,By week,Alabama,Week-ending,0,1066,0.99,60,0,,67,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,03/21/2020,03/21/2020,By week,Alabama,Week-ending,,1040,1.02,72,,,79,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,03/28/2020,03/28/2020,By week,Alabama,Week-ending,22,1041,1.02,68,,,91,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,04/04/2020,04/04/2020,By week,Alabama,Week-ending,49,1122,1.09,65,11,,105,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,04/11/2020,04/11/2020,By week,Alabama,Week-ending,80,1100,1.07,84,27,,140,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,04/18/2020,04/18/2020,By week,Alabama,Week-ending,87,1094,1.11,92,25,0,154,
06/03/2020,04/25/2020,04/25/2020,By week,Alabama,Week-ending,77,1070,1.06,74,18,,134,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,05/02/2020,05/02/2020,By week,Alabama,Week-ending,73,1043,1.05,79,22,,131,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,05/09/2020,05/09/2020,By week,Alabama,Week-ending,92,1002,0.99,83,27,0,148,
06/03/2020,05/16/2020,05/16/2020,By week,Alabama,Week-ending,57,845,0.81,62,19,,101,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,05/23/2020,05/23/2020,By week,Alabama,Week-ending,26,600,0.52,33,,0,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,05/30/2020,05/30/2020,By week,Alabama,Week-ending,,191,0.11,13,,0,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,02/01/2020,02/01/2020,By week,Alaska,Week-ending,0,84,0.94,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,02/08/2020,02/08/2020,By week,Alaska,Week-ending,0,92,1.23,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,02/15/2020,02/15/2020,By week,Alaska,Week-ending,0,88,1.01,0,0,0,0,
06/03/2020,02/22/2020,02/22/2020,By week,Alaska,Week-ending,0,83,1.02,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,02/29/2020,02/29/2020,By week,Alaska,Week-ending,0,81,0.97,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,03/07/2020,03/07/2020,By week,Alaska,Week-ending,0,78,0.91,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,03/14/2020,03/14/2020,By week,Alaska,Week-ending,0,91,1.08,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,03/21/2020,03/21/2020,By week,Alaska,Week-ending,0,66,0.83,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,03/28/2020,03/28/2020,By week,Alaska,Week-ending,,82,0.96,10,,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,04/04/2020,04/04/2020,By week,Alaska,Week-ending,,96,1.11,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,04/11/2020,04/11/2020,By week,Alaska,Week-ending,,77,0.88,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,04/18/2020,04/18/2020,By week,Alaska,Week-ending,,71,0.91,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,04/25/2020,04/25/2020,By week,Alaska,Week-ending,0,57,0.72,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,05/02/2020,05/02/2020,By week,Alaska,Week-ending,0,78,0.88,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,05/09/2020,05/09/2020,By week,Alaska,Week-ending,,63,0.79,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,05/16/2020,05/16/2020,By week,Alaska,Week-ending,0,49,0.6,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,05/23/2020,05/23/2020,By week,Alaska,Week-ending,0,34,0.36,0,0,0,0,
06/03/2020,05/30/2020,05/30/2020,By week,Alaska,Week-ending,0,,0.06,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/03/2020,02/01/2020,02/01/2020,By week,Arizona,Week-ending,0,1263,0.99,74,0,13,87,
06/03/2020,02/08/2020,02/08/2020,By week,Arizona,Week-ending,0,1260,1.01,79,0,11,90,
