Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
07/01/2020,02/01/2020,02/01/2020,By week,United States,Week-ending,0,58232,0.98,3768,0,478,4246,
07/01/2020,02/08/2020,02/08/2020,By week,United States,Week-ending,1,58862,0.98,3761,0,517,4279,
07/01/2020,02/15/2020,02/15/2020,By week,United States,Week-ending,0,58026,0.98,3777,0,549,4326,
07/01/2020,02/22/2020,02/22/2020,By week,United States,Week-ending,5,57941,1,3642,1,558,4204,
07/01/2020,02/29/2020,02/29/2020,By week,United States,Week-ending,5,58266,1.01,3765,3,639,4406,
07/01/2020,03/07/2020,03/07/2020,By week,United States,Week-ending,33,58537,1.01,3902,16,621,4539,
07/01/2020,03/14/2020,03/14/2020,By week,United States,Week-ending,52,57454,1.01,3886,27,611,4521,
07/01/2020,03/21/2020,03/21/2020,By week,United States,Week-ending,552,58084,1.02,4470,246,543,5312,
07/01/2020,03/28/2020,03/28/2020,By week,United States,Week-ending,3058,62120,1.11,6059,1377,440,8130,
07/01/2020,04/04/2020,04/04/2020,By week,United States,Week-ending,9516,70903,1.27,9640,4549,461,14845,
07/01/2020,04/11/2020,04/11/2020,By week,United States,Week-ending,15712,77604,1.4,11730,7039,468,20533,
07/01/2020,04/18/2020,04/18/2020,By week,United States,Week-ending,16370,74992,1.39,11003,6993,260,20454,
07/01/2020,04/25/2020,04/25/2020,By week,United States,Week-ending,14133,71262,1.32,9735,6049,143,17866,
07/01/2020,05/02/2020,05/02/2020,By week,United States,Week-ending,11705,66180,1.23,8274,4959,62,15062,
07/01/2020,05/09/2020,05/09/2020,By week,United States,Week-ending,10788,64140,1.21,7547,4571,46,13801,
07/01/2020,05/16/2020,05/16/2020,By week,United States,Week-ending,8843,60913,1.16,6457,3661,19,11655,
07/01/2020,05/23/2020,05/23/2020,By week,United States,Week-ending,6789,57238,1.09,5518,2839,20,9486,
07/01/2020,05/30/2020,05/30/2020,By week,United States,Week-ending,5658,54302,1.04,4816,2296,10,8188,
07/01/2020,06/06/2020,06/06/2020,By week,United States,Week-ending,4279,51959,0.97,4284,1867,10,6706,
07/01/2020,06/13/2020,06/13/2020,By week,United States,Week-ending,3047,47305,0.85,3451,1341,10,5164,
07/01/2020,06/20/2020,06/20/2020,By week,United States,Week-ending,1451,36035,0.57,2280,627,4,3108,
07/01/2020,06/27/2020,06/27/2020,By week,United States,Week-ending,229,16520,0.21,832,95,1,967,
07/01/2020,02/01/2020,02/01/2020,By week,Alabama,Week-ending,0,1021,0.93,56,0,14,70,
07/01/2020,02/08/2020,02/08/2020,By week,Alabama,Week-ending,0,1112,1,61,0,10,71,
07/01/2020,02/15/2020,02/15/2020,By week,Alabama,Week-ending,0,1086,1,76,0,,82,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/01/2020,02/22/2020,02/22/2020,By week,Alabama,Week-ending,0,1091,1,68,0,,73,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/01/2020,02/29/2020,02/29/2020,By week,Alabama,Week-ending,0,1155,1.11,63,0,14,77,
07/01/2020,03/07/2020,03/07/2020,By week,Alabama,Week-ending,0,1050,1,58,0,13,71,
07/01/2020,03/14/2020,03/14/2020,By week,Alabama,Week-ending,0,1078,0.99,60,0,,67,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/01/2020,03/21/2020,03/21/2020,By week,Alabama,Week-ending,,1046,1.02,71,,,78,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/01/2020,03/28/2020,03/28/2020,By week,Alabama,Week-ending,23,1054,1.03,68,,,92,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/01/2020,04/04/2020,04/04/2020,By week,Alabama,Week-ending,49,1137,1.1,65,11,,106,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/01/2020,04/11/2020,04/11/2020,By week,Alabama,Week-ending,81,1118,1.09,86,27,,143,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/01/2020,04/18/2020,04/18/2020,By week,Alabama,Week-ending,89,1122,1.14,93,26,0,156,
07/01/2020,04/25/2020,04/25/2020,By week,Alabama,Week-ending,83,1114,1.11,76,19,,141,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/01/2020,05/02/2020,05/02/2020,By week,Alabama,Week-ending,78,1113,1.12,86,25,,140,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
