Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
07/31/2020,02/01/2020,02/01/2020,By week,United States,Week-ending,0,58448,0.98,3785,0,479,4264,
07/31/2020,02/08/2020,02/08/2020,By week,United States,Week-ending,1,59204,0.99,3788,0,520,4309,
07/31/2020,02/15/2020,02/15/2020,By week,United States,Week-ending,0,58493,0.99,3812,0,554,4366,
07/31/2020,02/22/2020,02/22/2020,By week,United States,Week-ending,5,58570,1.01,3676,1,563,4243,
07/31/2020,02/29/2020,02/29/2020,By week,United States,Week-ending,7,58852,1.02,3798,4,649,4450,
07/31/2020,03/07/2020,03/07/2020,By week,United States,Week-ending,35,58942,1.02,3925,17,625,4567,
07/31/2020,03/14/2020,03/14/2020,By week,United States,Week-ending,52,57808,1.01,3914,27,612,4550,
07/31/2020,03/21/2020,03/21/2020,By week,United States,Week-ending,565,58632,1.03,4508,251,551,5366,
07/31/2020,03/28/2020,03/28/2020,By week,United States,Week-ending,3146,62632,1.12,6147,1422,440,8261,
07/31/2020,04/04/2020,04/04/2020,By week,United States,Week-ending,9944,71869,1.29,9862,4727,477,15320,
07/31/2020,04/11/2020,04/11/2020,By week,United States,Week-ending,16084,78623,1.42,11930,7194,472,20952,
07/31/2020,04/18/2020,04/18/2020,By week,United States,Week-ending,16982,76299,1.41,11345,7279,265,21124,
07/31/2020,04/25/2020,04/25/2020,By week,United States,Week-ending,15324,73304,1.36,10307,6569,143,19109,
07/31/2020,05/02/2020,05/02/2020,By week,United States,Week-ending,13036,68685,1.28,8875,5476,65,16480,
07/31/2020,05/09/2020,05/09/2020,By week,United States,Week-ending,11053,66173,1.25,7755,4664,47,14181,
07/31/2020,05/16/2020,05/16/2020,By week,United States,Week-ending,9050,63738,1.21,6660,3728,20,11999,
07/31/2020,05/23/2020,05/23/2020,By week,United States,Week-ending,7064,60744,1.17,5786,2933,23,9936,
07/31/2020,05/30/2020,05/30/2020,By week,United States,Week-ending,6024,58520,1.13,5163,2439,11,8759,
07/31/2020,06/06/2020,06/06/2020,By week,United States,Week-ending,4894,57233,1.09,4773,2103,11,7575,
07/31/2020,06/13/2020,06/13/2020,By week,United States,Week-ending,4093,55613,1.07,4364,1822,11,6643,
07/31/2020,06/20/2020,06/20/2020,By week,United States,Week-ending,3663,54665,1.06,4141,1547,5,6262,
07/31/2020,06/27/2020,06/27/2020,By week,United States,Week-ending,3519,53837,1.05,3902,1445,10,5985,
07/31/2020,07/04/2020,07/04/2020,By week,United States,Week-ending,3924,53162,1.02,3997,1740,3,6182,
07/31/2020,07/11/2020,07/11/2020,By week,United States,Week-ending,4362,51918,1.01,4430,2082,7,6717,
07/31/2020,07/18/2020,07/18/2020,By week,United States,Week-ending,3815,44928,0.88,3712,1769,8,5765,
07/31/2020,07/25/2020,07/25/2020,By week,United States,Week-ending,1280,25452,0.5,1697,598,4,2381,
07/31/2020,02/01/2020,02/01/2020,By week,Alabama,Week-ending,0,1022,0.94,56,0,14,70,
07/31/2020,02/08/2020,02/08/2020,By week,Alabama,Week-ending,0,1114,1,61,0,10,71,
07/31/2020,02/15/2020,02/15/2020,By week,Alabama,Week-ending,0,1090,1,76,0,,82,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/31/2020,02/22/2020,02/22/2020,By week,Alabama,Week-ending,0,1093,1.01,68,0,,73,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/31/2020,02/29/2020,02/29/2020,By week,Alabama,Week-ending,0,1157,1.11,63,0,14,77,
07/31/2020,03/07/2020,03/07/2020,By week,Alabama,Week-ending,0,1053,1.01,58,0,13,71,
07/31/2020,03/14/2020,03/14/2020,By week,Alabama,Week-ending,0,1084,1,61,0,,68,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/31/2020,03/21/2020,03/21/2020,By week,Alabama,Week-ending,,1050,1.03,71,,,78,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/31/2020,03/28/2020,03/28/2020,By week,Alabama,Week-ending,23,1064,1.04,68,,,92,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/31/2020,04/04/2020,04/04/2020,By week,Alabama,Week-ending,49,1144,1.11,65,11,,106,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/31/2020,04/11/2020,04/11/2020,By week,Alabama,Week-ending,81,1127,1.1,86,27,,143,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/31/2020,04/18/2020,04/18/2020,By week,Alabama,Week-ending,89,1134,1.15,94,26,0,157,
07/31/2020,04/25/2020,04/25/2020,By week,Alabama,Week-ending,83,1125,1.12,76,19,,141,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/31/2020,05/02/2020,05/02/2020,By week,Alabama,Week-ending,78,1129,1.14,86,25,,140,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/31/2020,05/09/2020,05/09/2020,By week,Alabama,Week-ending,114,1154,1.15,93,34,,173,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/31/2020,05/16/2020,05/16/2020,By week,Alabama,Week-ending,90,1126,1.13,87,29,,149,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/31/2020,05/23/2020,05/23/2020,By week,Alabama,Week-ending,76,1131,1.15,80,22,0,134,
07/31/2020,05/30/2020,05/30/2020,By week,Alabama,Week-ending,103,1082,1.11,95,30,,169,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/31/2020,06/06/2020,06/06/2020,By week,Alabama,Week-ending,86,1124,1.12,85,31,,141,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/31/2020,06/13/2020,06/13/2020,By week,Alabama,Week-ending,78,1094,1.15,72,28,0,122,
07/31/2020,06/20/2020,06/20/2020,By week,Alabama,Week-ending,84,1040,1.07,77,25,0,136,
07/31/2020,06/27/2020,06/27/2020,By week,Alabama,Week-ending,93,1057,1.14,75,27,0,141,
07/31/2020,07/04/2020,07/04/2020,By week,Alabama,Week-ending,108,1083,1.1,82,40,0,150,
07/31/2020,07/11/2020,07/11/2020,By week,Alabama,Week-ending,95,1030,1.04,78,29,0,144,
07/31/2020,07/18/2020,07/18/2020,By week,Alabama,Week-ending,106,831,0.86,63,22,0,147,
07/31/2020,07/25/2020,07/25/2020,By week,Alabama,Week-ending,38,413,0.44,27,15,0,50,
07/31/2020,02/01/2020,02/01/2020,By week,Alaska,Week-ending,0,85,0.95,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/31/2020,02/08/2020,02/08/2020,By week,Alaska,Week-ending,0,95,1.27,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/31/2020,02/15/2020,02/15/2020,By week,Alaska,Week-ending,0,89,1.02,0,0,0,0,
07/31/2020,02/22/2020,02/22/2020,By week,Alaska,Week-ending,0,83,1.02,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
