Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/10/2020,02/01/2020,02/01/2020,By week,United States,Week-ending,1,57744,0.97,3733,0,476,4210,
06/10/2020,02/08/2020,02/08/2020,By week,United States,Week-ending,1,58340,0.98,3723,0,514,4238,
06/10/2020,02/15/2020,02/15/2020,By week,United States,Week-ending,0,57685,0.98,3754,0,543,4297,
06/10/2020,02/22/2020,02/22/2020,By week,United States,Week-ending,3,57773,0.99,3628,1,557,4187,
06/10/2020,02/29/2020,02/29/2020,By week,United States,Week-ending,5,58158,1.01,3751,3,635,4388,
06/10/2020,03/07/2020,03/07/2020,By week,United States,Week-ending,32,58364,1.01,3881,16,619,4515,
06/10/2020,03/14/2020,03/14/2020,By week,United States,Week-ending,52,57238,1,3872,27,608,4504,
06/10/2020,03/21/2020,03/21/2020,By week,United States,Week-ending,546,57812,1.02,4434,245,537,5266,
06/10/2020,03/28/2020,03/28/2020,By week,United States,Week-ending,3030,61698,1.1,6008,1369,437,8056,
06/10/2020,04/04/2020,04/04/2020,By week,United States,Week-ending,9437,70103,1.25,9551,4522,460,14703,
06/10/2020,04/11/2020,04/11/2020,By week,United States,Week-ending,15569,76372,1.38,11600,6984,464,20312,
06/10/2020,04/18/2020,04/18/2020,By week,United States,Week-ending,16153,73389,1.36,10820,6912,258,20135,
06/10/2020,04/25/2020,04/25/2020,By week,United States,Week-ending,13846,68879,1.28,9477,5938,141,17430,
06/10/2020,05/02/2020,05/02/2020,By week,United States,Week-ending,11202,63213,1.18,7947,4786,57,14401,
06/10/2020,05/09/2020,05/09/2020,By week,United States,Week-ending,10003,60278,1.14,7067,4271,44,12834,
06/10/2020,05/16/2020,05/16/2020,By week,United States,Week-ending,7754,55941,1.06,5811,3236,17,10344,
06/10/2020,05/23/2020,05/23/2020,By week,United States,Week-ending,5127,48488,0.93,4437,2187,14,7391,
06/10/2020,05/30/2020,05/30/2020,By week,United States,Week-ending,2445,35744,0.69,2565,972,4,4042,
06/10/2020,06/06/2020,06/06/2020,By week,United States,Week-ending,402,14037,0.07,774,169,5,1012,
06/10/2020,02/01/2020,02/01/2020,By week,Alabama,Week-ending,0,1020,0.93,56,0,14,70,
06/10/2020,02/08/2020,02/08/2020,By week,Alabama,Week-ending,0,1111,1,61,0,10,71,
06/10/2020,02/15/2020,02/15/2020,By week,Alabama,Week-ending,0,1084,1,76,0,,82,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/22/2020,02/22/2020,By week,Alabama,Week-ending,0,1082,1,68,0,,72,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/29/2020,02/29/2020,By week,Alabama,Week-ending,0,1148,1.11,63,0,14,77,
06/10/2020,03/07/2020,03/07/2020,By week,Alabama,Week-ending,0,1044,1,58,0,13,71,
06/10/2020,03/14/2020,03/14/2020,By week,Alabama,Week-ending,0,1069,0.99,60,0,,67,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,03/21/2020,03/21/2020,By week,Alabama,Week-ending,,1044,1.02,72,,,79,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,03/28/2020,03/28/2020,By week,Alabama,Week-ending,22,1045,1.02,68,,,91,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
