Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
07/20/2020,02/01/2020,02/01/2020,By week,United States,Week-ending,0,58354,0.98,3778,0,479,4257,
07/20/2020,02/08/2020,02/08/2020,By week,United States,Week-ending,1,59110,0.99,3781,0,519,4301,
07/20/2020,02/15/2020,02/15/2020,By week,United States,Week-ending,0,58398,0.99,3808,0,554,4362,
07/20/2020,02/22/2020,02/22/2020,By week,United States,Week-ending,5,58424,1.01,3666,1,562,4232,
07/20/2020,02/29/2020,02/29/2020,By week,United States,Week-ending,6,58579,1.02,3779,3,644,4426,
07/20/2020,03/07/2020,03/07/2020,By week,United States,Week-ending,34,58687,1.01,3911,16,624,4552,
07/20/2020,03/14/2020,03/14/2020,By week,United States,Week-ending,52,57727,1.01,3903,27,612,4539,
07/20/2020,03/21/2020,03/21/2020,By week,United States,Week-ending,563,58589,1.03,4499,250,549,5354,
07/20/2020,03/28/2020,03/28/2020,By week,United States,Week-ending,3139,62582,1.12,6134,1418,440,8245,
07/20/2020,04/04/2020,04/04/2020,By week,United States,Week-ending,9920,71797,1.28,9850,4722,477,15289,
07/20/2020,04/11/2020,04/11/2020,By week,United States,Week-ending,16047,78500,1.42,11914,7187,472,20906,
07/20/2020,04/18/2020,04/18/2020,By week,United States,Week-ending,16941,76191,1.41,11322,7269,263,21070,
07/20/2020,04/25/2020,04/25/2020,By week,United States,Week-ending,15289,73151,1.36,10286,6557,143,19065,
07/20/2020,05/02/2020,05/02/2020,By week,United States,Week-ending,13014,68432,1.27,8854,5473,65,16440,
07/20/2020,05/09/2020,05/09/2020,By week,United States,Week-ending,11007,65721,1.25,7715,4650,46,14109,
07/20/2020,05/16/2020,05/16/2020,By week,United States,Week-ending,8999,63172,1.2,6625,3715,19,11925,
07/20/2020,05/23/2020,05/23/2020,By week,United States,Week-ending,7019,60130,1.15,5748,2921,23,9865,
07/20/2020,05/30/2020,05/30/2020,By week,United States,Week-ending,5980,57736,1.11,5112,2422,11,8681,
07/20/2020,06/06/2020,06/06/2020,By week,United States,Week-ending,4828,56196,1.07,4698,2077,11,7460,
07/20/2020,06/13/2020,06/13/2020,By week,United States,Week-ending,3994,54049,1.04,4237,1779,11,6460,
