Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
09/10/2020,02/01/2020,02/01/2020,By week,United States,Week-ending,0,58570,0.99,3796,0,479,4275,
09/10/2020,02/08/2020,02/08/2020,By week,United States,Week-ending,1,59286,0.99,3798,0,520,4319,
09/10/2020,02/15/2020,02/15/2020,By week,United States,Week-ending,0,58691,1,3823,0,558,4381,
09/10/2020,02/22/2020,02/22/2020,By week,United States,Week-ending,5,58725,1.01,3698,1,564,4266,
09/10/2020,02/29/2020,02/29/2020,By week,United States,Week-ending,9,59153,1.03,3822,5,654,4480,
09/10/2020,03/07/2020,03/07/2020,By week,United States,Week-ending,35,59527,1.03,3955,17,632,4604,
09/10/2020,03/14/2020,03/14/2020,By week,United States,Week-ending,53,58369,1.02,3951,28,622,4597,
09/10/2020,03/21/2020,03/21/2020,By week,United States,Week-ending,571,58999,1.04,4530,252,560,5402,
09/10/2020,03/28/2020,03/28/2020,By week,United States,Week-ending,3151,62863,1.13,6164,1424,442,8283,
09/10/2020,04/04/2020,04/04/2020,By week,United States,Week-ending,10009,72121,1.29,9904,4750,479,15406,
09/10/2020,04/11/2020,04/11/2020,By week,United States,Week-ending,16164,78847,1.42,11978,7219,474,21057,
09/10/2020,04/18/2020,04/18/2020,By week,United States,Week-ending,17048,76522,1.41,11375,7296,266,21204,
09/10/2020,04/25/2020,04/25/2020,By week,United States,Week-ending,15409,73587,1.37,10347,6589,143,19214,
09/10/2020,05/02/2020,05/02/2020,By week,United States,Week-ending,13121,68975,1.28,8918,5500,65,16584,
09/10/2020,05/09/2020,05/09/2020,By week,United States,Week-ending,11147,66534,1.26,7814,4699,47,14299,
09/10/2020,05/16/2020,05/16/2020,By week,United States,Week-ending,9144,64172,1.22,6731,3761,21,12132,
09/10/2020,05/23/2020,05/23/2020,By week,United States,Week-ending,7136,61274,1.18,5849,2949,24,10055,
09/10/2020,05/30/2020,05/30/2020,By week,United States,Week-ending,6090,59297,1.14,5234,2467,12,8869,
09/10/2020,06/06/2020,06/06/2020,By week,United States,Week-ending,4967,58449,1.12,4859,2131,11,7706,
09/10/2020,06/13/2020,06/13/2020,By week,United States,Week-ending,4172,57540,1.11,4488,1850,11,6818,
09/10/2020,06/20/2020,06/20/2020,By week,United States,Week-ending,3778,57368,1.11,4319,1587,7,6516,
09/10/2020,06/27/2020,06/27/2020,By week,United States,Week-ending,3736,57745,1.12,4186,1533,10,6398,
09/10/2020,07/04/2020,07/04/2020,By week,United States,Week-ending,4392,58652,1.13,4456,1953,4,6896,
09/10/2020,07/11/2020,07/11/2020,By week,United States,Week-ending,5541,59984,1.17,5359,2630,9,8279,
09/10/2020,07/18/2020,07/18/2020,By week,United States,Week-ending,6871,60648,1.19,5934,3319,12,9495,
09/10/2020,07/25/2020,07/25/2020,By week,United States,Week-ending,7754,61019,1.2,6404,3764,10,10399,
09/10/2020,08/01/2020,08/01/2020,By week,United States,Week-ending,7540,59921,1.18,6284,3699,12,10131,
09/10/2020,08/08/2020,08/08/2020,By week,United States,Week-ending,6987,58814,1.15,6123,3522,8,9593,
09/10/2020,08/15/2020,08/15/2020,By week,United States,Week-ending,5885,55765,1.09,5429,2979,5,8337,
09/10/2020,08/22/2020,08/22/2020,By week,United States,Week-ending,4222,49794,0.98,4312,2120,7,6420,
09/10/2020,08/29/2020,08/29/2020,By week,United States,Week-ending,1941,36986,0.72,2544,984,6,3505,
09/10/2020,09/05/2020,09/05/2020,By week,United States,Week-ending,298,15163,0.29,823,167,1,955,
09/10/2020,02/01/2020,02/01/2020,By week,Alabama,Week-ending,0,1023,0.94,56,0,14,70,
09/10/2020,02/08/2020,02/08/2020,By week,Alabama,Week-ending,0,1115,1,61,0,10,71,
09/10/2020,02/15/2020,02/15/2020,By week,Alabama,Week-ending,0,1092,1.01,76,0,,82,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
09/10/2020,02/22/2020,02/22/2020,By week,Alabama,Week-ending,0,1096,1.01,68,0,,73,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
09/10/2020,02/29/2020,02/29/2020,By week,Alabama,Week-ending,0,1160,1.12,63,0,14,77,
09/10/2020,03/07/2020,03/07/2020,By week,Alabama,Week-ending,0,1053,1.01,58,0,13,71,
09/10/2020,03/14/2020,03/14/2020,By week,Alabama,Week-ending,0,1085,1,61,0,,68,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
09/10/2020,03/21/2020,03/21/2020,By week,Alabama,Week-ending,,1055,1.03,71,,,79,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
09/10/2020,03/28/2020,03/28/2020,By week,Alabama,Week-ending,23,1069,1.05,68,,,92,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
09/10/2020,04/04/2020,04/04/2020,By week,Alabama,Week-ending,49,1150,1.12,65,11,,106,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
09/10/2020,04/11/2020,04/11/2020,By week,Alabama,Week-ending,81,1130,1.1,86,27,,144,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
09/10/2020,04/18/2020,04/18/2020,By week,Alabama,Week-ending,89,1136,1.16,94,26,0,157,
