Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/17/2020,02/01/2020,02/01/2020,By week,United States,Week-ending,1,57951,0.98,3751,0,476,4228,
06/17/2020,02/08/2020,02/08/2020,By week,United States,Week-ending,1,58467,0.98,3734,0,514,4249,
06/17/2020,02/15/2020,02/15/2020,By week,United States,Week-ending,0,57753,0.98,3758,0,545,4303,
06/17/2020,02/22/2020,02/22/2020,By week,United States,Week-ending,4,57819,0.99,3634,1,557,4194,
06/17/2020,02/29/2020,02/29/2020,By week,United States,Week-ending,5,58199,1.01,3757,3,637,4396,
06/17/2020,03/07/2020,03/07/2020,By week,United States,Week-ending,32,58461,1.01,3890,16,620,4525,
06/17/2020,03/14/2020,03/14/2020,By week,United States,Week-ending,52,57350,1,3877,27,608,4509,
06/17/2020,03/21/2020,03/21/2020,By week,United States,Week-ending,548,57975,1.02,4456,245,540,5293,
06/17/2020,03/28/2020,03/28/2020,By week,United States,Week-ending,3040,61940,1.11,6030,1372,438,8086,
06/17/2020,04/04/2020,04/04/2020,By week,United States,Week-ending,9482,70440,1.26,9587,4537,460,14769,
06/17/2020,04/11/2020,04/11/2020,By week,United States,Week-ending,15652,76861,1.39,11652,7009,466,20423,
06/17/2020,04/18/2020,04/18/2020,By week,United States,Week-ending,16270,74162,1.37,10916,6963,259,20297,
06/17/2020,04/25/2020,04/25/2020,By week,United States,Week-ending,14017,70156,1.3,9625,6012,142,17676,
06/17/2020,05/02/2020,05/02/2020,By week,United States,Week-ending,11502,64973,1.21,8118,4881,59,14778,
06/17/2020,05/09/2020,05/09/2020,By week,United States,Week-ending,10492,62449,1.18,7336,4450,46,13415,
06/17/2020,05/16/2020,05/16/2020,By week,United States,Week-ending,8407,58542,1.11,6182,3491,18,11114,
06/17/2020,05/23/2020,05/23/2020,By week,United States,Week-ending,6142,53843,1.03,5111,2618,18,8653,
06/17/2020,05/30/2020,05/30/2020,By week,United States,Week-ending,4683,48712,0.94,4165,1912,9,6945,
06/17/2020,06/06/2020,06/06/2020,By week,United States,Week-ending,2548,38045,0.72,2769,1061,6,4262,
06/17/2020,06/13/2020,06/13/2020,By week,United States,Week-ending,461,16558,0.32,949,215,1,1196,
06/17/2020,02/01/2020,02/01/2020,By week,Alabama,Week-ending,0,1021,0.93,56,0,14,70,
06/17/2020,02/08/2020,02/08/2020,By week,Alabama,Week-ending,0,1110,1,61,0,10,71,
06/17/2020,02/15/2020,02/15/2020,By week,Alabama,Week-ending,0,1085,1,76,0,,82,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/17/2020,02/22/2020,02/22/2020,By week,Alabama,Week-ending,0,1085,1,68,0,,72,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/17/2020,02/29/2020,02/29/2020,By week,Alabama,Week-ending,0,1150,1.11,63,0,14,77,
06/17/2020,03/07/2020,03/07/2020,By week,Alabama,Week-ending,0,1044,1,58,0,13,71,
06/17/2020,03/14/2020,03/14/2020,By week,Alabama,Week-ending,0,1070,0.99,60,0,,67,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/17/2020,03/21/2020,03/21/2020,By week,Alabama,Week-ending,,1044,1.02,71,,,78,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/17/2020,03/28/2020,03/28/2020,By week,Alabama,Week-ending,23,1050,1.03,68,,,92,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/17/2020,04/04/2020,04/04/2020,By week,Alabama,Week-ending,49,1130,1.1,65,11,,105,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/17/2020,04/11/2020,04/11/2020,By week,Alabama,Week-ending,80,1111,1.08,85,27,,141,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/17/2020,04/18/2020,04/18/2020,By week,Alabama,Week-ending,89,1116,1.13,93,26,0,156,
06/17/2020,04/25/2020,04/25/2020,By week,Alabama,Week-ending,81,1103,1.1,76,19,,139,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/17/2020,05/02/2020,05/02/2020,By week,Alabama,Week-ending,76,1093,1.1,83,24,,136,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/17/2020,05/09/2020,05/09/2020,By week,Alabama,Week-ending,102,1104,1.1,87,30,0,159,
06/17/2020,05/16/2020,05/16/2020,By week,Alabama,Week-ending,84,1036,1.04,81,27,,139,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/17/2020,05/23/2020,05/23/2020,By week,Alabama,Week-ending,61,995,1.02,75,22,0,114,
06/17/2020,05/30/2020,05/30/2020,By week,Alabama,Week-ending,65,804,0.82,69,18,,117,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/17/2020,06/06/2020,06/06/2020,By week,Alabama,Week-ending,28,601,0.6,37,,0,58,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/17/2020,06/13/2020,06/13/2020,By week,Alabama,Week-ending,,200,0.21,,,0,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/17/2020,02/01/2020,02/01/2020,By week,Alaska,Week-ending,0,84,0.94,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/17/2020,02/08/2020,02/08/2020,By week,Alaska,Week-ending,0,94,1.26,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/17/2020,02/15/2020,02/15/2020,By week,Alaska,Week-ending,0,88,1.01,0,0,0,0,
06/17/2020,02/22/2020,02/22/2020,By week,Alaska,Week-ending,0,83,1.02,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/17/2020,02/29/2020,02/29/2020,By week,Alaska,Week-ending,0,82,0.98,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/17/2020,03/07/2020,03/07/2020,By week,Alaska,Week-ending,0,78,0.91,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/17/2020,03/14/2020,03/14/2020,By week,Alaska,Week-ending,0,92,1.09,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/17/2020,03/21/2020,03/21/2020,By week,Alaska,Week-ending,0,66,0.83,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/17/2020,03/28/2020,03/28/2020,By week,Alaska,Week-ending,,83,0.97,10,,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/17/2020,04/04/2020,04/04/2020,By week,Alaska,Week-ending,,96,1.11,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/17/2020,04/11/2020,04/11/2020,By week,Alaska,Week-ending,,79,0.92,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/17/2020,04/18/2020,04/18/2020,By week,Alaska,Week-ending,,78,1,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
