Data as of,Start Date,End Date,Group,Year,Month,MMWR Week,Week Ending Date,State,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
02/02/2021,12/29/2019,01/04/2020,By Week,2019/2020,,1,01/04/2020,United States,3,60166,98,4107,3,434,4541,
02/02/2021,01/05/2020,01/11/2020,By Week,2020,,2,01/11/2020,United States,3,60716,97,4151,0,475,4629,
02/02/2021,01/12/2020,01/18/2020,By Week,2020,,3,01/18/2020,United States,3,59349,97,4063,2,467,4531,
02/02/2021,01/19/2020,01/25/2020,By Week,2020,,4,01/25/2020,United States,2,59143,99,3917,1,499,4417,
02/02/2021,01/26/2020,02/01/2020,By Week,2020,,5,02/01/2020,United States,0,58799,99,3815,0,481,4296,
02/02/2021,02/02/2020,02/08/2020,By Week,2020,,6,02/08/2020,United States,2,59368,99,3812,1,521,4334,
02/02/2021,02/09/2020,02/15/2020,By Week,2020,,7,02/15/2020,United States,0,58786,100,3839,0,560,4399,
02/02/2021,02/16/2020,02/22/2020,By Week,2020,,8,02/22/2020,United States,4,58863,101,3711,1,566,4280,
02/02/2021,02/23/2020,02/29/2020,By Week,2020,,9,02/29/2020,United States,9,59274,103,3833,5,655,4492,
02/02/2021,03/01/2020,03/07/2020,By Week,2020,,10,03/07/2020,United States,35,59636,103,3972,17,637,4626,
02/02/2021,03/08/2020,03/14/2020,By Week,2020,,11,03/14/2020,United States,56,58635,103,3971,28,626,4624,
02/02/2021,03/15/2020,03/21/2020,By Week,2020,,12,03/21/2020,United States,574,59170,104,4547,250,559,5423,
02/02/2021,03/22/2020,03/28/2020,By Week,2020,,13,03/28/2020,United States,3173,62972,113,6181,1434,445,8314,
02/02/2021,03/29/2020,04/04/2020,By Week,2020,,14,04/04/2020,United States,10064,72239,129,9928,4768,478,15467,
02/02/2021,04/05/2020,04/11/2020,By Week,2020,,15,04/11/2020,United States,16232,79016,143,12003,7235,473,21134,
02/02/2021,04/12/2020,04/18/2020,By Week,2020,,16,04/18/2020,United States,17098,76700,142,11401,7314,265,21261,
02/02/2021,04/19/2020,04/25/2020,By Week,2020,,17,04/25/2020,United States,15473,73830,138,10384,6611,144,19293,
02/02/2021,04/26/2020,05/02/2020,By Week,2020,,18,05/02/2020,United States,13175,69237,129,8946,5516,65,16650,
02/02/2021,05/03/2020,05/09/2020,By Week,2020,,19,05/09/2020,United States,11200,66766,127,7833,4711,48,14360,
02/02/2021,05/10/2020,05/16/2020,By Week,2020,,20,05/16/2020,United States,9192,64429,123,6776,3782,22,12205,
02/02/2021,05/17/2020,05/23/2020,By Week,2020,,21,05/23/2020,United States,7205,61566,118,5895,2973,24,10146,
02/02/2021,05/24/2020,05/30/2020,By Week,2020,,22,05/30/2020,United States,6142,59614,115,5277,2487,12,8944,
02/02/2021,05/31/2020,06/06/2020,By Week,2020,,23,06/06/2020,United States,5024,58825,112,4898,2150,11,7783,
02/02/2021,06/07/2020,06/13/2020,By Week,2020,,24,06/13/2020,United States,4217,57966,112,4540,1859,11,6906,
