Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
10/09/2020,02/01/2020,02/01/2020,By week,United States,Week-ending,0,58611,0.99,3799,0,479,4278,
10/09/2020,02/08/2020,02/08/2020,By week,United States,Week-ending,1,59320,0.99,3803,0,521,4325,
10/09/2020,02/15/2020,02/15/2020,By week,United States,Week-ending,0,58731,1,3831,0,559,4390,
10/09/2020,02/22/2020,02/22/2020,By week,United States,Week-ending,5,58764,1.01,3699,1,565,4268,
10/09/2020,02/29/2020,02/29/2020,By week,United States,Week-ending,10,59200,1.03,3824,5,654,4483,
10/09/2020,03/07/2020,03/07/2020,By week,United States,Week-ending,35,59608,1.03,3962,17,634,4613,
10/09/2020,03/14/2020,03/14/2020,By week,United States,Week-ending,53,58581,1.03,3965,28,625,4614,
10/09/2020,03/21/2020,03/21/2020,By week,United States,Week-ending,572,59109,1.04,4538,251,559,5411,
10/09/2020,03/28/2020,03/28/2020,By week,United States,Week-ending,3158,62900,1.13,6169,1426,441,8292,
10/09/2020,04/04/2020,04/04/2020,By week,United States,Week-ending,10022,72160,1.29,9906,4755,478,15416,
10/09/2020,04/11/2020,04/11/2020,By week,United States,Week-ending,16180,78919,1.42,11984,7223,474,21075,
10/09/2020,04/18/2020,04/18/2020,By week,United States,Week-ending,17069,76581,1.42,11385,7303,265,21227,
10/09/2020,04/25/2020,04/25/2020,By week,United States,Week-ending,15431,73670,1.37,10358,6595,144,19241,
10/09/2020,05/02/2020,05/02/2020,By week,United States,Week-ending,13151,69078,1.29,8931,5513,65,16614,
10/09/2020,05/09/2020,05/09/2020,By week,United States,Week-ending,11167,66664,1.26,7822,4705,47,14321,
10/09/2020,05/16/2020,05/16/2020,By week,United States,Week-ending,9164,64324,1.23,6758,3772,21,12168,
10/09/2020,05/23/2020,05/23/2020,By week,United States,Week-ending,7167,61439,1.18,5874,2958,24,10102,
10/09/2020,05/30/2020,05/30/2020,By week,United States,Week-ending,6111,59474,1.15,5259,2477,12,8905,
10/09/2020,06/06/2020,06/06/2020,By week,United States,Week-ending,4988,58682,1.12,4870,2134,11,7735,
10/09/2020,06/13/2020,06/13/2020,By week,United States,Week-ending,4194,57784,1.11,4514,1855,11,6861,
10/09/2020,06/20/2020,06/20/2020,By week,United States,Week-ending,3801,57683,1.12,4344,1595,8,6557,
10/09/2020,06/27/2020,06/27/2020,By week,United States,Week-ending,3782,58162,1.13,4232,1546,11,6478,
10/09/2020,07/04/2020,07/04/2020,By week,United States,Week-ending,4462,59409,1.14,4519,1982,4,7000,
10/09/2020,07/11/2020,07/11/2020,By week,United States,Week-ending,5678,61371,1.2,5478,2684,10,8481,
10/09/2020,07/18/2020,07/18/2020,By week,United States,Week-ending,7052,62453,1.22,6111,3407,12,9765,
10/09/2020,07/25/2020,07/25/2020,By week,United States,Week-ending,8054,63159,1.25,6637,3904,10,10792,
10/09/2020,08/01/2020,08/01/2020,By week,United States,Week-ending,8102,62651,1.23,6677,3980,13,10805,
10/09/2020,08/08/2020,08/08/2020,By week,United States,Week-ending,7619,62434,1.22,6631,3875,9,10381,
10/09/2020,08/15/2020,08/15/2020,By week,United States,Week-ending,6972,61675,1.22,6298,3570,5,9702,
10/09/2020,08/22/2020,08/22/2020,By week,United States,Week-ending,6026,59540,1.18,5694,3064,12,8665,
10/09/2020,08/29/2020,08/29/2020,By week,United States,Week-ending,5296,56919,1.11,5142,2678,11,7766,
10/09/2020,09/05/2020,09/05/2020,By week,United States,Week-ending,4496,54754,1.07,4705,2274,8,6932,
10/09/2020,09/12/2020,09/12/2020,By week,United States,Week-ending,3959,52885,1.02,4340,1983,7,6321,
10/09/2020,09/19/2020,09/19/2020,By week,United States,Week-ending,3351,50636,0.97,3872,1622,3,5604,
10/09/2020,09/26/2020,09/26/2020,By week,United States,Week-ending,2530,44550,0.84,3301,1255,1,4577,
10/09/2020,10/03/2020,10/03/2020,By week,United States,Week-ending,841,25850,0.45,1519,383,1,1978,
10/09/2020,02/01/2020,02/01/2020,By week,Alabama,Week-ending,0,1024,0.94,56,0,14,70,
10/09/2020,02/08/2020,02/08/2020,By week,Alabama,Week-ending,0,1117,1.01,61,0,10,71,
10/09/2020,02/15/2020,02/15/2020,By week,Alabama,Week-ending,0,1093,1.01,76,0,,82,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
10/09/2020,02/22/2020,02/22/2020,By week,Alabama,Week-ending,0,1096,1.01,68,0,,73,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
10/09/2020,02/29/2020,02/29/2020,By week,Alabama,Week-ending,0,1161,1.12,63,0,14,77,
10/09/2020,03/07/2020,03/07/2020,By week,Alabama,Week-ending,0,1053,1.01,58,0,13,71,
10/09/2020,03/14/2020,03/14/2020,By week,Alabama,Week-ending,0,1086,1,61,0,,68,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
10/09/2020,03/21/2020,03/21/2020,By week,Alabama,Week-ending,,1056,1.03,71,,,79,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
10/09/2020,03/28/2020,03/28/2020,By week,Alabama,Week-ending,23,1071,1.05,68,,,92,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
