Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
11/16/2020,02/01/2020,02/01/2020,By week,United States,Week-ending,0,58786,0.99,3812,0,480,4292,
11/16/2020,02/08/2020,02/08/2020,By week,United States,Week-ending,1,59346,0.99,3808,0,521,4330,
11/16/2020,02/15/2020,02/15/2020,By week,United States,Week-ending,0,58767,1,3837,0,560,4397,
11/16/2020,02/22/2020,02/22/2020,By week,United States,Week-ending,5,58837,1.01,3705,1,566,4275,
11/16/2020,02/29/2020,02/29/2020,By week,United States,Week-ending,10,59250,1.03,3830,5,656,4491,
11/16/2020,03/07/2020,03/07/2020,By week,United States,Week-ending,36,59629,1.03,3972,18,635,4624,
11/16/2020,03/14/2020,03/14/2020,By week,United States,Week-ending,56,58607,1.03,3966,28,626,4619,
11/16/2020,03/21/2020,03/21/2020,By week,United States,Week-ending,573,59136,1.04,4542,250,558,5416,
11/16/2020,03/28/2020,03/28/2020,By week,United States,Week-ending,3169,62929,1.13,6174,1433,443,8303,
11/16/2020,04/04/2020,04/04/2020,By week,United States,Week-ending,10040,72206,1.29,9919,4763,478,15439,
11/16/2020,04/11/2020,04/11/2020,By week,United States,Week-ending,16199,78960,1.42,11997,7230,473,21100,
11/16/2020,04/18/2020,04/18/2020,By week,United States,Week-ending,17087,76637,1.42,11392,7311,265,21244,
11/16/2020,04/25/2020,04/25/2020,By week,United States,Week-ending,15454,73771,1.37,10372,6605,144,19268,
11/16/2020,05/02/2020,05/02/2020,By week,United States,Week-ending,13161,69195,1.29,8943,5516,65,16633,
11/16/2020,05/09/2020,05/09/2020,By week,United States,Week-ending,11180,66709,1.27,7828,4708,48,14338,
11/16/2020,05/16/2020,05/16/2020,By week,United States,Week-ending,9174,64366,1.23,6764,3775,21,12181,
11/16/2020,05/23/2020,05/23/2020,By week,United States,Week-ending,7195,61506,1.18,5889,2971,24,10132,
11/16/2020,05/30/2020,05/30/2020,By week,United States,Week-ending,6124,59539,1.15,5268,2484,12,8920,
11/16/2020,06/06/2020,06/06/2020,By week,United States,Week-ending,5008,58771,1.12,4883,2141,11,7761,
11/16/2020,06/13/2020,06/13/2020,By week,United States,Week-ending,4208,57893,1.12,4528,1859,11,6885,
11/16/2020,06/20/2020,06/20/2020,By week,United States,Week-ending,3816,57820,1.12,4356,1602,8,6577,
11/16/2020,06/27/2020,06/27/2020,By week,United States,Week-ending,3794,58330,1.13,4249,1548,11,6505,
11/16/2020,07/04/2020,07/04/2020,By week,United States,Week-ending,4490,59639,1.15,4543,1990,4,7044,
11/16/2020,07/11/2020,07/11/2020,By week,United States,Week-ending,5733,61685,1.2,5514,2703,10,8553,
11/16/2020,07/18/2020,07/18/2020,By week,United States,Week-ending,7115,62909,1.23,6160,3435,12,9849,
11/16/2020,07/25/2020,07/25/2020,By week,United States,Week-ending,8139,63957,1.26,6712,3938,10,10918,
11/16/2020,08/01/2020,08/01/2020,By week,United States,Week-ending,8213,63887,1.26,6787,4035,13,10971,
11/16/2020,08/08/2020,08/08/2020,By week,United States,Week-ending,7772,63267,1.24,6756,3951,9,10583,
11/16/2020,08/15/2020,08/15/2020,By week,United States,Week-ending,7149,63025,1.24,6450,3647,5,9954,
11/16/2020,08/22/2020,08/22/2020,By week,United States,Week-ending,6249,61627,1.22,5875,3164,12,8969,
11/16/2020,08/29/2020,08/29/2020,By week,United States,Week-ending,5560,59664,1.17,5422,2822,11,8166,
11/16/2020,09/05/2020,09/05/2020,By week,United States,Week-ending,4764,58209,1.14,5008,2399,9,7378,
11/16/2020,09/12/2020,09/12/2020,By week,United States,Week-ending,4331,57029,1.11,4713,2170,7,6879,
11/16/2020,09/19/2020,09/19/2020,By week,United States,Week-ending,3948,56609,1.09,4460,1904,5,6509,
11/16/2020,09/26/2020,09/26/2020,By week,United States,Week-ending,3982,57411,1.1,4646,1967,3,6663,
11/16/2020,10/03/2020,10/03/2020,By week,United States,Week-ending,3871,56124,1.07,4440,1847,7,6471,
11/16/2020,10/10/2020,10/10/2020,By week,United States,Week-ending,4352,57048,1.09,4704,2147,12,6918,
11/16/2020,10/17/2020,10/17/2020,By week,United States,Week-ending,4528,54482,1.02,4626,2161,16,7002,
11/16/2020,10/24/2020,10/24/2020,By week,United States,Week-ending,4867,53165,0.99,4707,2240,15,7342,
11/16/2020,10/31/2020,10/31/2020,By week,United States,Week-ending,4491,47743,0.88,4182,2065,13,6619,
11/16/2020,11/07/2020,11/07/2020,By week,United States,Week-ending,2360,32164,0.59,2545,1073,13,3840,
11/16/2020,11/14/2020,11/14/2020,By week,United States,Week-ending,240,6716,0.12,399,113,0,526,
11/16/2020,02/01/2020,02/01/2020,By week,Alabama,Week-ending,0,1025,0.94,56,0,14,70,
11/16/2020,02/08/2020,02/08/2020,By week,Alabama,Week-ending,0,1117,1.01,61,0,10,71,
11/16/2020,02/15/2020,02/15/2020,By week,Alabama,Week-ending,0,1094,1.01,76,0,,82,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,02/22/2020,02/22/2020,By week,Alabama,Week-ending,0,1096,1.01,68,0,,73,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,02/29/2020,02/29/2020,By week,Alabama,Week-ending,0,1161,1.12,63,0,14,77,
11/16/2020,03/07/2020,03/07/2020,By week,Alabama,Week-ending,0,1053,1.01,58,0,13,71,
11/16/2020,03/14/2020,03/14/2020,By week,Alabama,Week-ending,0,1089,1.01,61,0,,68,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,03/21/2020,03/21/2020,By week,Alabama,Week-ending,,1057,1.03,71,,,79,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,03/28/2020,03/28/2020,By week,Alabama,Week-ending,23,1072,1.05,68,,,92,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,04/04/2020,04/04/2020,By week,Alabama,Week-ending,49,1153,1.12,65,11,,106,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,04/11/2020,04/11/2020,By week,Alabama,Week-ending,81,1132,1.1,86,27,,144,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,04/18/2020,04/18/2020,By week,Alabama,Week-ending,89,1141,1.16,94,26,0,157,
11/16/2020,04/25/2020,04/25/2020,By week,Alabama,Week-ending,83,1136,1.13,77,19,,142,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,05/02/2020,05/02/2020,By week,Alabama,Week-ending,81,1146,1.15,87,26,,143,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,05/09/2020,05/09/2020,By week,Alabama,Week-ending,115,1166,1.16,94,34,,175,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,05/16/2020,05/16/2020,By week,Alabama,Week-ending,94,1145,1.15,89,30,,154,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,05/23/2020,05/23/2020,By week,Alabama,Week-ending,79,1149,1.17,82,23,0,138,
11/16/2020,05/30/2020,05/30/2020,By week,Alabama,Week-ending,103,1105,1.13,95,30,,169,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,06/06/2020,06/06/2020,By week,Alabama,Week-ending,90,1166,1.16,86,32,,145,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,06/13/2020,06/13/2020,By week,Alabama,Week-ending,81,1132,1.19,75,29,0,127,
11/16/2020,06/20/2020,06/20/2020,By week,Alabama,Week-ending,88,1082,1.11,78,25,0,141,
11/16/2020,06/27/2020,06/27/2020,By week,Alabama,Week-ending,102,1146,1.23,83,30,0,155,
11/16/2020,07/04/2020,07/04/2020,By week,Alabama,Week-ending,119,1195,1.21,92,46,,165,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,07/11/2020,07/11/2020,By week,Alabama,Week-ending,133,1251,1.26,94,36,0,191,
11/16/2020,07/18/2020,07/18/2020,By week,Alabama,Week-ending,190,1282,1.33,102,45,0,247,
11/16/2020,07/25/2020,07/25/2020,By week,Alabama,Week-ending,247,1322,1.42,133,87,0,293,
11/16/2020,08/01/2020,08/01/2020,By week,Alabama,Week-ending,261,1351,1.4,157,94,,325,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,08/08/2020,08/08/2020,By week,Alabama,Week-ending,261,1360,1.41,133,86,,309,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,08/15/2020,08/15/2020,By week,Alabama,Week-ending,228,1287,1.36,140,83,0,285,
11/16/2020,08/22/2020,08/22/2020,By week,Alabama,Week-ending,206,1281,1.37,116,63,0,259,
11/16/2020,08/29/2020,08/29/2020,By week,Alabama,Week-ending,181,1196,1.25,129,70,0,240,
11/16/2020,09/05/2020,09/05/2020,By week,Alabama,Week-ending,153,1190,1.23,110,58,0,205,
11/16/2020,09/12/2020,09/12/2020,By week,Alabama,Week-ending,135,1216,1.27,106,48,0,193,
11/16/2020,09/19/2020,09/19/2020,By week,Alabama,Week-ending,136,1158,1.21,96,45,0,187,
11/16/2020,09/26/2020,09/26/2020,By week,Alabama,Week-ending,103,1148,1.16,75,30,0,148,
11/16/2020,10/03/2020,10/03/2020,By week,Alabama,Week-ending,106,1058,1.11,90,36,0,160,
11/16/2020,10/10/2020,10/10/2020,By week,Alabama,Week-ending,124,1122,1.19,95,45,,175,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,10/17/2020,10/17/2020,By week,Alabama,Week-ending,107,1072,1.09,79,37,0,149,
11/16/2020,10/24/2020,10/24/2020,By week,Alabama,Week-ending,94,962,0.99,85,25,,155,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,10/31/2020,10/31/2020,By week,Alabama,Week-ending,89,805,0.84,76,34,0,131,
11/16/2020,11/07/2020,11/07/2020,By week,Alabama,Week-ending,54,481,0.48,43,20,0,77,
11/16/2020,11/14/2020,11/14/2020,By week,Alabama,Week-ending,,72,0.07,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,02/01/2020,02/01/2020,By week,Alaska,Week-ending,0,85,0.95,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,02/08/2020,02/08/2020,By week,Alaska,Week-ending,0,92,1.23,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,02/15/2020,02/15/2020,By week,Alaska,Week-ending,0,89,1.02,0,0,0,0,
11/16/2020,02/22/2020,02/22/2020,By week,Alaska,Week-ending,0,83,1.02,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,02/29/2020,02/29/2020,By week,Alaska,Week-ending,0,84,1,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,03/07/2020,03/07/2020,By week,Alaska,Week-ending,0,79,0.92,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,03/14/2020,03/14/2020,By week,Alaska,Week-ending,0,92,1.09,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,03/21/2020,03/21/2020,By week,Alaska,Week-ending,0,69,0.87,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,03/28/2020,03/28/2020,By week,Alaska,Week-ending,,85,0.99,10,,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,04/04/2020,04/04/2020,By week,Alaska,Week-ending,,98,1.13,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,04/11/2020,04/11/2020,By week,Alaska,Week-ending,,83,0.96,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,04/18/2020,04/18/2020,By week,Alaska,Week-ending,,80,1.03,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,04/25/2020,04/25/2020,By week,Alaska,Week-ending,0,61,0.78,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,05/02/2020,05/02/2020,By week,Alaska,Week-ending,0,87,0.98,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,05/09/2020,05/09/2020,By week,Alaska,Week-ending,,89,1.14,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,05/16/2020,05/16/2020,By week,Alaska,Week-ending,0,83,1.08,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,05/23/2020,05/23/2020,By week,Alaska,Week-ending,0,82,1.06,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,05/30/2020,05/30/2020,By week,Alaska,Week-ending,0,97,1.34,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/16/2020,06/06/2020,06/06/2020,By week,Alaska,Week-ending,0,78,0.92,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
