Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
08/11/2020,02/01/2020,02/01/2020,By week,United States,Week-ending,0,58474,0.99,3788,0,479,4267,
08/11/2020,02/08/2020,02/08/2020,By week,United States,Week-ending,1,59225,0.99,3791,0,520,4312,
08/11/2020,02/15/2020,02/15/2020,By week,United States,Week-ending,0,58584,1,3814,0,555,4369,
08/11/2020,02/22/2020,02/22/2020,By week,United States,Week-ending,5,58635,1.01,3684,1,564,4252,
08/11/2020,02/29/2020,02/29/2020,By week,United States,Week-ending,8,59037,1.03,3810,4,652,4466,
08/11/2020,03/07/2020,03/07/2020,By week,United States,Week-ending,35,59308,1.03,3941,17,630,4588,
08/11/2020,03/14/2020,03/14/2020,By week,United States,Week-ending,52,58000,1.02,3922,27,612,4558,
08/11/2020,03/21/2020,03/21/2020,By week,United States,Week-ending,566,58670,1.03,4512,251,551,5371,
08/11/2020,03/28/2020,03/28/2020,By week,United States,Week-ending,3149,62673,1.12,6151,1424,440,8266,
08/11/2020,04/04/2020,04/04/2020,By week,United States,Week-ending,9961,71918,1.29,9873,4731,477,15344,
08/11/2020,04/11/2020,04/11/2020,By week,United States,Week-ending,16122,78678,1.42,11946,7205,473,20995,
08/11/2020,04/18/2020,04/18/2020,By week,United States,Week-ending,17015,76356,1.41,11356,7287,265,21160,
08/11/2020,04/25/2020,04/25/2020,By week,United States,Week-ending,15361,73382,1.36,10321,6582,143,19147,
08/11/2020,05/02/2020,05/02/2020,By week,United States,Week-ending,13087,68812,1.28,8899,5495,65,16536,
08/11/2020,05/09/2020,05/09/2020,By week,United States,Week-ending,11100,66332,1.26,7781,4682,47,14236,
08/11/2020,05/16/2020,05/16/2020,By week,United States,Week-ending,9100,63956,1.22,6697,3747,20,12067,
08/11/2020,05/23/2020,05/23/2020,By week,United States,Week-ending,7093,60996,1.17,5807,2938,23,9981,
08/11/2020,05/30/2020,05/30/2020,By week,United States,Week-ending,6044,58929,1.14,5192,2449,12,8799,
08/11/2020,06/06/2020,06/06/2020,By week,United States,Week-ending,4924,57943,1.11,4808,2113,11,7630,
08/11/2020,06/13/2020,06/13/2020,By week,United States,Week-ending,4122,56813,1.1,4436,1839,11,6727,
08/11/2020,06/20/2020,06/20/2020,By week,United States,Week-ending,3699,56078,1.09,4226,1561,6,6370,
08/11/2020,06/27/2020,06/27/2020,By week,United States,Week-ending,3616,55562,1.08,4026,1484,10,6167,
08/11/2020,07/04/2020,07/04/2020,By week,United States,Week-ending,4118,55501,1.07,4189,1828,4,6480,
08/11/2020,07/11/2020,07/11/2020,By week,United States,Week-ending,4921,55689,1.08,4859,2334,7,7453,
08/11/2020,07/18/2020,07/18/2020,By week,United States,Week-ending,5465,53885,1.05,4947,2596,11,7824,
08/11/2020,07/25/2020,07/25/2020,By week,United States,Week-ending,4602,48430,0.95,4300,2174,7,6732,
