OBJECTID,Name,Population,Desc_,attribute,attr_date,metric,value,rep_date,Shape__Area,Shape__Length
1,Colorado,5694287,COVID-19 in Colorado by Age Group,0-9,,Percent of Cases,1.09,3/17/2020,28.0394250010993,22.0199204177256
2,Colorado,5694287,COVID-19 in Colorado by Age Group,10-19,,Percent of Cases,3.83,3/17/2020,28.0394250010993,22.0199204177256
3,Colorado,5694287,COVID-19 in Colorado by Age Group,20-29,,Percent of Cases,10.93,3/17/2020,28.0394250010993,22.0199204177256
4,Colorado,5694287,COVID-19 in Colorado by Age Group,30-39,,Percent of Cases,21.31,3/17/2020,28.0394250010993,22.0199204177256
5,Colorado,5694287,COVID-19 in Colorado by Age Group,40-49,,Percent of Cases,19.13,3/17/2020,28.0394250010993,22.0199204177256
6,Colorado,5694287,COVID-19 in Colorado by Age Group,50-59,,Percent of Cases,18003,3/17/2020,28.0394250010993,22.0199204177256
7,Colorado,5694287,COVID-19 in Colorado by Age Group,60-69,,Percent of Cases,12.57,3/17/2020,28.0394250010993,22.0199204177256
8,Colorado,5694287,COVID-19 in Colorado by Age Group,70-79,,Percent of Cases,8.2,3/17/2020,28.0394250010993,22.0199204177256
9,Colorado,5694287,COVID-19 in Colorado by Age Group,80+,,Percent of Cases,3.28,3/17/2020,28.0394250010993,22.0199204177256
10,Colorado,5694287,COVID-19 in Colorado by Age Group,Unknown,,Percent of Cases,1.64,3/17/2020,28.0394250010993,22.0199204177256
32,Colorado,5694287,COVID-19 in Colorado by Age Group,0-9,,Percent of Cases,0.46,3/18/2020,28.0394250010993,22.0199204177256
33,Colorado,5694287,COVID-19 in Colorado by Age Group,10-19,,Percent of Cases,4.17,3/18/2020,28.0394250010993,22.0199204177256
34,Colorado,5694287,COVID-19 in Colorado by Age Group,20-29,,Percent of Cases,12.5,3/18/2020,28.0394250010993,22.0199204177256
35,Colorado,5694287,COVID-19 in Colorado by Age Group,30-39,,Percent of Cases,18.52,3/18/2020,28.0394250010993,22.0199204177256
36,Colorado,5694287,COVID-19 in Colorado by Age Group,40-49,,Percent of Cases,18.98,3/18/2020,28.0394250010993,22.0199204177256
37,Colorado,5694287,COVID-19 in Colorado by Age Group,50-59,,Percent of Cases,18.52,3/18/2020,28.0394250010993,22.0199204177256
38,Colorado,5694287,COVID-19 in Colorado by Age Group,60-69,,Percent of Cases,13.43,3/18/2020,28.0394250010993,22.0199204177256
39,Colorado,5694287,COVID-19 in Colorado by Age Group,70-79,,Percent of Cases,8.33,3/18/2020,28.0394250010993,22.0199204177256
40,Colorado,5694287,COVID-19 in Colorado by Age Group,80+,,Percent of Cases,3.24,3/18/2020,28.0394250010993,22.0199204177256
41,Colorado,5694287,COVID-19 in Colorado by Age Group,Unknown,,Percent of Cases,1.85,3/18/2020,28.0394250010993,22.0199204177256
62,Colorado,5694287,COVID-19 in Colorado by Age Group,0-9,,Percent of Cases,0.72,3/19/2020,28.0394250010993,22.0199204177256
63,Colorado,5694287,COVID-19 in Colorado by Age Group,10-19,,Percent of Cases,4.33,3/19/2020,28.0394250010993,22.0199204177256
64,Colorado,5694287,COVID-19 in Colorado by Age Group,20-29,,Percent of Cases,13.36,3/19/2020,28.0394250010993,22.0199204177256
65,Colorado,5694287,COVID-19 in Colorado by Age Group,30-39,,Percent of Cases,17.69,3/19/2020,28.0394250010993,22.0199204177256
