Name,Population,Desc_,attribute,attr_date,metric,value,rep_date,ObjectId
Colorado,5694287,COVID-19 in Colorado by Age Group,0-9,,Percent of Cases,1.09,03/17/2020,1
Colorado,5694287,COVID-19 in Colorado by Age Group,10-19,,Percent of Cases,3.83,03/17/2020,2
Colorado,5694287,COVID-19 in Colorado by Age Group,20-29,,Percent of Cases,10.93,03/17/2020,3
Colorado,5694287,COVID-19 in Colorado by Age Group,30-39,,Percent of Cases,21.31,03/17/2020,4
Colorado,5694287,COVID-19 in Colorado by Age Group,40-49,,Percent of Cases,19.13,03/17/2020,5
Colorado,5694287,COVID-19 in Colorado by Age Group,50-59,,Percent of Cases,18003,03/17/2020,6
Colorado,5694287,COVID-19 in Colorado by Age Group,60-69,,Percent of Cases,12.57,03/17/2020,7
Colorado,5694287,COVID-19 in Colorado by Age Group,70-79,,Percent of Cases,8.2,03/17/2020,8
Colorado,5694287,COVID-19 in Colorado by Age Group,80+,,Percent of Cases,3.28,03/17/2020,9
Colorado,5694287,COVID-19 in Colorado by Age Group,Unknown,,Percent of Cases,1.64,03/17/2020,10
Colorado,5694287,COVID-19 in Colorado by Age Group,0-9,,Percent of Cases,0.46,03/18/2020,11
Colorado,5694287,COVID-19 in Colorado by Age Group,10-19,,Percent of Cases,4.17,03/18/2020,12
Colorado,5694287,COVID-19 in Colorado by Age Group,20-29,,Percent of Cases,12.5,03/18/2020,13
Colorado,5694287,COVID-19 in Colorado by Age Group,30-39,,Percent of Cases,18.52,03/18/2020,14
Colorado,5694287,COVID-19 in Colorado by Age Group,40-49,,Percent of Cases,18.98,03/18/2020,15
Colorado,5694287,COVID-19 in Colorado by Age Group,50-59,,Percent of Cases,18.52,03/18/2020,16
Colorado,5694287,COVID-19 in Colorado by Age Group,60-69,,Percent of Cases,13.43,03/18/2020,17
Colorado,5694287,COVID-19 in Colorado by Age Group,70-79,,Percent of Cases,8.33,03/18/2020,18
Colorado,5694287,COVID-19 in Colorado by Age Group,80+,,Percent of Cases,3.24,03/18/2020,19
Colorado,5694287,COVID-19 in Colorado by Age Group,Unknown,,Percent of Cases,1.85,03/18/2020,20
Colorado,5694287,COVID-19 in Colorado by Age Group,0-9,,Percent of Cases,0.72,03/19/2020,21
Colorado,5694287,COVID-19 in Colorado by Age Group,10-19,,Percent of Cases,4.33,03/19/2020,22
Colorado,5694287,COVID-19 in Colorado by Age Group,20-29,,Percent of Cases,13.36,03/19/2020,23
Colorado,5694287,COVID-19 in Colorado by Age Group,30-39,,Percent of Cases,17.69,03/19/2020,24
Colorado,5694287,COVID-19 in Colorado by Age Group,40-49,,Percent of Cases,19.13,03/19/2020,25
Colorado,5694287,COVID-19 in Colorado by Age Group,50-59,,Percent of Cases,18.05,03/19/2020,26
Colorado,5694287,COVID-19 in Colorado by Age Group,60-69,,Percent of Cases,14.8,03/19/2020,27
Colorado,5694287,COVID-19 in Colorado by Age Group,70-79,,Percent of Cases,9.03,03/19/2020,28
Colorado,5694287,COVID-19 in Colorado by Age Group,80+,,Percent of Cases,2.89,03/19/2020,29
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","0-9, Not Hospitalized",,Cases,2,03/19/2020,30
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","10-19, Not Hospitalized",,Cases,12,03/19/2020,31
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","20-29, Not Hospitalized",,Cases,37,03/19/2020,32
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Hospitalized",,Cases,3,03/19/2020,33
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Not Hospitalized",,Cases,46,03/19/2020,34
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Hospitalized",,Cases,2,03/19/2020,35
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Not Hospitalized",,Cases,51,03/19/2020,36
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Hospitalized",,Cases,9,03/19/2020,37
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Not Hospitalized",,Cases,41,03/19/2020,38
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Hospitalized",,Cases,14,03/19/2020,39
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Not Hospitalized",,Cases,27,03/19/2020,40
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","70-79, Hospitalized",,Cases,6,03/19/2020,41
