Name,Population,Desc_,attribute,attr_date,metric,value,rep_date,ObjectId
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Not Hospitalized",,Cases,284,3/28/2020,1
Colorado,5694287,COVID-19 in Colorado by Age Group,30-39,,Percent of Cases,18.18,3/20/2020,2
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","80+, Deaths",,Cases,22,3/29/2020,3
Colorado,5694287,COVID-19 in Colorado by Age Group,10-19,,Percent of Cases,3.83,3/17/2020,4
Colorado,5694287,COVID-19 in Colorado by Age Group,30-39,,Percent of Cases,17.26,3/22/2020,5
Colorado,5694287,COVID-19 in Colorado by Age Group,50-59,,Percent of Cases,17.08,3/28/2020,6
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Deaths",,Cases,3,3/28/2020,7
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Hospitalized",,Cases,55,3/28/2020,8
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Not Hospitalized",,Cases,294,3/28/2020,9
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Hospitalized",,Cases,6,3/22/2020,10
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Hospitalized",,Cases,4,3/20/2020,11
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","80+, Hospitalized",,Cases,39,3/29/2020,12
Colorado,5694287,COVID-19 in Colorado by Age Group,0-9,,Percent of Cases,1.09,3/17/2020,13
Colorado,5694287,COVID-19 in Colorado by Age Group,60-69,,Percent of Cases,14.22,3/28/2020,14
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Deaths",,Cases,4,3/28/2020,15
Colorado,5694287,COVID-19 in Colorado by Age Group,20-29,,Percent of Cases,10.93,3/17/2020,16
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","80+, Not Hospitalized",,Cases,91,3/29/2020,17
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Not Hospitalized",,Cases,62,3/20/2020,18
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Not Hospitalized",,Cases,96,3/22/2020,19
Colorado,5694287,COVID-19 in Colorado by Age Group,0-9,,Percent of Cases,1.21,3/24/2020,20
Colorado,5694287,COVID-19 in Colorado by Age Group,10-19,,Percent of Cases,2.48,3/27/2020,21
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Not Hospitalized",,Cases,119,3/25/2020,22
Colorado,5694287,COVID-19 in Colorado by Age Group,40-49,,Percent of Cases,19.8,3/22/2020,23
Colorado,5694287,COVID-19 in Colorado by Age Group,40-49,,Percent of Cases,17.08,3/20/2020,24
Colorado,5694287,COVID-19 in Colorado by Sex,Female,,Percent of Cases,52.06,3/29/2020,25
Colorado,5694287,COVID-19 in Colorado by Age Group,30-39,,Percent of Cases,21.31,3/17/2020,26
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Hospitalized",,Cases,53,3/28/2020,27
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Not Hospitalized",,Cases,236,3/28/2020,28
Colorado,5694287,COVID-19 in Colorado by Age Group,40-49,,Percent of Cases,19.13,3/17/2020,29
Colorado,5694287,COVID-19 in Colorado by Sex,Male,,Percent of Cases,47.42,3/29/2020,30
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Hospitalized",,Cases,2,3/20/2020,31
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Hospitalized",,Cases,7,3/22/2020,32
Colorado,5694287,COVID-19 in Colorado by Age Group,70-79,,Percent of Cases,10.41,3/25/2020,33
Colorado,5694287,COVID-19 in Colorado by Age Group,0-9,,Percent of Cases,1.15,3/27/2020,34
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","0-9, Not Hospitalized",,Cases,11,3/24/2020,35
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","10-19, Not Hospitalized",,Cases,23,3/24/2020,36
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","0-9, Hospitalized",,Cases,1,3/27/2020,37
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","70-79, Deaths",,Cases,7,3/25/2020,38
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Not Hospitalized",,Cases,60,3/20/2020,39
Colorado,5694287,COVID-19 in Colorado by Age Group,Unknown,,Percent of Cases,0.43,3/29/2020,40
Colorado,5694287,COVID-19 in Colorado by Age Group,50-59,,Percent of Cases,18003,3/17/2020,41
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Not Hospitalized",,Cases,110,3/22/2020,42
Colorado,5694287,COVID-19 in Colorado by Age Group,70-79,,Percent of Cases,10.67,3/28/2020,43
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","70-79, Deaths",,Cases,14,3/28/2020,44
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","70-79, Hospitalized",,Cases,48,3/28/2020,45
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","70-79, Not Hospitalized",,Cases,158,3/28/2020,46
Colorado,5694287,COVID-19 in Colorado by Age Group,80+,,Percent of Cases,6.55,3/28/2020,47
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","80+, Deaths",,Cases,21,3/28/2020,48
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","80+, Hospitalized",,Cases,30,3/28/2020,49
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","80+, Not Hospitalized",,Cases,84,3/28/2020,50
Colorado,5694287,COVID-19 in Colorado by Sex,Female,,Percent of Cases,52.26,3/28/2020,51
Colorado,5694287,COVID-19 in Colorado by Sex,Male,,Percent of Cases,47.16,3/28/2020,52
Colorado,5694287,COVID-19 in Colorado by Age Group,Unknown,,Percent of Cases,0.44,3/28/2020,53
Colorado,5694287,COVID-19 in Colorado by Sex,Unknown,,Percent of Cases,0.58,3/28/2020,54
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","Unknown, Not Hospitalized",,Cases,9,3/28/2020,55
Colorado,5694287,COVID-19 in Colorado by Age Group,10-19,,Percent of Cases,2.12,3/29/2020,56
Colorado,5694287,COVID-19 in Colorado by Age Group,0-9,,Percent of Cases,1,3/29/2020,57
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","0-9, Hospitalized",,Cases,1,3/29/2020,58
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","0-9, Not Hospitalized",,Cases,22,3/29/2020,59
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","10-19, Not Hospitalized",,Cases,49,3/29/2020,60
Colorado,5694287,COVID-19 in Colorado by Age Group,20-29,,Percent of Cases,14.87,3/29/2020,61
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","20-29, Hospitalized",,Cases,9,3/29/2020,62
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","20-29, Not Hospitalized",,Cases,334,3/29/2020,63
Colorado,5694287,COVID-19 in Colorado by Age Group,30-39,,Percent of Cases,16.91,3/29/2020,64
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Hospitalized",,Cases,23,3/29/2020,65
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Not Hospitalized",,Cases,367,3/29/2020,66
Colorado,5694287,COVID-19 in Colorado by Age Group,40-49,,Percent of Cases,15.43,3/29/2020,67
