OBJECTID,STAETFP,COUNTYFP,GEOID,COUNTY,LABEL,FULL_,County_Pos_Cases,County_Population,County_Rate_Per_100_000,State_Population,State_Pos_Unknown,State_Pos_Cases,Data_Source,Date_Data_Last_Updated,State_Number_Tested,State_Number_Hospitalizations,State_Deaths,State_Number_of_Counties_Pos,State_Rate_Per_100000,Shape__Area,Shape__Length,State_Number_Outbreaks
1,08,109,08109,SAGUACHE,Saguache,Saguache County,3,6837,-1,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,13273871024.1289,529491.079018544,113
2,08,115,08115,SEDGWICK,Sedgwick,Sedgwick County,0,2275,0,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,2491281577.11719,208249.56871408,113
3,08,017,08017,CHEYENNE,Cheyenne,Cheyenne County,0,1862,0,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,7613550869.75391,373455.831824096,113
4,08,027,08027,CUSTER,Custer,Custer County,2,4928,-1,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,3100361575.17578,290994.589030107,113
5,08,067,08067,LA PLATA,La Plata,La Plata County,51,56403,90.42,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,6966607866.58203,371001.027724019,113
6,08,111,08111,SAN JUAN,San Juan,San Juan County,0,762,0,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,1611963627.42969,209303.346789561,113
7,08,097,08097,PITKIN,Pitkin,Pitkin County,57,17879,318.81,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,4204962607.14063,360368.050497512,113
8,08,093,08093,PARK,Park,Park County,6,18557,32.33,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,9525822458.41406,477017.520520283,113
9,08,003,08003,ALAMOSA,Alamosa,Alamosa County,9,16184,55.61,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,2987314188.43359,224661.437209443,113
10,08,099,08099,PROWERS,Prowers,Prowers County,1,12078,-1,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,6861386117.78516,333326.752196427,113
11,08,081,08081,MOFFAT,Moffat,Moffat County,5,13181,37.93,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,21378597682.3633,615436.363722786,113
12,08,059,08059,JEFFERSON,Jefferson,Jefferson County,987,579491,170.32,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,3379799618.59766,374132.11754513,113
13,08,117,08117,SUMMIT,Summit,Summit County,88,30973,284.12,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,2707648429.75781,325660.775440309,113
14,08,101,08101,PUEBLO,Pueblo,Pueblo County,88,167116,52.66,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,10064732291.2969,426421.345889861,113
15,08,013,08013,BOULDER,Boulder,Boulder County,360,325476,110.61,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,3280791024.07031,290982.502053684,113
16,08,031,08031,DENVER,Denver,Denver County,1880,717797,261.91,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,680063925.65625,341638.127461467,113
17,08,085,08085,MONTROSE,Montrose,Montrose County,80,42260,189.3,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,9473395348.78906,544456.741798932,113
18,08,037,08037,EAGLE,Eagle,Eagle County,486,54863,885.84,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,7395854605.48047,390147.77807481,113
19,08,113,08113,SAN MIGUEL,San Miguel,San Miguel County,17,8177,207.9,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,5384599734.96484,409162.439815051,113
20,08,023,08023,COSTILLA,Costilla,Costilla County,3,3809,-1,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,5044736712.28125,326902.580049715,113
21,08,014,08014,BROOMFIELD,Broomfield,Broomfield County,103,69453,148.3,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,148046030.359375,146355.830495437,113
22,08,015,08015,CHAFFEE,Chaffee,Chaffee County,38,20028,189.73,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,4328004367.16797,386588.205582361,113
23,08,025,08025,CROWLEY,Crowley,Crowley County,2,5857,-1,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,3373467236.0625,243673.421602718,113
24,08,043,08043,FREMONT,Fremont,Fremont County,11,47912,22.96,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,6491723772.80859,368122.636694602,113
25,08,055,08055,HUERFANO,Huerfano,Huerfano County,1,6854,-1,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,6600175788.24219,473895.539017731,113
26,08,029,08029,DELTA,Delta,Delta County,25,30936,80.81,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,4913548287.83594,340015.070505667,113
27,08,045,08045,GARFIELD,Garfield,Garfield County,71,59807,118.72,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,12911081555.8047,662380.047263359,113
28,08,103,08103,RIO BLANCO,Rio Blanco,Rio Blanco County,1,6305,-1,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,14232867247.625,615863.666810983,113
29,08,087,08087,MORGAN,Morgan,Morgan County,167,28503,585.9,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,5761403665.51953,305025.067510655,113
30,08,073,08073,LINCOLN,Lincoln,Lincoln County,3,5584,-1,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,11104214487.6953,501503.379966312,113
31,08,083,08083,MONTEZUMA,Montezuma,Montezuma County,13,26159,49.7,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,8372827720.81641,400009.056123532,113
32,08,001,08001,ADAMS,Adams,Adams County,968,511473,189.26,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County of Identification,"Data through April 19, 2020",47466,1880,449,56,177.48,5210141150.01953,511835.400891218,113
33,08,079,08079,MINERAL,Mineral,Mineral County,2,777,-1,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,3634702483.06641,263045.388781546,113
34,08,089,08089,OTERO,Otero,Otero County,7,18364,38.12,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,5290668251.41406,335426.330930159,113
35,08,095,08095,PHILLIPS,Phillips,Phillips County,5,4266,117.21,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,3093819023.79688,227633.738214857,113
36,08,091,08091,OURAY,Ouray,Ouray County,5,4798,104.21,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,2274816289.12891,272615.623145942,113
37,08,011,08011,BENT,Bent,Bent County,0,5819,0,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,6430590598.72656,323583.727603443,113
38,08,007,08007,ARCHULETA,Archuleta,Archuleta County,7,13737,50.96,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,5542147892.29297,332854.375928837,113
39,08,107,08107,ROUTT,Routt,Routt County,49,25683,190.79,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,10614530971.7148,532136.256905045,113
40,08,053,08053,HINSDALE,Hinsdale,Hinsdale County,3,804,-1,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,4669808237.98828,359599.201114798,113
41,08,123,08123,WELD,Weld,Weld County,1121,314251,356.72,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,18041133099.0898,641092.26859247,113
42,08,069,08069,LARIMER,Larimer,Larimer County,245,350362,69.93,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,11869666547.0664,482557.23477005,113
43,08,065,08065,LAKE,Lake,Lake County,8,7762,103.07,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,1658108649.73438,213386.288543794,113
44,08,105,08105,RIO GRANDE,Rio Grande,Rio Grande County,7,11226,62.36,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,3769075953.91406,271469.141210196,113
45,08,047,08047,GILPIN,Gilpin,Gilpin County,1,6097,-1,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,661227908.605469,121354.050357325,113
46,08,125,08125,YUMA,Yuma,Yuma County,3,10029,-1,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,10467950650.7617,420189.213207024,113
47,08,057,08057,JACKSON,Jackson,Jackson County,0,1396,0,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,7304560868.78125,472651.746203251,113
48,08,063,08063,KIT CARSON,Kit Carson,Kit Carson County,18,7157,251.5,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,9363594130.41406,400120.724499853,113
49,08,019,08019,CLEAR CREEK,Clear Creek,Clear Creek County,11,9663,113.84,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,1736216264.01172,211108.263142895,113
50,08,075,08075,LOGAN,Logan,Logan County,22,21854,100.67,5695430,126,10106,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 19, 2020",47466,1880,449,56,177.48,8328152552.15234,372747.682548311,113
