OBJECTID,STAETFP,COUNTYFP,GEOID,COUNTY,LABEL,FULL_,County_Pos_Cases,County_Population,County_Rate_Per_100_000,State_Population,State_Pos_Unknown,State_Pos_Cases,Data_Source,Date_Data_Last_Updated,State_Number_Tested,State_Number_Hospitalizations,State_Deaths,State_Number_of_Counties_Pos,State_Rate_Per_100000,Shape__Area,Shape__Length,State_Number_Outbreaks
1,8,109,8109,SAGUACHE,Saguache,Saguache County,3,6837,-1,5695430,145,6510,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 9, 2020",32653,1312,250,56,114.33,13273871024,529491.079,59
2,8,115,8115,SEDGWICK,Sedgwick,Sedgwick County,0,2275,0,5695430,145,6510,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 9, 2020",32653,1312,250,56,114.33,2491281577,208249.5687,59
3,8,17,8017,CHEYENNE,Cheyenne,Cheyenne County,0,1862,0,5695430,145,6510,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 9, 2020",32653,1312,250,56,114.33,7613550870,373455.8318,59
4,8,27,8027,CUSTER,Custer,Custer County,2,4928,-1,5695430,145,6510,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 9, 2020",32653,1312,250,56,114.33,3100361575,290994.589,59
5,8,67,8067,LA PLATA,La Plata,La Plata County,44,56403,78.01,5695430,145,6510,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 9, 2020",32653,1312,250,56,114.33,6966607867,371001.0277,59
6,8,111,8111,SAN JUAN,San Juan,San Juan County,0,762,0,5695430,145,6510,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 9, 2020",32653,1312,250,56,114.33,1611963627,209303.3468,59
7,8,97,8097,PITKIN,Pitkin,Pitkin County,47,17879,262.88,5695430,145,6510,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 9, 2020",32653,1312,250,56,114.33,4204962607,360368.0505,59
8,8,93,8093,PARK,Park,Park County,6,18557,32.33,5695430,145,6510,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 9, 2020",32653,1312,250,56,114.33,9525822458,477017.5205,59
9,8,3,8003,ALAMOSA,Alamosa,Alamosa County,7,16184,43.25,5695430,145,6510,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 9, 2020",32653,1312,250,56,114.33,2987314188,224661.4372,59
10,8,99,8099,PROWERS,Prowers,Prowers County,1,12078,-1,5695430,145,6510,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 9, 2020",32653,1312,250,56,114.33,6861386118,333326.7522,59
11,8,81,8081,MOFFAT,Moffat,Moffat County,3,13181,-1,5695430,145,6510,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 9, 2020",32653,1312,250,56,114.33,21378597682,615436.3637,59
12,8,59,8059,JEFFERSON,Jefferson,Jefferson County,683,579491,117.86,5695430,145,6510,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 9, 2020",32653,1312,250,56,114.33,3379799619,374132.1175,59
13,8,117,8117,SUMMIT,Summit,Summit County,61,30973,196.95,5695430,145,6510,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 9, 2020",32653,1312,250,56,114.33,2707648430,325660.7754,59
14,8,101,8101,PUEBLO,Pueblo,Pueblo County,50,167116,29.92,5695430,145,6510,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 9, 2020",32653,1312,250,56,114.33,10064732291,426421.3459,59
15,8,13,8013,BOULDER,Boulder,Boulder County,234,325476,71.89,5695430,145,6510,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 9, 2020",32653,1312,250,56,114.33,3280791024,290982.5021,59
16,8,31,8031,DENVER,Denver,Denver County,1113,717797,155.06,5695430,145,6510,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 9, 2020",32653,1312,250,56,114.33,680063925.7,341638.1275,59
17,8,85,8085,MONTROSE,Montrose,Montrose County,38,42260,89.92,5695430,145,6510,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 9, 2020",32653,1312,250,56,114.33,9473395349,544456.7418,59
18,8,37,8037,EAGLE,Eagle,Eagle County,426,54863,776.48,5695430,145,6510,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 9, 2020",32653,1312,250,56,114.33,7395854605,390147.7781,59
19,8,113,8113,SAN MIGUEL,San Miguel,San Miguel County,11,8177,134.52,5695430,145,6510,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 9, 2020",32653,1312,250,56,114.33,5384599735,409162.4398,59
20,8,23,8023,COSTILLA,Costilla,Costilla County,3,3809,-1,5695430,145,6510,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 9, 2020",32653,1312,250,56,114.33,5044736712,326902.58,59
21,8,14,8014,BROOMFIELD,Broomfield,Broomfield County,68,69453,97.91,5695430,145,6510,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 9, 2020",32653,1312,250,56,114.33,148046030.4,146355.8305,59
22,8,15,8015,CHAFFEE,Chaffee,Chaffee County,27,20028,134.81,5695430,145,6510,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 9, 2020",32653,1312,250,56,114.33,4328004367,386588.2056,59
23,8,25,8025,CROWLEY,Crowley,Crowley County,1,5857,-1,5695430,145,6510,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 9, 2020",32653,1312,250,56,114.33,3373467236,243673.4216,59
24,8,43,8043,FREMONT,Fremont,Fremont County,5,47912,10.44,5695430,145,6510,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 9, 2020",32653,1312,250,56,114.33,6491723773,368122.6367,59
25,8,55,8055,HUERFANO,Huerfano,Huerfano County,1,6854,-1,5695430,145,6510,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 9, 2020",32653,1312,250,56,114.33,6600175788,473895.539,59
