OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,08109,Saguache,08,SAGUACHE,109,15,6837,219.39,8,7,,,,20838,5694287,365.95,1091,3789,115996,60,208,Colorado Department of Public Health and Environment,"Data through May 13, 2020",13273871024.1289,529491.079018544
2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,0,2275,0,0,0,,,,20838,5694287,365.95,1091,3789,115996,60,208,Colorado Department of Public Health and Environment,"Data through May 13, 2020",2491281577.11719,208249.56871408
3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,5,1862,268.53,4,1,,,,20838,5694287,365.95,1091,3789,115996,60,208,Colorado Department of Public Health and Environment,"Data through May 13, 2020",7613550869.75391,373455.831824096
4,Custer County,08027,Custer,08,CUSTER,027,2,4928,-1,2,0,,,,20838,5694287,365.95,1091,3789,115996,60,208,Colorado Department of Public Health and Environment,"Data through May 13, 2020",3100361575.17578,290994.589030107
5,La Plata County,08067,La Plata,08,LA PLATA,067,66,56403,117.02,66,0,1,1,0,20838,5694287,365.95,1091,3789,115996,60,208,Colorado Department of Public Health and Environment,"Data through May 13, 2020",6966607866.58203,371001.027724019
6,San Juan County,08111,San Juan,08,SAN JUAN,111,1,762,-1,1,0,,,,20838,5694287,365.95,1091,3789,115996,60,208,Colorado Department of Public Health and Environment,"Data through May 13, 2020",1611963627.42969,209303.346789561
7,Pitkin County,08097,Pitkin,08,PITKIN,097,54,17879,302.03,54,0,2,2,0,20838,5694287,365.95,1091,3789,115996,60,208,Colorado Department of Public Health and Environment,"Data through May 13, 2020",4204962607.14063,360368.050497512
8,Park County,08093,Park,08,PARK,093,16,18557,86.22,16,0,,,,20838,5694287,365.95,1091,3789,115996,60,208,Colorado Department of Public Health and Environment,"Data through May 13, 2020",9525822458.41406,477017.520520283
9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,37,16184,228.62,33,4,2,2,0,20838,5694287,365.95,1091,3789,115996,60,208,Colorado Department of Public Health and Environment,"Data through May 13, 2020",2987314188.43359,224661.437209443
10,Prowers County,08099,Prowers,08,PROWERS,099,9,12078,74.52,9,0,,,,20838,5694287,365.95,1091,3789,115996,60,208,Colorado Department of Public Health and Environment,"Data through May 13, 2020",6861386117.78516,333326.752196427
