OBJECTID,STAETFP,COUNTYFP,GEOID,COUNTY,LABEL,FULL_,County_Pos_Cases,County_Population,County_Rate_Per_100_000,State_Population,State_Pos_Unknown,State_Pos_Cases,Data_Source,Date_Data_Last_Updated,State_Number_Tested,State_Number_Hospitalizations,State_Deaths,State_Number_of_Counties_Pos,State_Rate_Per_100000,Shape__Area,Shape__Length,State_Number_Outbreaks
1,8,109,8109,SAGUACHE,Saguache,Saguache County,3,6837,-1,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,13273871024,529491.079,111
2,8,115,8115,SEDGWICK,Sedgwick,Sedgwick County,0,2275,0,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,2491281577,208249.5687,111
3,8,17,8017,CHEYENNE,Cheyenne,Cheyenne County,0,1862,0,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,7613550870,373455.8318,111
4,8,27,8027,CUSTER,Custer,Custer County,2,4928,-1,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,3100361575,290994.589,111
5,8,67,8067,LA PLATA,La Plata,La Plata County,52,56403,92.19,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,6966607867,371001.0277,111
6,8,111,8111,SAN JUAN,San Juan,San Juan County,0,762,0,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,1611963627,209303.3468,111
7,8,97,8097,PITKIN,Pitkin,Pitkin County,57,17879,318.81,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,4204962607,360368.0505,111
8,8,93,8093,PARK,Park,Park County,6,18557,32.33,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,9525822458,477017.5205,111
9,8,3,8003,ALAMOSA,Alamosa,Alamosa County,7,16184,43.25,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,2987314188,224661.4372,111
10,8,99,8099,PROWERS,Prowers,Prowers County,1,12078,-1,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,6861386118,333326.7522,111
11,8,81,8081,MOFFAT,Moffat,Moffat County,4,13181,-1,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,21378597682,615436.3637,111
12,8,59,8059,JEFFERSON,Jefferson,Jefferson County,957,579491,165.14,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,3379799619,374132.1175,111
13,8,117,8117,SUMMIT,Summit,Summit County,86,30973,277.66,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,2707648430,325660.7754,111
14,8,101,8101,PUEBLO,Pueblo,Pueblo County,87,167116,52.06,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,10064732291,426421.3459,111
15,8,13,8013,BOULDER,Boulder,Boulder County,352,325476,108.15,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,3280791024,290982.5021,111
16,8,31,8031,DENVER,Denver,Denver County,1784,717797,248.54,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,680063925.7,341638.1275,111
17,8,85,8085,MONTROSE,Montrose,Montrose County,77,42260,182.21,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,9473395349,544456.7418,111
18,8,37,8037,EAGLE,Eagle,Eagle County,485,54863,884.02,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,7395854605,390147.7781,111
19,8,113,8113,SAN MIGUEL,San Miguel,San Miguel County,15,8177,183.44,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,5384599735,409162.4398,111
20,8,23,8023,COSTILLA,Costilla,Costilla County,3,3809,-1,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,5044736712,326902.58,111
21,8,14,8014,BROOMFIELD,Broomfield,Broomfield County,101,69453,145.42,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,148046030.4,146355.8305,111
22,8,15,8015,CHAFFEE,Chaffee,Chaffee County,38,20028,189.73,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,4328004367,386588.2056,111
23,8,25,8025,CROWLEY,Crowley,Crowley County,2,5857,-1,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,3373467236,243673.4216,111
24,8,43,8043,FREMONT,Fremont,Fremont County,10,47912,20.87,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,6491723773,368122.6367,111
25,8,55,8055,HUERFANO,Huerfano,Huerfano County,1,6854,-1,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,6600175788,473895.539,111
26,8,29,8029,DELTA,Delta,Delta County,22,30936,71.11,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,4913548288,340015.0705,111
27,8,45,8045,GARFIELD,Garfield,Garfield County,70,59807,117.04,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,12911081556,662380.0473,111
28,8,103,8103,RIO BLANCO,Rio Blanco,Rio Blanco County,1,6305,-1,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,14232867248,615863.6668,111
29,8,87,8087,MORGAN,Morgan,Morgan County,157,28503,550.82,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,5761403666,305025.0675,111
30,8,73,8073,LINCOLN,Lincoln,Lincoln County,3,5584,-1,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,11104214488,501503.38,111
31,8,83,8083,MONTEZUMA,Montezuma,Montezuma County,13,26159,49.7,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,8372827721,400009.0561,111
32,8,1,8001,ADAMS,Adams,Adams County,915,511473,178.9,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County of Identification,"Data through April 18, 2020",46195,1813,422,56,170.87,5210141150,511835.4009,111
33,8,79,8079,MINERAL,Mineral,Mineral County,2,777,-1,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,3634702483,263045.3888,111
34,8,89,8089,OTERO,Otero,Otero County,6,18364,32.67,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,5290668251,335426.3309,111
35,8,95,8095,PHILLIPS,Phillips,Phillips County,5,4266,117.21,5695430,114,9730,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 18, 2020",46195,1813,422,56,170.87,3093819024,227633.7382,111
