OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,8109,Saguache,8,SAGUACHE,109,3,6837,-1,3,0,,,,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",13273871024,529491.079
2,Sedgwick County,8115,Sedgwick,8,SEDGWICK,115,0,2275,0,0,0,,,,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",2491281577,208249.5687
3,Cheyenne County,8017,Cheyenne,8,CHEYENNE,17,0,1862,0,0,0,,,,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",7613550870,373455.8318
4,Custer County,8027,Custer,8,CUSTER,27,2,4928,-1,2,0,,,,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",3100361575,290994.589
5,La Plata County,8067,La Plata,8,LA PLATA,67,63,56403,111.7,63,0,,,,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",6966607867,371001.0277
6,San Juan County,8111,San Juan,8,SAN JUAN,111,0,762,0,0,0,,,,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",1611963627,209303.3468
7,Pitkin County,8097,Pitkin,8,PITKIN,97,51,17879,285.25,51,0,2,2,0,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",4204962607,360368.0505
8,Park County,8093,Park,8,PARK,93,14,18557,75.44,14,0,,,,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",9525822458,477017.5205
9,Alamosa County,8003,Alamosa,8,ALAMOSA,3,12,16184,74.15,11,1,2,2,0,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",2987314188,224661.4372
10,Prowers County,8099,Prowers,8,PROWERS,99,1,12078,-1,1,0,,,,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",6861386118,333326.7522
11,Moffat County,8081,Moffat,8,MOFFAT,81,6,13181,45.52,6,0,,,,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",21378597682,615436.3637
12,Jefferson County,8059,Jefferson,8,JEFFERSON,59,1405,579491,242.45,1384,21,83,81,2,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",3379799619,374132.1175
13,Summit County,8117,Summit,8,SUMMIT,117,144,30973,464.92,136,8,1,1,0,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",2707648430,325660.7754
14,Pueblo County,8101,Pueblo,8,PUEBLO,101,158,167116,94.55,150,8,10,10,0,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",10064732291,426421.3459
15,Boulder County,8013,Boulder,8,BOULDER,13,661,325476,203.09,646,15,44,42,2,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",3280791024,290982.5021
16,Denver County,8031,Denver,8,DENVER,31,3345,717797,466.01,3222,123,166,164,2,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",680063925.7,341638.1275
17,Montrose County,8085,Montrose,8,MONTROSE,85,105,42260,248.46,102,3,11,11,0,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",9473395349,544456.7418
18,Eagle County,8037,Eagle,8,EAGLE,37,551,54863,1004.32,546,5,7,7,0,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",7395854605,390147.7781
19,San Miguel County,8113,San Miguel,8,SAN MIGUEL,113,19,8177,232.36,19,0,,,,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",5384599735,409162.4398
20,Costilla County,8023,Costilla,8,COSTILLA,23,3,3809,-1,3,0,,,,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",5044736712,326902.58
21,Broomfield County,8014,Broomfield,8,BROOMFIELD,14,165,69453,237.57,163,2,12,12,0,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",148046030.4,146355.8305
22,Chaffee County,8015,Chaffee,8,CHAFFEE,15,67,20028,334.53,67,0,15,15,0,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",4328004367,386588.2056
23,Crowley County,8025,Crowley,8,CROWLEY,25,4,5857,-1,3,1,1,1,0,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",3373467236,243673.4216
24,Fremont County,8043,Fremont,8,FREMONT,43,22,47912,45.92,22,0,,,,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",6491723773,368122.6367
25,Huerfano County,8055,Huerfano,8,HUERFANO,55,2,6854,-1,2,0,,,,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",6600175788,473895.539
26,Delta County,8029,Delta,8,DELTA,29,50,30936,161.62,48,2,1,1,0,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",4913548288,340015.0705
27,Garfield County,8045,Garfield,8,GARFIELD,45,97,59807,162.19,95,2,2,2,0,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",12911081556,662380.0473
28,Rio Blanco County,8103,Rio Blanco,8,RIO BLANCO,103,1,6305,-1,1,0,,,,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",14232867248,615863.6668
29,Morgan County,8087,Morgan,8,MORGAN,87,399,28503,1399.85,395,4,20,20,0,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",5761403666,305025.0675
30,Lincoln County,8073,Lincoln,8,LINCOLN,73,3,5584,-1,3,0,,,,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",11104214488,501503.38
31,Montezuma County,8083,Montezuma,8,MONTEZUMA,83,17,26159,64.99,16,1,2,2,0,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",8372827721,400009.0561
32,Adams County,8001,Adams,8,ADAMS,1,1780,511473,348.01,1730,50,68,68,0,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",5210141150,511835.4009
33,Mineral County,8079,Mineral,8,MINERAL,79,2,777,-1,2,0,,,,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",3634702483,263045.3888
34,Otero County,8089,Otero,8,OTERO,89,10,18364,54.45,10,0,1,1,0,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",5290668251,335426.3309
35,Phillips County,8095,Phillips,8,PHILLIPS,95,5,4266,117.21,5,0,,,,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",3093819024,227633.7382
36,Ouray County,8091,Ouray,8,OURAY,91,5,4798,104.21,5,0,1,1,0,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",2274816289,272615.6231
37,Bent County,8011,Bent,8,BENT,11,0,5819,0,0,0,,,,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",6430590599,323583.7276
38,Archuleta County,8007,Archuleta,8,ARCHULETA,7,8,13737,58.24,8,0,,,,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",5542147892,332854.3759
39,Routt County,8107,Routt,8,ROUTT,107,56,25683,218.04,56,0,5,5,0,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",10614530972,532136.2569
40,Hinsdale County,8053,Hinsdale,8,HINSDALE,53,3,804,-1,3,0,,,,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",4669808238,359599.2011
41,Weld County,8123,Weld,8,WELD,123,1872,314251,595.7,1836,36,100,100,0,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",18041133099,641092.2686
42,Larimer County,8069,Larimer,8,LARIMER,69,395,350362,112.74,384,11,18,18,0,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",11869666547,482557.2348
43,Lake County,8065,Lake,8,LAKE,65,20,7762,257.67,20,0,,,,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",1658108650,213386.2885
44,Rio Grande County,8105,Rio Grande,8,RIO GRANDE,105,7,11226,62.36,7,0,,,,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",3769075954,271469.1412
45,Gilpin County,8047,Gilpin,8,GILPIN,47,1,6097,-1,1,0,,,,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",661227908.6,121354.0504
46,Yuma County,8125,Yuma,8,YUMA,125,9,10029,89.74,8,1,,,,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",10467950651,420189.2132
47,Jackson County,8057,Jackson,8,JACKSON,57,0,1396,0,0,0,,,,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",7304560869,472651.7462
48,Kit Carson County,8063,Kit Carson,8,KIT CARSON,63,21,7157,293.42,21,0,2,2,0,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",9363594130,400120.7245
49,Clear Creek County,8019,Clear Creek,8,CLEAR CREEK,19,13,9663,134.53,13,0,1,1,0,16635,5694287,292.13,842,2799,81352,56,163,Colorado Department of Public Health and Environment,"Data through May 2, 2020",1736216264,211108.2631
