OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,08109,Saguache,08,SAGUACHE,109,222,6824,3253.22,217,5,2,2,0,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",0.84314903059385,4.39184364534676
2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,112,2229,5024.67,109,3,2,2,0,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",0.152011070952994,1.7075458304623
3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,63,1825,3452.05,62,1,,,,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",0.478627830943196,3.11127071445578
4,Custer County,08027,Custer,08,CUSTER,027,76,5059,1502.27,72,4,,,,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",0.196859248573446,2.36450252969444
5,La Plata County,08067,La Plata,08,LA PLATA,067,1388,56272,2466.59,1378,10,5,4,1,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",0.447277846552652,3.02281991599123
6,San Juan County,08111,San Juan,08,SAN JUAN,111,19,726,2617.08,20,-1,,,,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",0.102833675325428,1.71664098503411
7,Pitkin County,08097,Pitkin,08,PITKIN,097,513,17756,2889.16,501,12,2,2,0,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",0.262895469540581,2.99758337931076
8,Park County,08093,Park,08,PARK,093,238,18844,1263,238,0,4,4,0,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",0.596376486070085,3.79219717353281
9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,629,16181,3887.28,612,17,13,13,0,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",0.19106400063788,1.83562564586585
10,Prowers County,08099,Prowers,08,PROWERS,099,657,12122,5419.9,627,30,12,12,0,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",0.436578121041293,2.65950781753648
11,Moffat County,08081,Moffat,08,MOFFAT,081,319,13252,2407.18,305,14,9,5,4,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",1.30950090392707,5.03264724477475
12,Jefferson County,08059,Jefferson,08,JEFFERSON,059,21156,583081,3628.31,20710,446,455,440,15,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",0.210187679847877,2.86344185299337
13,Summit County,08117,Summit,08,SUMMIT,117,1553,30983,5012.43,1517,36,4,4,0,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",0.168272135535972,2.59953699733241
14,Pueblo County,08101,Pueblo,08,PUEBLO,101,8856,168110,5267.98,8594,262,131,121,10,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",0.638492791357976,3.43119645764386
15,Boulder County,08013,Boulder,08,BOULDER,013,11329,327164,3462.79,11111,218,121,119,2,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",0.202534731038213,2.38337519766668
16,Denver County,08031,Denver,08,DENVER,031,37106,729239,5088.32,36704,402,528,526,2,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",0.0421858562244779,2.74534829005677
17,Montrose County,08085,Montrose,08,MONTROSE,085,1146,42765,2679.76,1115,31,15,15,0,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",0.599092173290956,4.59010271530844
18,Eagle County,08037,Eagle,08,EAGLE,037,2403,55070,4363.54,2390,13,11,11,0,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",0.459671486366005,3.15805055528872
19,San Miguel County,08113,San Miguel,08,SAN MIGUEL,113,213,8174,2605.82,211,2,,,,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",0.34238906379619,3.44955895760726
20,Costilla County,08023,Costilla,08,COSTILLA,023,84,3872,2169.42,84,0,2,2,0,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",0.323925261744535,2.63276788664489
21,Broomfield County,08014,Broomfield,08,BROOMFIELD,014,2087,70762,2949.32,2046,41,49,49,0,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",0.00915797640027449,1.17463684380326
22,Chaffee County,08015,Chaffee,08,CHAFFEE,015,663,20361,3256.23,658,5,21,21,0,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",0.272389218158423,3.12582249110702
23,Crowley County,08025,Crowley,08,CROWLEY,025,1241,6032,20573.61,1239,2,3,3,0,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",0.213559245320994,1.95538842532836
24,Fremont County,08043,Fremont,08,FREMONT,043,2859,47645,6000.63,2827,32,6,5,1,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",0.410131013649561,3.08744487725261
25,Huerfano County,08055,Huerfano,08,HUERFANO,055,179,6854,2611.61,168,11,7,5,2,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",0.421501116506988,3.86938754513048
26,Delta County,08029,Delta,08,DELTA,029,673,31173,2158.92,647,26,11,11,0,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",0.308746291500029,2.74902209908906
27,Garfield County,08045,Garfield,08,GARFIELD,045,2280,60168,3789.39,2246,34,9,7,2,237310,5763976,4117.12,3109,2695,14116,1768098,3255541,64,2207,Colorado Department of Public Health and Environment,"Data through November 30, 2020",0.802786983200804,5.50838968438734
