OBJECTID,STAETFP,COUNTYFP,GEOID,COUNTY,LABEL,FULL_,County_Pos_Cases,County_Population,County_Rate_Per_100_000,State_Population,State_Pos_Unknown,State_Pos_Cases,Data_Source,Date_Data_Last_Updated,State_Number_Tested,State_Number_Hospitalizations,State_Deaths,State_Number_of_Counties_Pos,State_Rate_Per_100000,Shape__Area,Shape__Length,State_Number_Outbreaks
1,8,109,8109,SAGUACHE,Saguache,Saguache County,3,6837,-1,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,13273871024,529491.079,67
2,8,115,8115,SEDGWICK,Sedgwick,Sedgwick County,0,2275,0,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,2491281577,208249.5687,67
3,8,17,8017,CHEYENNE,Cheyenne,Cheyenne County,0,1862,0,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,7613550870,373455.8318,67
4,8,27,8027,CUSTER,Custer,Custer County,2,4928,-1,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,3100361575,290994.589,67
5,8,67,8067,LA PLATA,La Plata,La Plata County,43,56403,76.24,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,6966607867,371001.0277,67
6,8,111,8111,SAN JUAN,San Juan,San Juan County,0,762,0,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,1611963627,209303.3468,67
7,8,97,8097,PITKIN,Pitkin,Pitkin County,49,17879,274.06,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,4204962607,360368.0505,67
8,8,93,8093,PARK,Park,Park County,6,18557,32.33,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,9525822458,477017.5205,67
9,8,3,8003,ALAMOSA,Alamosa,Alamosa County,7,16184,43.25,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,2987314188,224661.4372,67
10,8,99,8099,PROWERS,Prowers,Prowers County,1,12078,-1,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,6861386118,333326.7522,67
11,8,81,8081,MOFFAT,Moffat,Moffat County,3,13181,-1,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,21378597682,615436.3637,67
12,8,59,8059,JEFFERSON,Jefferson,Jefferson County,713,579491,123.04,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,3379799619,374132.1175,67
13,8,117,8117,SUMMIT,Summit,Summit County,68,30973,219.55,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,2707648430,325660.7754,67
14,8,101,8101,PUEBLO,Pueblo,Pueblo County,53,167116,31.71,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,10064732291,426421.3459,67
15,8,13,8013,BOULDER,Boulder,Boulder County,246,325476,75.58,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,3280791024,290982.5021,67
16,8,31,8031,DENVER,Denver,Denver County,1182,717797,164.67,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,680063925.7,341638.1275,67
17,8,85,8085,MONTROSE,Montrose,Montrose County,50,42260,118.32,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,9473395349,544456.7418,67
18,8,37,8037,EAGLE,Eagle,Eagle County,433,54863,789.24,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,7395854605,390147.7781,67
19,8,113,8113,SAN MIGUEL,San Miguel,San Miguel County,12,8177,146.75,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,5384599735,409162.4398,67
20,8,23,8023,COSTILLA,Costilla,Costilla County,3,3809,-1,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,5044736712,326902.58,67
21,8,14,8014,BROOMFIELD,Broomfield,Broomfield County,74,69453,106.55,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,148046030.4,146355.8305,67
22,8,15,8015,CHAFFEE,Chaffee,Chaffee County,28,20028,139.8,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,4328004367,386588.2056,67
23,8,25,8025,CROWLEY,Crowley,Crowley County,2,5857,-1,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,3373467236,243673.4216,67
24,8,43,8043,FREMONT,Fremont,Fremont County,6,47912,12.52,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,6491723773,368122.6367,67
25,8,55,8055,HUERFANO,Huerfano,Huerfano County,1,6854,-1,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,6600175788,473895.539,67
26,8,29,8029,DELTA,Delta,Delta County,6,30936,19.39,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,4913548288,340015.0705,67
27,8,45,8045,GARFIELD,Garfield,Garfield County,54,59807,90.29,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,12911081556,662380.0473,67
28,8,103,8103,RIO BLANCO,Rio Blanco,Rio Blanco County,1,6305,-1,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,14232867248,615863.6668,67
29,8,87,8087,MORGAN,Morgan,Morgan County,56,28503,196.47,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,5761403666,305025.0675,67
30,8,73,8073,LINCOLN,Lincoln,Lincoln County,1,5584,-1,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,11104214488,501503.38,67
31,8,83,8083,MONTEZUMA,Montezuma,Montezuma County,11,26159,42.05,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,8372827721,400009.0561,67
32,8,1,8001,ADAMS,Adams,Adams County,593,511473,115.94,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County of Identification,"Data through April 10, 2020",34873,1376,274,56,121.05,5210141150,511835.4009,67
33,8,79,8079,MINERAL,Mineral,Mineral County,2,777,-1,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,3634702483,263045.3888,67
34,8,89,8089,OTERO,Otero,Otero County,5,18364,27.23,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,5290668251,335426.3309,67
35,8,95,8095,PHILLIPS,Phillips,Phillips County,4,4266,-1,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,3093819024,227633.7382,67
36,8,91,8091,OURAY,Ouray,Ouray County,4,4798,-1,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,2274816289,272615.6231,67
37,8,11,8011,BENT,Bent,Bent County,0,5819,0,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,6430590599,323583.7276,67
38,8,7,8007,ARCHULETA,Archuleta,Archuleta County,6,13737,43.68,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,5542147892,332854.3759,67
39,8,107,8107,ROUTT,Routt,Routt County,35,25683,136.28,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,10614530972,532136.2569,67
40,8,53,8053,HINSDALE,Hinsdale,Hinsdale County,1,804,-1,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,4669808238,359599.2011,67
41,8,123,8123,WELD,Weld,Weld County,683,314251,217.34,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,18041133099,641092.2686,67
42,8,69,8069,LARIMER,Larimer,Larimer County,180,350362,51.38,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,11869666547,482557.2348,67
43,8,65,8065,LAKE,Lake,Lake County,4,7762,-1,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,1658108650,213386.2885,67
44,8,105,8105,RIO GRANDE,Rio Grande,Rio Grande County,5,11226,44.54,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,3769075954,271469.1412,67
45,8,47,8047,GILPIN,Gilpin,Gilpin County,1,6097,-1,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,661227908.6,121354.0504,67
46,8,125,8125,YUMA,Yuma,Yuma County,2,10029,-1,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,10467950651,420189.2132,67
47,8,57,8057,JACKSON,Jackson,Jackson County,0,1396,0,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,7304560869,472651.7462,67
48,8,63,8063,KIT CARSON,Kit Carson,Kit Carson County,7,7157,97.81,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,9363594130,400120.7245,67
49,8,19,8019,CLEAR CREEK,Clear Creek,Clear Creek County,11,9663,113.84,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,1736216264,211108.2631,67
50,8,75,8075,LOGAN,Logan,Logan County,13,21854,59.49,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,8328152552,372747.6825,67
51,8,121,8121,WASHINGTON,Washington,Washington County,2,4729,-1,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,11143769306,459622.7328,67
52,8,35,8035,DOUGLAS,Douglas,Douglas County,292,342842,85.17,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,3653484423,276727.9538,67
