OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,8109,Saguache,8,SAGUACHE,109,3,6837,-1,3,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",13273871024,529491.079
2,Sedgwick County,8115,Sedgwick,8,SEDGWICK,115,0,2275,0,0,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",2491281577,208249.5687
3,Cheyenne County,8017,Cheyenne,8,CHEYENNE,17,0,1862,0,0,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",7613550870,373455.8318
4,Custer County,8027,Custer,8,CUSTER,27,2,4928,-1,2,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",3100361575,290994.589
5,La Plata County,8067,La Plata,8,LA PLATA,67,63,56403,111.7,62,1,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",6966607867,371001.0277
6,San Juan County,8111,San Juan,8,SAN JUAN,111,0,762,0,0,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",1611963627,209303.3468
7,Pitkin County,8097,Pitkin,8,PITKIN,97,51,17879,285.25,65,-14,2,2,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",4204962607,360368.0505
8,Park County,8093,Park,8,PARK,93,13,18557,70.05,11,2,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",9525822458,477017.5205
9,Alamosa County,8003,Alamosa,8,ALAMOSA,3,10,16184,61.79,10,0,2,2,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",2987314188,224661.4372
10,Prowers County,8099,Prowers,8,PROWERS,99,1,12078,-1,1,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",6861386118,333326.7522
11,Moffat County,8081,Moffat,8,MOFFAT,81,6,13181,45.52,6,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",21378597682,615436.3637
12,Jefferson County,8059,Jefferson,8,JEFFERSON,59,1373,579491,236.93,1338,35,80,73,7,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",3379799619,374132.1175
13,Summit County,8117,Summit,8,SUMMIT,117,130,30973,419.72,128,2,1,1,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",2707648430,325660.7754
14,Pueblo County,8101,Pueblo,8,PUEBLO,101,146,167116,87.36,139,7,10,10,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",10064732291,426421.3459
15,Boulder County,8013,Boulder,8,BOULDER,13,618,325476,189.88,580,38,40,40,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",3280791024,290982.5021
16,Denver County,8031,Denver,8,DENVER,31,3092,717797,430.76,3001,91,163,154,9,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",680063925.7,341638.1275
17,Montrose County,8085,Montrose,8,MONTROSE,85,98,42260,231.9,96,2,11,11,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",9473395349,544456.7418
18,Eagle County,8037,Eagle,8,EAGLE,37,544,54863,991.56,550,-6,7,7,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",7395854605,390147.7781
19,San Miguel County,8113,San Miguel,8,SAN MIGUEL,113,19,8177,232.36,19,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",5384599735,409162.4398
20,Costilla County,8023,Costilla,8,COSTILLA,23,3,3809,-1,3,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",5044736712,326902.58
21,Broomfield County,8014,Broomfield,8,BROOMFIELD,14,157,69453,226.05,150,7,11,9,2,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",148046030.4,146355.8305
22,Chaffee County,8015,Chaffee,8,CHAFFEE,15,67,20028,334.53,66,1,15,15,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",4328004367,386588.2056
