OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,08109,Saguache,08,SAGUACHE,109,199,6824,2916.18,199,0,2,2,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.84314903059385,4.39184364534676
2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,98,2229,4396.59,96,2,1,1,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.152011070952994,1.7075458304623
3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,49,1825,2684.93,49,0,,,,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.478627830943196,3.11127071445578
4,Custer County,08027,Custer,08,CUSTER,027,57,5059,1126.7,56,1,,,,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.196859248573446,2.36450252969444
5,La Plata County,08067,La Plata,08,LA PLATA,067,847,56272,1505.19,843,4,3,3,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.447277846552652,3.02281991599123
6,San Juan County,08111,San Juan,08,SAN JUAN,111,19,726,2617.08,19,0,,,,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.102833675325428,1.71664098503411
7,Pitkin County,08097,Pitkin,08,PITKIN,097,432,17756,2432.98,425,7,2,2,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.262895469540581,2.99758337931076
8,Park County,08093,Park,08,PARK,093,202,18844,1071.96,202,0,3,3,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.596376486070085,3.79219717353281
9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,518,16181,3201.29,516,2,12,12,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.19106400063788,1.83562564586585
10,Prowers County,08099,Prowers,08,PROWERS,099,514,12122,4240.22,483,31,12,12,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.436578121041293,2.65950781753648
11,Moffat County,08081,Moffat,08,MOFFAT,081,226,13252,1705.4,211,15,2,2,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",1.30950090392707,5.03264724477475
12,Jefferson County,08059,Jefferson,08,JEFFERSON,059,18001,583081,3087.22,17684,317,416,415,1,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.210187679847877,2.86344185299337
13,Summit County,08117,Summit,08,SUMMIT,117,1344,30983,4337.86,1330,14,4,4,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.168272135535972,2.59953699733241
14,Pueblo County,08101,Pueblo,08,PUEBLO,101,7028,168110,4180.6,6738,290,82,81,1,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.638492791357976,3.43119645764386
15,Boulder County,08013,Boulder,08,BOULDER,013,10011,327164,3059.93,9847,164,111,111,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.202534731038213,2.38337519766668
16,Denver County,08031,Denver,08,DENVER,031,33019,729239,4527.87,32533,486,507,506,1,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.0421858562244779,2.74534829005677
17,Montrose County,08085,Montrose,08,MONTROSE,085,848,42765,1982.93,806,42,15,15,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.599092173290956,4.59010271530844
18,Eagle County,08037,Eagle,08,EAGLE,037,2066,55070,3751.59,2051,15,11,11,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.459671486366005,3.15805055528872
19,San Miguel County,08113,San Miguel,08,SAN MIGUEL,113,184,8174,2251.04,178,6,,,,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.34238906379619,3.44955895760726
20,Costilla County,08023,Costilla,08,COSTILLA,023,68,3872,1756.2,68,0,1,1,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.323925261744535,2.63276788664489
21,Broomfield County,08014,Broomfield,08,BROOMFIELD,014,1826,70762,2580.48,1806,20,48,48,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.00915797640027449,1.17463684380326
22,Chaffee County,08015,Chaffee,08,CHAFFEE,015,587,20361,2882.96,576,11,21,21,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.272389218158423,3.12582249110702
23,Crowley County,08025,Crowley,08,CROWLEY,025,1009,6032,16727.45,1007,2,1,1,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.213559245320994,1.95538842532836
24,Fremont County,08043,Fremont,08,FREMONT,043,2253,47645,4728.72,2143,110,3,3,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.410131013649561,3.08744487725261
25,Huerfano County,08055,Huerfano,08,HUERFANO,055,119,6854,1736.21,117,2,4,4,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.421501116506988,3.86938754513048
26,Delta County,08029,Delta,08,DELTA,029,499,31173,1600.74,466,33,8,8,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.308746291500029,2.74902209908906
27,Garfield County,08045,Garfield,08,GARFIELD,045,1916,60168,3184.42,1886,30,6,6,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.802786983200804,5.50838968438734
28,Rio Blanco County,08103,Rio Blanco,08,RIO BLANCO,103,104,6307,1648.96,101,3,1,1,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.880092618354411,5.18126958764129
29,Morgan County,08087,Morgan,08,MORGAN,087,1473,28984,5082.11,1445,28,51,51,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.354778438383164,2.4152700222455
30,Lincoln County,08073,Lincoln,08,LINCOLN,073,117,5692,2055.52,116,1,,,,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.696476992948874,3.90098185833429
31,Montezuma County,08083,Montezuma,08,MONTEZUMA,083,584,26160,2232.42,571,13,6,6,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.537190899236975,3.2924330468367
32,Adams County,08001,Adams,08,ADAMS,001,26474,517885,5111.95,26129,345,316,315,1,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.322672523779602,4.3210831973844
33,Mineral County,08079,Mineral,08,MINERAL,079,24,764,3141.36,24,0,,,,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.232168624270344,2.04506683988138
34,Otero County,08089,Otero,08,OTERO,089,429,18281,2346.7,423,6,9,9,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.336877498493777,2.65281032058161
35,Phillips County,08095,Phillips,08,PHILLIPS,095,164,4278,3833.57,158,6,2,2,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.189577963613374,1.84809838653474
36,Ouray County,08091,Ouray,08,OURAY,091,111,4934,2249.7,109,2,2,2,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.144347976659674,2.22546024391623
37,Bent County,08011,Bent,08,BENT,011,76,5798,1310.8,70,6,1,1,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.409167926002738,2.57239140514481
38,Archuleta County,08007,Archuleta,08,ARCHULETA,007,152,14002,1085.56,140,12,,,,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.356264414261886,2.77748645536479
39,Routt County,08107,Routt,08,ROUTT,107,526,25652,2050.52,519,7,9,9,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.651459520021035,4.10509579084708
40,Hinsdale County,08053,Hinsdale,08,HINSDALE,053,7,819,854.7,8,-1,,,,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.29767108910778,2.84695016312372
41,Weld County,08123,Weld,08,WELD,123,12229,323763,3777.15,12018,211,183,183,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",1.10610954447702,5.09979297775078
42,Larimer County,08069,Larimer,08,LARIMER,069,8786,356938,2461.49,8651,135,66,66,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.726530757031469,3.89982681544696
43,Lake County,08065,Lake,08,LAKE,065,239,8081,2957.55,237,2,,,,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.103687200717559,1.72745358078377
44,Rio Grande County,08105,Rio Grande,08,RIO GRANDE,105,204,11238,1815.27,204,0,4,4,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.241033137835757,2.21073822643431
45,Gilpin County,08047,Gilpin,08,GILPIN,047,76,6215,1222.85,75,1,,,,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.0409605716740771,0.973252095597924
46,Yuma County,08125,Yuma,08,YUMA,125,298,10063,2961.34,296,2,1,1,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.647060268172481,3.24382405750967
47,Jackson County,08057,Jackson,08,JACKSON,057,14,1383,1012.29,14,0,,,,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.447106418412659,3.77163984101511
48,Kit Carson County,08063,Kit Carson,08,KIT CARSON,063,251,7128,3521.32,250,1,7,7,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.584674359648034,3.28545636703058
49,Clear Creek County,08019,Clear Creek,08,CLEAR CREEK,019,169,9740,1735.11,167,2,1,1,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.107815475126699,1.7200936574538
50,Logan County,08075,Logan,08,LOGAN,075,2021,21914,9222.41,2005,16,28,28,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.509315868637259,2.98709243190606
51,Washington County,08121,Washington,08,WASHINGTON,121,187,4742,3943.48,186,1,5,5,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.689156198508726,3.59641099493637
52,Douglas County,08035,Douglas,08,DOUGLAS,035,9244,351528,2629.66,9007,237,98,98,0,202289,5763976,3509.54,2810,2456,12526,1630871,2901740,64,1925,Colorado Department of Public Health and Environment,"Data through November 22, 2020",0.228049517556883,2.24626729887819
