OBJECTID,STAETFP,COUNTYFP,GEOID,COUNTY,LABEL,FULL_,County_Pos_Cases,County_Population,County_Rate_Per_100_000,State_Population,State_Pos_Unknown,State_Pos_Cases,Data_Source,Date_Data_Last_Updated,State_Number_Tested,State_Number_Hospitalizations,State_Deaths,State_Number_of_Counties_Pos,State_Rate_Per_100000,Shape__Area,Shape__Length,State_Number_Outbreaks
1,8,109,8109,SAGUACHE,Saguache,Saguache County,3,6837,-1,5695430,238,5655,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 7, 2020",29199,1162,193,54,99.31,13273871024,529491.079,48
2,8,115,8115,SEDGWICK,Sedgwick,Sedgwick County,0,2275,0,5695430,238,5655,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 7, 2020",29199,1162,193,54,99.31,2491281577,208249.5687,48
3,8,17,8017,CHEYENNE,Cheyenne,Cheyenne County,0,1862,0,5695430,238,5655,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 7, 2020",29199,1162,193,54,99.31,7613550870,373455.8318,48
4,8,27,8027,CUSTER,Custer,Custer County,2,4928,-1,5695430,238,5655,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 7, 2020",29199,1162,193,54,99.31,3100361575,290994.589,48
5,8,67,8067,LA PLATA,La Plata,La Plata County,34,56403,60.28,5695430,238,5655,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 7, 2020",29199,1162,193,54,99.31,6966607867,371001.0277,48
6,8,111,8111,SAN JUAN,San Juan,San Juan County,0,762,0,5695430,238,5655,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 7, 2020",29199,1162,193,54,99.31,1611963627,209303.3468,48
7,8,97,8097,PITKIN,Pitkin,Pitkin County,39,17879,218.13,5695430,238,5655,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 7, 2020",29199,1162,193,54,99.31,4204962607,360368.0505,48
8,8,93,8093,PARK,Park,Park County,5,18557,26.94,5695430,238,5655,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 7, 2020",29199,1162,193,54,99.31,9525822458,477017.5205,48
9,8,3,8003,ALAMOSA,Alamosa,Alamosa County,5,16184,30.89,5695430,238,5655,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 7, 2020",29199,1162,193,54,99.31,2987314188,224661.4372,48
10,8,99,8099,PROWERS,Prowers,Prowers County,0,12078,0,5695430,238,5655,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 7, 2020",29199,1162,193,54,99.31,6861386118,333326.7522,48
11,8,81,8081,MOFFAT,Moffat,Moffat County,3,13181,-1,5695430,238,5655,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 7, 2020",29199,1162,193,54,99.31,21378597682,615436.3637,48
12,8,59,8059,JEFFERSON,Jefferson,Jefferson County,610,579491,105.26,5695430,238,5655,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 7, 2020",29199,1162,193,54,99.31,3379799619,374132.1175,48
13,8,117,8117,SUMMIT,Summit,Summit County,56,30973,180.8,5695430,238,5655,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 7, 2020",29199,1162,193,54,99.31,2707648430,325660.7754,48
14,8,101,8101,PUEBLO,Pueblo,Pueblo County,45,167116,26.93,5695430,238,5655,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 7, 2020",29199,1162,193,54,99.31,10064732291,426421.3459,48
15,8,13,8013,BOULDER,Boulder,Boulder County,207,325476,63.6,5695430,238,5655,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 7, 2020",29199,1162,193,54,99.31,3280791024,290982.5021,48
16,8,31,8031,DENVER,Denver,Denver County,927,717797,129.15,5695430,238,5655,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 7, 2020",29199,1162,193,54,99.31,680063925.7,341638.1275,48
17,8,85,8085,MONTROSE,Montrose,Montrose County,35,42260,82.82,5695430,238,5655,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 7, 2020",29199,1162,193,54,99.31,9473395349,544456.7418,48
18,8,37,8037,EAGLE,Eagle,Eagle County,374,54863,681.7,5695430,238,5655,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 7, 2020",29199,1162,193,54,99.31,7395854605,390147.7781,48
19,8,113,8113,SAN MIGUEL,San Miguel,San Miguel County,10,8177,122.29,5695430,238,5655,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 7, 2020",29199,1162,193,54,99.31,5384599735,409162.4398,48
20,8,23,8023,COSTILLA,Costilla,Costilla County,3,3809,-1,5695430,238,5655,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 7, 2020",29199,1162,193,54,99.31,5044736712,326902.58,48
21,8,14,8014,BROOMFIELD,Broomfield,Broomfield County,52,69453,74.87,5695430,238,5655,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 7, 2020",29199,1162,193,54,99.31,148046030.4,146355.8305,48
22,8,15,8015,CHAFFEE,Chaffee,Chaffee County,23,20028,114.84,5695430,238,5655,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 7, 2020",29199,1162,193,54,99.31,4328004367,386588.2056,48
23,8,25,8025,CROWLEY,Crowley,Crowley County,1,5857,-1,5695430,238,5655,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 7, 2020",29199,1162,193,54,99.31,3373467236,243673.4216,48
24,8,43,8043,FREMONT,Fremont,Fremont County,4,47912,-1,5695430,238,5655,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 7, 2020",29199,1162,193,54,99.31,6491723773,368122.6367,48
25,8,55,8055,HUERFANO,Huerfano,Huerfano County,1,6854,-1,5695430,238,5655,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 7, 2020",29199,1162,193,54,99.31,6600175788,473895.539,48
26,8,29,8029,DELTA,Delta,Delta County,5,30936,16.16,5695430,238,5655,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 7, 2020",29199,1162,193,54,99.31,4913548288,340015.0705,48
