OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,08109,Saguache,08,SAGUACHE,109,99,6837,1448,99,0,2,2,0,31155,5694287,547.13,1667,5375,293284,60,337,Colorado Department of Public Health and Environment,"Data through June 23, 2020",13273871024.1289,529491.079018544
2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,0,2275,0,0,0,,,,31155,5694287,547.13,1667,5375,293284,60,337,Colorado Department of Public Health and Environment,"Data through June 23, 2020",2491281577.11719,208249.56871408
3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,5,1862,268.53,5,0,,,,31155,5694287,547.13,1667,5375,293284,60,337,Colorado Department of Public Health and Environment,"Data through June 23, 2020",7613550869.75391,373455.831824096
4,Custer County,08027,Custer,08,CUSTER,027,2,4928,-1,2,0,,,,31155,5694287,547.13,1667,5375,293284,60,337,Colorado Department of Public Health and Environment,"Data through June 23, 2020",3100361575.17578,290994.589030107
5,La Plata County,08067,La Plata,08,LA PLATA,067,89,56403,157.79,88,1,1,1,0,31155,5694287,547.13,1667,5375,293284,60,337,Colorado Department of Public Health and Environment,"Data through June 23, 2020",6966607866.58203,371001.027724019
6,San Juan County,08111,San Juan,08,SAN JUAN,111,1,762,-1,1,0,,,,31155,5694287,547.13,1667,5375,293284,60,337,Colorado Department of Public Health and Environment,"Data through June 23, 2020",1611963627.42969,209303.346789561
7,Pitkin County,08097,Pitkin,08,PITKIN,097,86,17879,481.01,85,1,2,2,0,31155,5694287,547.13,1667,5375,293284,60,337,Colorado Department of Public Health and Environment,"Data through June 23, 2020",4204962607.14063,360368.050497512
8,Park County,08093,Park,08,PARK,093,27,18557,145.5,26,1,,,,31155,5694287,547.13,1667,5375,293284,60,337,Colorado Department of Public Health and Environment,"Data through June 23, 2020",9525822458.41406,477017.520520283
9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,177,16184,1093.67,175,2,3,3,0,31155,5694287,547.13,1667,5375,293284,60,337,Colorado Department of Public Health and Environment,"Data through June 23, 2020",2987314188.43359,224661.437209443
10,Prowers County,08099,Prowers,08,PROWERS,099,16,12078,132.47,16,0,,,,31155,5694287,547.13,1667,5375,293284,60,337,Colorado Department of Public Health and Environment,"Data through June 23, 2020",6861386117.78516,333326.752196427
11,Moffat County,08081,Moffat,08,MOFFAT,081,9,13181,68.28,9,0,,,,31155,5694287,547.13,1667,5375,293284,60,337,Colorado Department of Public Health and Environment,"Data through June 23, 2020",21378597682.3633,615436.363722786
12,Jefferson County,08059,Jefferson,08,JEFFERSON,059,2569,579491,443.32,2555,14,207,206,1,31155,5694287,547.13,1667,5375,293284,60,337,Colorado Department of Public Health and Environment,"Data through June 23, 2020",3379799618.59766,374132.11754513
