OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,08109,Saguache,08,SAGUACHE,109,102,6837,1491.88,102,0,2,2,0,33352,5694287,585.71,1701,5527,337391,61,362,Colorado Department of Public Health and Environment,"Data through July 1, 2020",13273871024.1289,529491.079018544
2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,0,2275,0,0,0,,,,33352,5694287,585.71,1701,5527,337391,61,362,Colorado Department of Public Health and Environment,"Data through July 1, 2020",2491281577.11719,208249.56871408
3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,5,1862,268.53,5,0,,,,33352,5694287,585.71,1701,5527,337391,61,362,Colorado Department of Public Health and Environment,"Data through July 1, 2020",7613550869.75391,373455.831824096
4,Custer County,08027,Custer,08,CUSTER,027,2,4928,-1,2,0,,,,33352,5694287,585.71,1701,5527,337391,61,362,Colorado Department of Public Health and Environment,"Data through July 1, 2020",3100361575.17578,290994.589030107
5,La Plata County,08067,La Plata,08,LA PLATA,067,116,56403,205.66,116,0,1,1,0,33352,5694287,585.71,1701,5527,337391,61,362,Colorado Department of Public Health and Environment,"Data through July 1, 2020",6966607866.58203,371001.027724019
6,San Juan County,08111,San Juan,08,SAN JUAN,111,2,762,-1,2,0,,,,33352,5694287,585.71,1701,5527,337391,61,362,Colorado Department of Public Health and Environment,"Data through July 1, 2020",1611963627.42969,209303.346789561
7,Pitkin County,08097,Pitkin,08,PITKIN,097,102,17879,570.5,99,3,2,2,0,33352,5694287,585.71,1701,5527,337391,61,362,Colorado Department of Public Health and Environment,"Data through July 1, 2020",4204962607.14063,360368.050497512
8,Park County,08093,Park,08,PARK,093,27,18557,145.5,27,0,,,,33352,5694287,585.71,1701,5527,337391,61,362,Colorado Department of Public Health and Environment,"Data through July 1, 2020",9525822458.41406,477017.520520283
9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,199,16184,1229.61,197,2,4,4,0,33352,5694287,585.71,1701,5527,337391,61,362,Colorado Department of Public Health and Environment,"Data through July 1, 2020",2987314188.43359,224661.437209443
10,Prowers County,08099,Prowers,08,PROWERS,099,21,12078,173.87,21,0,,,,33352,5694287,585.71,1701,5527,337391,61,362,Colorado Department of Public Health and Environment,"Data through July 1, 2020",6861386117.78516,333326.752196427
11,Moffat County,08081,Moffat,08,MOFFAT,081,13,13181,98.63,14,-1,,,,33352,5694287,585.71,1701,5527,337391,61,362,Colorado Department of Public Health and Environment,"Data through July 1, 2020",21378597682.3633,615436.363722786
12,Jefferson County,08059,Jefferson,08,JEFFERSON,059,2746,579491,473.86,2711,35,212,211,1,33352,5694287,585.71,1701,5527,337391,61,362,Colorado Department of Public Health and Environment,"Data through July 1, 2020",3379799618.59766,374132.11754513
13,Summit County,08117,Summit,08,SUMMIT,117,276,30973,891.1,274,2,4,3,1,33352,5694287,585.71,1701,5527,337391,61,362,Colorado Department of Public Health and Environment,"Data through July 1, 2020",2707648429.75781,325660.775440309
14,Pueblo County,08101,Pueblo,08,PUEBLO,101,393,167116,235.17,393,0,30,30,0,33352,5694287,585.71,1701,5527,337391,61,362,Colorado Department of Public Health and Environment,"Data through July 1, 2020",10064732291.2969,426421.345889861
15,Boulder County,08013,Boulder,08,BOULDER,013,1414,325476,434.44,1401,13,72,72,0,33352,5694287,585.71,1701,5527,337391,61,362,Colorado Department of Public Health and Environment,"Data through July 1, 2020",3280791024.07031,290982.502053684
16,Denver County,08031,Denver,08,DENVER,031,7228,717797,1006.97,7149,79,382,381,1,33352,5694287,585.71,1701,5527,337391,61,362,Colorado Department of Public Health and Environment,"Data through July 1, 2020",680063925.65625,341638.127461467
