OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,8109,Saguache,8,SAGUACHE,109,4,6837,-1,3,1,,,,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",13273871024,529491.079
2,Sedgwick County,8115,Sedgwick,8,SEDGWICK,115,0,2275,0,0,0,,,,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",2491281577,208249.5687
3,Cheyenne County,8017,Cheyenne,8,CHEYENNE,17,0,1862,0,0,0,,,,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",7613550870,373455.8318
4,Custer County,8027,Custer,8,CUSTER,27,2,4928,-1,2,0,,,,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",3100361575,290994.589
5,La Plata County,8067,La Plata,8,LA PLATA,67,62,56403,109.92,59,3,,,,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",6966607867,371001.0277
6,San Juan County,8111,San Juan,8,SAN JUAN,111,0,762,0,0,0,,,,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",1611963627,209303.3468
7,Pitkin County,8097,Pitkin,8,PITKIN,97,62,17879,346.78,61,1,2,2,0,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",4204962607,360368.0505
8,Park County,8093,Park,8,PARK,93,11,18557,59.28,11,0,,,,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",9525822458,477017.5205
9,Alamosa County,8003,Alamosa,8,ALAMOSA,3,10,16184,61.79,10,0,2,2,0,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",2987314188,224661.4372
10,Prowers County,8099,Prowers,8,PROWERS,99,1,12078,-1,1,0,,,,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",6861386118,333326.7522
11,Moffat County,8081,Moffat,8,MOFFAT,81,6,13181,45.52,6,0,,,,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",21378597682,615436.3637
12,Jefferson County,8059,Jefferson,8,JEFFERSON,59,1314,579491,226.75,1298,16,73,68,5,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",3379799619,374132.1175
13,Summit County,8117,Summit,8,SUMMIT,117,121,30973,390.66,119,2,1,1,0,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",2707648430,325660.7754
14,Pueblo County,8101,Pueblo,8,PUEBLO,101,136,167116,81.38,136,0,10,9,1,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",10064732291,426421.3459
15,Boulder County,8013,Boulder,8,BOULDER,13,565,325476,173.59,543,22,39,33,6,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",3280791024,290982.5021
16,Denver County,8031,Denver,8,DENVER,31,2890,717797,402.62,2791,99,150,145,5,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",680063925.7,341638.1275
17,Montrose County,8085,Montrose,8,MONTROSE,85,96,42260,227.17,94,2,11,11,0,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",9473395349,544456.7418
18,Eagle County,8037,Eagle,8,EAGLE,37,546,54863,995.21,540,6,7,7,0,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",7395854605,390147.7781
19,San Miguel County,8113,San Miguel,8,SAN MIGUEL,113,19,8177,232.36,19,0,,,,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",5384599735,409162.4398
20,Costilla County,8023,Costilla,8,COSTILLA,23,3,3809,-1,3,0,,,,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",5044736712,326902.58
21,Broomfield County,8014,Broomfield,8,BROOMFIELD,14,147,69453,211.65,145,2,9,9,0,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",148046030.4,146355.8305
22,Chaffee County,8015,Chaffee,8,CHAFFEE,15,66,20028,329.54,66,0,15,13,2,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",4328004367,386588.2056
23,Crowley County,8025,Crowley,8,CROWLEY,25,2,5857,-1,2,0,1,1,0,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",3373467236,243673.4216
24,Fremont County,8043,Fremont,8,FREMONT,43,22,47912,45.92,22,0,,,,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",6491723773,368122.6367
25,Huerfano County,8055,Huerfano,8,HUERFANO,55,2,6854,-1,2,0,,,,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",6600175788,473895.539
26,Delta County,8029,Delta,8,DELTA,29,43,30936,139,34,9,1,1,0,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",4913548288,340015.0705
27,Garfield County,8045,Garfield,8,GARFIELD,45,91,59807,152.16,89,2,2,2,0,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",12911081556,662380.0473
28,Rio Blanco County,8103,Rio Blanco,8,RIO BLANCO,103,1,6305,-1,1,0,,,,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",14232867248,615863.6668
29,Morgan County,8087,Morgan,8,MORGAN,87,358,28503,1256.01,344,14,16,16,0,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",5761403666,305025.0675
30,Lincoln County,8073,Lincoln,8,LINCOLN,73,3,5584,-1,3,0,,,,14758,5694287,259.17,766,2621,69449,56,157,Colorado Department of Public Health and Environment,"Data through April 28, 2020",11104214488,501503.38
