COUNTY,LABEL,FULL_,FIPS,POP,Desc_,Metric,Value,Rate,Date,ObjectId
ADAMS,Adams,Adams County,1,511473,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by Serology,,12.6,5/19/2020,1
ADAMS,Adams,Adams County,1,511473,Number of Deaths by County,Deaths,72,,5/5/2020,2
ADAMS,Adams,Adams County,1,511473,Total COVID-19 Tests Performed in Colorado by County,Total Tests Performed,18183,,5/26/2020,3
ADAMS,Adams,Adams County,1,511473,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,244.8,4/24/2020,4
ADAMS,Adams,Adams County,1,511473,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,1.6,3/17/2020,5
ADAMS,Adams,Adams County,1,511473,"Total Testing Rate Per 100,000 People in Colorado by County","Rate Per 100,000",,4322.8,6/2/2020,6
ADAMS,Adams,Adams County,1,511473,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by PCR,,90.8,5/12/2020,7
ADAMS,Adams,Adams County,1,511473,Total COVID-19 Tests Performed in Colorado by County,Total Tests Performed,14969,,5/19/2020,8
ADAMS,Adams,Adams County,1,511473,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by Serology,,9.2,5/12/2020,9
ADAMS,Adams,Adams County,1,511473,"Total Testing Rate Per 100,000 People in Colorado by County","Rate per 100,000",,2926.7,5/19/2020,10
ADAMS,Adams,Adams County,1,511473,Total COVID-19 Tests Performed in Colorado by County,Total Tests Performed,11712,,5/12/2020,11
ADAMS,Adams,Adams County,1,511473,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,535.1,5/20/2020,12
ADAMS,Adams,Adams County,1,511473,"Total Testing Rate Per 100,000 People in Colorado by County","Rate per 100,000",,2289.9,5/12/2020,13
ADAMS,Adams,Adams County,1,511473,Colorado Case Counts by County,Cases,2737,,5/20/2020,14
ADAMS,Adams,Adams County,1,511473,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,464.2,5/13/2020,15
ADAMS,Adams,Adams County,1,511473,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by Serology,,6.1,5/5/2020,16
ADAMS,Adams,Adams County,1,511473,Number of Deaths by County,Deaths,108,,5/20/2020,17
ADAMS,Adams,Adams County,1,511473,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by PCR,,87.3,5/20/2020,18
ADAMS,Adams,Adams County,1,511473,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by PCR,,94,5/5/2020,19
ADAMS,Adams,Adams County,1,511473,Colorado Case Counts by County,Cases,8,,3/17/2020,20
ADAMS,Adams,Adams County,1,511473,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,660.6,6/3/2020,21
ADAMS,Adams,Adams County,1,511473,Colorado Case Counts by County,Cases,2374,,5/13/2020,22
ADAMS,Adams,Adams County,1,511473,"Total Testing Rate Per 100,000 People in Colorado by County","Rate per 100,000",,3555,5/26/2020,23
ADAMS,Adams,Adams County,1,511473,Colorado Case Counts by County,Cases,1252,,4/24/2020,24
ADAMS,Adams,Adams County,1,511473,Total COVID-19 Tests Performed in Colorado by County,Total Tests Performed,9240,,5/5/2020,25
ADAMS,Adams,Adams County,1,511473,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by Serology,,12.7,5/20/2020,26
ADAMS,Adams,Adams County,1,511473,Colorado Case Counts by County,Cases,3379,,6/3/2020,27
ADAMS,Adams,Adams County,1,511473,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,2,3/18/2020,28
ADAMS,Adams,Adams County,1,511473,Number of Deaths by County,Deaths,57,,4/24/2020,29
ADAMS,Adams,Adams County,1,511473,"Case Rates Per 100,000 People in Colorado by County","Rate per 100,000",,587.7,5/27/2020,30
ADAMS,Adams,Adams County,1,511473,Number of Deaths by County,Deaths,86,,5/13/2020,31
ADAMS,Adams,Adams County,1,511473,"Total Testing Rate Per 100,000 People in Colorado by County","Rate per 100,000",,1806.6,5/5/2020,32
ADAMS,Adams,Adams County,1,511473,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,254.6,4/25/2020,33
ADAMS,Adams,Adams County,1,511473,Colorado Case Counts by County,Cases,10,,3/18/2020,34
ADAMS,Adams,Adams County,1,511473,Number of Deaths by County,Deaths,127,,6/3/2020,35
ADAMS,Adams,Adams County,1,511473,Total COVID-19 Tests Performed in Colorado by County,Total Tests Performed,15521,,5/20/2020,36
ADAMS,Adams,Adams County,1,511473,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by PCR,,90.7,5/13/2020,37
ADAMS,Adams,Adams County,1,511473,Colorado Case Counts by County,Cases,3006,,5/27/2020,38
ADAMS,Adams,Adams County,1,511473,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,381.6,5/6/2020,39
ADAMS,Adams,Adams County,1,511473,Colorado Case Counts by County,Cases,1302,,4/25/2020,40
ADAMS,Adams,Adams County,1,511473,Number of Deaths by County,Deaths,57,,4/25/2020,41
ADAMS,Adams,Adams County,1,511473,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,263.6,4/26/2020,42
ADAMS,Adams,Adams County,1,511473,Colorado Case Counts by County,Cases,1348,,4/26/2020,43
ADAMS,Adams,Adams County,1,511473,Number of Deaths by County,Deaths,58,,4/26/2020,44
ADAMS,Adams,Adams County,1,511473,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,272,4/27/2020,45
ADAMS,Adams,Adams County,1,511473,Colorado Case Counts by County,Cases,1391,,4/27/2020,46
ADAMS,Adams,Adams County,1,511473,Number of Deaths by County,Deaths,60,,4/27/2020,47
ADAMS,Adams,Adams County,1,511473,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,279.6,4/28/2020,48
ADAMS,Adams,Adams County,1,511473,Colorado Case Counts by County,Cases,1430,,4/28/2020,49
ADAMS,Adams,Adams County,1,511473,Number of Deaths by County,Deaths,61,,4/28/2020,50
ADAMS,Adams,Adams County,1,511473,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,291.3,4/29/2020,51
ADAMS,Adams,Adams County,1,511473,Colorado Case Counts by County,Cases,1490,,4/29/2020,52
