COUNTY,LABEL,FULL_,FIPS,POP,Desc_,Metric,Value,Rate,Date,ObjectId
GUNNISON,Gunnison,Gunnison County,51,17173,Colorado Case Counts by County,Cases,22,,3/22/2020,1
MESA,Mesa,Mesa County,77,153630,Colorado Case Counts by County,Cases,1,,3/20/2020,2
LARIMER,Larimer,Larimer County,69,350362,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,1.4,3/19/2020,3
HINSDALE,Hinsdale,Hinsdale County,53,804,Colorado Case Counts by County,Cases,1,,3/22/2020,4
JEFFERSON,Jefferson,Jefferson County,59,579491,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,8.8,3/22/2020,5
JEFFERSON,Jefferson,Jefferson County,59,579491,Colorado Case Counts by County,Cases,51,,3/22/2020,6
LARIMER,Larimer,Larimer County,69,350362,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,9.1,3/22/2020,7
LARIMER,Larimer,Larimer County,69,350362,Colorado Case Counts by County,Cases,32,,3/22/2020,8
MESA,Mesa,Mesa County,77,153630,Colorado Case Counts by County,Cases,2,,3/22/2020,9
MONTROSE,Montrose,Montrose County,85,42260,Colorado Case Counts by County,Cases,1,,3/22/2020,10
MORGAN,Morgan,Morgan County,87,28503,Colorado Case Counts by County,Cases,2,,3/22/2020,11
PARK,Park,Park County,93,18557,Colorado Case Counts by County,Cases,1,,3/22/2020,12
PITKIN,Pitkin,Pitkin County,97,17879,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,89.3,3/22/2020,13
PITKIN,Pitkin,Pitkin County,97,17879,Colorado Case Counts by County,Cases,16,,3/22/2020,14
PUEBLO,Pueblo,Pueblo County,101,167116,Colorado Case Counts by County,Cases,3,,3/22/2020,15
ROUTT,Routt,Routt County,107,25683,Colorado Case Counts by County,Cases,3,,3/22/2020,16
SAN MIGUEL,San Miguel,San Miguel County,113,8177,Colorado Case Counts by County,Cases,1,,3/22/2020,17
SUMMIT,Summit,Summit County,117,30973,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,22.6,3/22/2020,18
SUMMIT,Summit,Summit County,117,30973,Colorado Case Counts by County,Cases,7,,3/22/2020,19
Unknown Or Pending County,Unknown Or Pending County,Unknown Or Pending County,,,Colorado Case Counts by County,Cases,1,,3/22/2020,20
WELD,Weld,Weld County,123,314251,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,11.8,3/22/2020,21
WELD,Weld,Weld County,123,314251,Colorado Case Counts by County,Cases,37,,3/22/2020,22
YUMA,Yuma,Yuma County,125,10029,Colorado Case Counts by County,Cases,1,,3/22/2020,23
ADAMS,Adams,Adams County,1,511473,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,4.9,3/23/2020,24
ADAMS,Adams,Adams County,1,511473,Colorado Case Counts by County,Cases,25,,3/23/2020,25
ARAPAHOE,Arapahoe,Arapahoe County,5,651342,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,8.9,3/23/2020,26
ARAPAHOE,Arapahoe,Arapahoe County,5,651342,Colorado Case Counts by County,Cases,58,,3/23/2020,27
BOULDER,Boulder,Boulder County,13,325476,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,12,3/23/2020,28
BOULDER,Boulder,Boulder County,13,325476,Colorado Case Counts by County,Cases,39,,3/23/2020,29
BROOMFIELD,Broomfield,Broomfield County,14,69453,Colorado Case Counts by County,Cases,2,,3/23/2020,30
CHAFFEE,Chaffee,Chaffee County,15,20028,Colorado Case Counts by County,Cases,3,,3/23/2020,31
CLEAR CREEK,Clear Creek,Clear Creek County,19,9663,Colorado Case Counts by County,Cases,3,,3/23/2020,32
CROWLEY,Crowley,Crowley County,25,5857,Colorado Case Counts by County,Cases,1,,3/23/2020,33
DENVER,Denver,Denver County,31,717797,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,20.6,3/23/2020,34
DENVER,Denver,Denver County,31,717797,Colorado Case Counts by County,Cases,148,,3/23/2020,35
DOUGLAS,Douglas,Douglas County,35,342842,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,14,3/23/2020,36
DOUGLAS,Douglas,Douglas County,35,342842,Colorado Case Counts by County,Cases,48,,3/23/2020,37
EAGLE,Eagle,Eagle County,37,54863,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,167.6,3/23/2020,38
LARIMER,Larimer,Larimer County,69,350362,Colorado Case Counts by County,Cases,43,,3/24/2020,39
LOGAN,Logan,Logan County,75,21854,Colorado Case Counts by County,Cases,2,,3/23/2020,40
EAGLE,Eagle,Eagle County,37,54863,Colorado Case Counts by County,Cases,92,,3/23/2020,41
EL PASO,El Paso,El Paso County,41,714395,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,9.7,3/23/2020,42
EL PASO,El Paso,El Paso County,41,714395,Colorado Case Counts by County,Cases,69,,3/23/2020,43
ELBERT,Elbert,Elbert County,39,26218,Colorado Case Counts by County,Cases,3,,3/23/2020,44
GARFIELD,Garfield,Garfield County,45,59807,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,13.4,3/23/2020,45
GARFIELD,Garfield,Garfield County,45,59807,Colorado Case Counts by County,Cases,8,,3/23/2020,46
GRAND,Grand,Grand County,49,15474,Colorado Case Counts by County,Cases,2,,3/23/2020,47
GUNNISON,Gunnison,Gunnison County,51,17173,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,163,3/23/2020,48
