description,attribute,metric,value
State Data,Statewide,Cases,330859
State Data,Statewide,Hospitalizations,18502
State Data,Statewide,Counties,64
State Data,Statewide,People Tested,2126572
State Data,Statewide,Test Encounters,4368131
State Data,Statewide,Deaths Among Cases,4750
State Data,Statewide,Deaths Due to COVID-19,3901
State Data,Statewide,Outbreaks,3022
State Data,Statewide,Rate Per 100000,5740.12
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,39554
Colorado Case Counts by County,Alamosa County,Cases,920
Colorado Case Counts by County,Arapahoe County,Cases,37562
Colorado Case Counts by County,Archuleta County,Cases,470
Colorado Case Counts by County,Baca County,Cases,189
Colorado Case Counts by County,Bent County,Cases,1027
Colorado Case Counts by County,Boulder County,Cases,14512
Colorado Case Counts by County,Broomfield County,Cases,2781
Colorado Case Counts by County,Chaffee County,Cases,1016
Colorado Case Counts by County,Cheyenne County,Cases,88
Colorado Case Counts by County,Clear Creek County,Cases,272
Colorado Case Counts by County,Conejos County,Cases,309
Colorado Case Counts by County,Costilla County,Cases,161
Colorado Case Counts by County,Crowley County,Cases,1640
Colorado Case Counts by County,Custer County,Cases,147
Colorado Case Counts by County,Delta County,Cases,1569
Colorado Case Counts by County,Denver County,Cases,47167
Colorado Case Counts by County,Dolores County,Cases,52
Colorado Case Counts by County,Douglas County,Cases,15488
Colorado Case Counts by County,Eagle County,Cases,3323
Colorado Case Counts by County,El Paso County,Cases,40752
