description,attribute,metric,value
State Data,Statewide,Cases,23964
State Data,Statewide,Hospitalizations,4105
State Data,Statewide,Counties,60
State Data,Statewide,People Tested,147744
State Data,Statewide,Deaths Among Cases,1327
State Data,Statewide,Deaths Due to COVID-19,1088
State Data,Statewide,Outbreaks,263
State Data,Statewide,"Rate per 100,000",420.84
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,Deaths due to COVID-19 (updated through the previous Saturday): https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams,Cases,2856
Colorado Case Counts by County,Alamosa,Cases,55
Colorado Case Counts by County,Arapahoe,Cases,4027
Colorado Case Counts by County,Archuleta,Cases,8
Colorado Case Counts by County,Baca,Cases,12
Colorado Case Counts by County,Bent,Cases,2
Colorado Case Counts by County,Boulder,Cases,923
Colorado Case Counts by County,Broomfield,Cases,220
Colorado Case Counts by County,Chaffee,Cases,70
Colorado Case Counts by County,Cheyenne,Cases,5
Colorado Case Counts by County,Clear Creek,Cases,16
Colorado Case Counts by County,Conejos,Cases,1
Colorado Case Counts by County,Costilla,Cases,3
Colorado Case Counts by County,Crowley,Cases,57
Colorado Case Counts by County,Custer,Cases,2
Colorado Case Counts by County,Delta,Cases,65
Colorado Case Counts by County,Denver,Cases,5151
Colorado Case Counts by County,Dolores,Cases,0
Colorado Case Counts by County,Douglas,Cases,675
Colorado Case Counts by County,Eagle,Cases,580
Colorado Case Counts by County,El Paso,Cases,1493
Colorado Case Counts by County,Elbert,Cases,48
Colorado Case Counts by County,Fremont,Cases,26
Colorado Case Counts by County,Garfield,Cases,120
Colorado Case Counts by County,Gilpin,Cases,3
Colorado Case Counts by County,Grand,Cases,6
Colorado Case Counts by County,Gunnison,Cases,178
Colorado Case Counts by County,Hinsdale,Cases,3
Colorado Case Counts by County,Huerfano,Cases,3
Colorado Case Counts by County,Jackson,Cases,0
Colorado Case Counts by County,Jefferson,Cases,2030
Colorado Case Counts by County,Kiowa,Cases,0
Colorado Case Counts by County,Kit Carson,Cases,26
Colorado Case Counts by County,La Plata,Cases,76
Colorado Case Counts by County,Lake,Cases,27
Colorado Case Counts by County,Larimer,Cases,530
Colorado Case Counts by County,Las Animas,Cases,5
Colorado Case Counts by County,Lincoln,Cases,3
Colorado Case Counts by County,Logan,Cases,493
Colorado Case Counts by County,Mesa,Cases,54
Colorado Case Counts by County,Mineral,Cases,2
Colorado Case Counts by County,Moffat,Cases,6
Colorado Case Counts by County,Montezuma,Cases,35
Colorado Case Counts by County,Montrose,Cases,159
Colorado Case Counts by County,Morgan,Cases,603
Colorado Case Counts by County,Otero,Cases,14
Colorado Case Counts by County,Ouray,Cases,8
Colorado Case Counts by County,Park,Cases,23
Colorado Case Counts by County,Phillips,Cases,12
Colorado Case Counts by County,Pitkin,Cases,57
Colorado Case Counts by County,Prowers,Cases,12
Colorado Case Counts by County,Pueblo,Cases,260
Colorado Case Counts by County,Rio Blanco,Cases,1
Colorado Case Counts by County,Rio Grande,Cases,16
Colorado Case Counts by County,Routt,Cases,59
Colorado Case Counts by County,Saguache,Cases,24
Colorado Case Counts by County,San Juan,Cases,1
Colorado Case Counts by County,San Miguel,Cases,23
Colorado Case Counts by County,Sedgwick,Cases,0
Colorado Case Counts by County,Summit,Cases,203
Colorado Case Counts by County,Teller,Cases,32
Colorado Case Counts by County,Unknown Or Pending,Cases,126
Colorado Case Counts by County,Washington,Cases,30
Colorado Case Counts by County,Weld,Cases,2391
Colorado Case Counts by County,Yuma,Cases,15
Colorado Case Counts by County,Note,"County rates per 100,000 are calculated using 2018 population estimates from the Demography Section, Colorado Division of Local Government.",NA
COVID-19 in Colorado by Age Group,0-9,Percent of Cases,2.1
COVID-19 in Colorado by Age Group,19-Oct,Percent of Cases,4.31
COVID-19 in Colorado by Age Group,20-29,Percent of Cases,15.63
COVID-19 in Colorado by Age Group,30-39,Percent of Cases,17.17
COVID-19 in Colorado by Age Group,40-49,Percent of Cases,17.25
COVID-19 in Colorado by Age Group,50-59,Percent of Cases,16.17
COVID-19 in Colorado by Age Group,60-69,Percent of Cases,11.72
COVID-19 in Colorado by Age Group,70-79,Percent of Cases,7.42
COVID-19 in Colorado by Age Group,80+,Percent of Cases,8
COVID-19 in Colorado by Age Group,Unknown,Percent of Cases,0.23
COVID-19 in Colorado by Age Group,19-Oct,Percent of Deaths,0.15
COVID-19 in Colorado by Age Group,20-29,Percent of Deaths,0.6
COVID-19 in Colorado by Age Group,30-39,Percent of Deaths,0.53
COVID-19 in Colorado by Age Group,40-49,Percent of Deaths,2.49
COVID-19 in Colorado by Age Group,50-59,Percent of Deaths,5.35
COVID-19 in Colorado by Age Group,60-69,Percent of Deaths,12.89
COVID-19 in Colorado by Age Group,70-79,Percent of Deaths,23.29
COVID-19 in Colorado by Age Group,80+,Percent of Deaths,54.71
COVID-19 in Colorado by Age Group,0-9,Percent of Colorado Population,11.85
COVID-19 in Colorado by Age Group,19-Oct,Percent of Colorado Population,13.11
COVID-19 in Colorado by Age Group,20-29,Percent of Colorado Population,14.61
COVID-19 in Colorado by Age Group,30-39,Percent of Colorado Population,14.56
COVID-19 in Colorado by Age Group,40-49,Percent of Colorado Population,13.04
COVID-19 in Colorado by Age Group,50-59,Percent of Colorado Population,12.67
COVID-19 in Colorado by Age Group,60-69,Percent of Colorado Population,10.91
COVID-19 in Colorado by Age Group,70-79,Percent of Colorado Population,6.12
COVID-19 in Colorado by Age Group,80+,Percent of Colorado Population,3.13
COVID-19 in Colorado by Age Group,Unknown,Percent of Colorado Population,0
