description,attribute,metric,value
State Data,Statewide,Cases,188566
State Data,Statewide,Hospitalizations,12166
State Data,Statewide,Counties,64
State Data,Statewide,People Tested,1563738
State Data,Statewide,Test Encounters,2752718
State Data,Statewide,Deaths Among Cases,2745
State Data,Statewide,Deaths Due to COVID-19,2355
State Data,Statewide,Outbreaks,1873
State Data,Statewide,Rate Per 100000,3271.46
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,25092
Colorado Case Counts by County,Alamosa County,Cases,500
Colorado Case Counts by County,Arapahoe County,Cases,22728
Colorado Case Counts by County,Archuleta County,Cases,129
Colorado Case Counts by County,Baca County,Cases,51
Colorado Case Counts by County,Bent County,Cases,57
Colorado Case Counts by County,Boulder County,Cases,9503
Colorado Case Counts by County,Broomfield County,Cases,1704
Colorado Case Counts by County,Chaffee County,Cases,539
Colorado Case Counts by County,Cheyenne County,Cases,46
Colorado Case Counts by County,Clear Creek County,Cases,159
Colorado Case Counts by County,Conejos County,Cases,145
Colorado Case Counts by County,Costilla County,Cases,68
Colorado Case Counts by County,Crowley County,Cases,928
Colorado Case Counts by County,Custer County,Cases,55
Colorado Case Counts by County,Delta County,Cases,425
Colorado Case Counts by County,Denver County,Cases,31073
Colorado Case Counts by County,Dolores County,Cases,8
Colorado Case Counts by County,Douglas County,Cases,8457
Colorado Case Counts by County,Eagle County,Cases,2012
Colorado Case Counts by County,El Paso County,Cases,21308
Colorado Case Counts by County,Elbert County,Cases,475
Colorado Case Counts by County,Fremont County,Cases,1975
Colorado Case Counts by County,Garfield County,Cases,1776
Colorado Case Counts by County,Gilpin County,Cases,75
Colorado Case Counts by County,Grand County,Cases,259
Colorado Case Counts by County,Gunnison County,Cases,429
Colorado Case Counts by County,Hinsdale County,Cases,6
Colorado Case Counts by County,Huerfano County,Cases,103
Colorado Case Counts by County,International,Cases,26
Colorado Case Counts by County,Jackson County,Cases,14
Colorado Case Counts by County,Jefferson County,Cases,16811
Colorado Case Counts by County,Kiowa County,Cases,19
Colorado Case Counts by County,Kit Carson County,Cases,247
Colorado Case Counts by County,La Plata County,Cases,753
Colorado Case Counts by County,Lake County,Cases,224
Colorado Case Counts by County,Larimer County,Cases,8174
Colorado Case Counts by County,Las Animas County,Cases,152
Colorado Case Counts by County,Lincoln County,Cases,108
Colorado Case Counts by County,Logan County,Cases,1940
Colorado Case Counts by County,Mesa County,Cases,4515
Colorado Case Counts by County,Mineral County,Cases,24
Colorado Case Counts by County,Moffat County,Cases,202
Colorado Case Counts by County,Montezuma County,Cases,530
Colorado Case Counts by County,Montrose County,Cases,734
Colorado Case Counts by County,Morgan County,Cases,1377
Colorado Case Counts by County,Otero County,Cases,376
Colorado Case Counts by County,Ouray County,Cases,105
Colorado Case Counts by County,Park County,Cases,192
Colorado Case Counts by County,Phillips County,Cases,158
Colorado Case Counts by County,Pitkin County,Cases,420
Colorado Case Counts by County,Prowers County,Cases,436
Colorado Case Counts by County,Pueblo County,Cases,6110
Colorado Case Counts by County,Rio Blanco County,Cases,84
Colorado Case Counts by County,Rio Grande County,Cases,188
Colorado Case Counts by County,Routt County,Cases,500
Colorado Case Counts by County,Saguache County,Cases,195
Colorado Case Counts by County,San Juan County,Cases,19
Colorado Case Counts by County,San Miguel County,Cases,174
Colorado Case Counts by County,Sedgwick County,Cases,95
Colorado Case Counts by County,Summit County,Cases,1242
Colorado Case Counts by County,Teller County,Cases,503
Colorado Case Counts by County,Washington County,Cases,182
Colorado Case Counts by County,Weld County,Cases,11368
Colorado Case Counts by County,Yuma County,Cases,284
Colorado Case Counts by County,Note,"County rates per 100,000 are calculated using 2018 population estimates from the Demography Section, Colorado Division of Local Government.",NA
COVID-19 in Colorado by Age Group,0-9,Percent of Cases,3.86
COVID-19 in Colorado by Age Group,10-19,Percent of Cases,11.19
COVID-19 in Colorado by Age Group,20-29,Percent of Cases,22.59
COVID-19 in Colorado by Age Group,30-39,Percent of Cases,18.08
COVID-19 in Colorado by Age Group,40-49,Percent of Cases,15.46
COVID-19 in Colorado by Age Group,50-59,Percent of Cases,13.02
COVID-19 in Colorado by Age Group,60-69,Percent of Cases,8.21
COVID-19 in Colorado by Age Group,70-79,Percent of Cases,4.33
COVID-19 in Colorado by Age Group,80+,Percent of Cases,3.21
COVID-19 in Colorado by Age Group,Unknown,Percent of Cases,0.06
COVID-19 in Colorado by Age Group,0-9,Percent of Deaths,0.04
COVID-19 in Colorado by Age Group,10-19,Percent of Deaths,0.18
COVID-19 in Colorado by Age Group,20-29,Percent of Deaths,0.69
COVID-19 in Colorado by Age Group,30-39,Percent of Deaths,0.87
COVID-19 in Colorado by Age Group,40-49,Percent of Deaths,2.95
COVID-19 in Colorado by Age Group,50-59,Percent of Deaths,6.48
COVID-19 in Colorado by Age Group,60-69,Percent of Deaths,12.24
COVID-19 in Colorado by Age Group,70-79,Percent of Deaths,23.28
COVID-19 in Colorado by Age Group,80+,Percent of Deaths,53.26
COVID-19 in Colorado by Age Group,0-9,Percent of Colorado Population,11.61
COVID-19 in Colorado by Age Group,10-19,Percent of Colorado Population,13.01
COVID-19 in Colorado by Age Group,20-29,Percent of Colorado Population,14.66
COVID-19 in Colorado by Age Group,30-39,Percent of Colorado Population,14.6
COVID-19 in Colorado by Age Group,40-49,Percent of Colorado Population,12.98
COVID-19 in Colorado by Age Group,50-59,Percent of Colorado Population,12.48
COVID-19 in Colorado by Age Group,60-69,Percent of Colorado Population,11.04
COVID-19 in Colorado by Age Group,70-79,Percent of Colorado Population,6.44
COVID-19 in Colorado by Age Group,80+,Percent of Colorado Population,3.2
COVID-19 in Colorado by Age Group,Unknown,Percent of Colorado Population,0
COVID-19 in Colorado by Age Group,Note,Percent of cases and deaths by age group compared to percent of total Colorado (CO) population.,NA
COVID-19 in Colorado by Age Group,Note,"Population Data: Colorado Department of Local Affairs State Demography Office, 2018 Regional Estimates",NA
COVID-19 in Colorado by Race & Ethnicity,AIAN - Non Hispanic,Percent of Cases,0.52
COVID-19 in Colorado by Race & Ethnicity,Asian - Non Hispanic,Percent of Cases,1.4
COVID-19 in Colorado by Race & Ethnicity,Black - Non Hispanic,Percent of Cases,2.96
