description,attribute,metric,value
State Data,Statewide,Cases,361148
State Data,Statewide,Hospitalizations,19985
State Data,Statewide,Counties,64
State Data,Statewide,People Tested,2239917
State Data,Statewide,Test Encounters,4770751
State Data,Statewide,Deaths Among Cases,5208
State Data,Statewide,Deaths Due to COVID-19,4107
State Data,Statewide,Outbreaks,3179
State Data,Statewide,Rate Per 100000,6265.61
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,42730
Colorado Case Counts by County,Alamosa County,Cases,1006
Colorado Case Counts by County,Arapahoe County,Cases,41092
Colorado Case Counts by County,Archuleta County,Cases,540
Colorado Case Counts by County,Baca County,Cases,206
Colorado Case Counts by County,Bent County,Cases,1229
Colorado Case Counts by County,Boulder County,Cases,15741
Colorado Case Counts by County,Broomfield County,Cases,3030
Colorado Case Counts by County,Chaffee County,Cases,1170
Colorado Case Counts by County,Cheyenne County,Cases,105
Colorado Case Counts by County,Clear Creek County,Cases,317
Colorado Case Counts by County,Conejos County,Cases,339
Colorado Case Counts by County,Costilla County,Cases,170
Colorado Case Counts by County,Crowley County,Cases,1685
Colorado Case Counts by County,Custer County,Cases,154
Colorado Case Counts by County,Delta County,Cases,1907
Colorado Case Counts by County,Denver County,Cases,51608
Colorado Case Counts by County,Dolores County,Cases,55
Colorado Case Counts by County,Douglas County,Cases,17047
Colorado Case Counts by County,Eagle County,Cases,3692
Colorado Case Counts by County,El Paso County,Cases,44205
Colorado Case Counts by County,Elbert County,Cases,1062
Colorado Case Counts by County,Fremont County,Cases,4903
Colorado Case Counts by County,Garfield County,Cases,4300
Colorado Case Counts by County,Gilpin County,Cases,134
Colorado Case Counts by County,Grand County,Cases,756
Colorado Case Counts by County,Gunnison County,Cases,787
Colorado Case Counts by County,Hinsdale County,Cases,15
Colorado Case Counts by County,Huerfano County,Cases,283
Colorado Case Counts by County,International,Cases,27
Colorado Case Counts by County,Jackson County,Cases,42
Colorado Case Counts by County,Jefferson County,Cases,31685
Colorado Case Counts by County,Kiowa County,Cases,78
Colorado Case Counts by County,Kit Carson County,Cases,457
Colorado Case Counts by County,La Plata County,Cases,2443
Colorado Case Counts by County,Lake County,Cases,461
Colorado Case Counts by County,Larimer County,Cases,16204
Colorado Case Counts by County,Las Animas County,Cases,821
Colorado Case Counts by County,Lincoln County,Cases,800
Colorado Case Counts by County,Logan County,Cases,3383
Colorado Case Counts by County,Mesa County,Cases,10128
Colorado Case Counts by County,Mineral County,Cases,50
Colorado Case Counts by County,Moffat County,Cases,568
Colorado Case Counts by County,Montezuma County,Cases,1386
Colorado Case Counts by County,Montrose County,Cases,2418
Colorado Case Counts by County,Morgan County,Cases,2245
Colorado Case Counts by County,Otero County,Cases,1720
Colorado Case Counts by County,Ouray County,Cases,166
Colorado Case Counts by County,Park County,Cases,435
Colorado Case Counts by County,Phillips County,Cases,302
Colorado Case Counts by County,Pitkin County,Cases,1435
Colorado Case Counts by County,Prowers County,Cases,1052
Colorado Case Counts by County,Pueblo County,Cases,13802
Colorado Case Counts by County,Rio Blanco County,Cases,292
Colorado Case Counts by County,Rio Grande County,Cases,500
Colorado Case Counts by County,Routt County,Cases,1168
Colorado Case Counts by County,Saguache County,Cases,272
Colorado Case Counts by County,San Juan County,Cases,35
Colorado Case Counts by County,San Miguel County,Cases,431
Colorado Case Counts by County,Sedgwick County,Cases,164
Colorado Case Counts by County,Summit County,Cases,2285
Colorado Case Counts by County,Teller County,Cases,1060
Colorado Case Counts by County,Washington County,Cases,352
Colorado Case Counts by County,Weld County,Cases,21620
