description,attribute,metric,value
State Data,Statewide,Cases,43789
State Data,Statewide,Hospitalizations,6261
State Data,Statewide,Counties,63
State Data,Statewide,People Tested,487235
State Data,Statewide,Test Encounters,624351
State Data,Statewide,Deaths Among Cases,1794
State Data,Statewide,Deaths Due to COVID-19,1661
State Data,Statewide,Outbreaks,457
State Data,Statewide,Rate Per 100000,760.39
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,5535
Colorado Case Counts by County,Alamosa County,Cases,219
Colorado Case Counts by County,Arapahoe County,Cases,6470
Colorado Case Counts by County,Archuleta County,Cases,25
Colorado Case Counts by County,Baca County,Cases,14
Colorado Case Counts by County,Bent County,Cases,5
Colorado Case Counts by County,Boulder County,Cases,1751
Colorado Case Counts by County,Broomfield County,Cases,378
Colorado Case Counts by County,Chaffee County,Cases,243
Colorado Case Counts by County,Cheyenne County,Cases,7
Colorado Case Counts by County,Clear Creek County,Cases,25
Colorado Case Counts by County,Conejos County,Cases,22
Colorado Case Counts by County,Costilla County,Cases,22
Colorado Case Counts by County,Crowley County,Cases,72
Colorado Case Counts by County,Custer County,Cases,10
Colorado Case Counts by County,Delta County,Cases,98
Colorado Case Counts by County,Denver County,Cases,9101
Colorado Case Counts by County,Dolores County,Cases,1
Colorado Case Counts by County,Douglas County,Cases,1494
Colorado Case Counts by County,Eagle County,Cases,944
Colorado Case Counts by County,El Paso County,Cases,4033
Colorado Case Counts by County,Elbert County,Cases,77
Colorado Case Counts by County,Fremont County,Cases,87
Colorado Case Counts by County,Garfield County,Cases,612
Colorado Case Counts by County,Gilpin County,Cases,13
Colorado Case Counts by County,Grand County,Cases,40
Colorado Case Counts by County,Gunnison County,Cases,216
Colorado Case Counts by County,Hinsdale County,Cases,3
Colorado Case Counts by County,Huerfano County,Cases,6
Colorado Case Counts by County,International,Cases,18
Colorado Case Counts by County,Jackson County,Cases,8
Colorado Case Counts by County,Jefferson County,Cases,3622
Colorado Case Counts by County,Kiowa County,Cases,0
Colorado Case Counts by County,Kit Carson County,Cases,42
Colorado Case Counts by County,La Plata County,Cases,185
Colorado Case Counts by County,Lake County,Cases,61
Colorado Case Counts by County,Larimer County,Cases,1238
Colorado Case Counts by County,Las Animas County,Cases,13
Colorado Case Counts by County,Lincoln County,Cases,6
Colorado Case Counts by County,Logan County,Cases,645
Colorado Case Counts by County,Mesa County,Cases,227
Colorado Case Counts by County,Mineral County,Cases,18
Colorado Case Counts by County,Moffat County,Cases,23
Colorado Case Counts by County,Montezuma County,Cases,96
Colorado Case Counts by County,Montrose County,Cases,255
Colorado Case Counts by County,Morgan County,Cases,672
Colorado Case Counts by County,Otero County,Cases,36
Colorado Case Counts by County,Ouray County,Cases,12
Colorado Case Counts by County,Park County,Cases,39
Colorado Case Counts by County,Phillips County,Cases,20
Colorado Case Counts by County,Pitkin County,Cases,153
Colorado Case Counts by County,Prowers County,Cases,45
Colorado Case Counts by County,Pueblo County,Cases,552
Colorado Case Counts by County,Rio Blanco County,Cases,6
Colorado Case Counts by County,Rio Grande County,Cases,87
Colorado Case Counts by County,Routt County,Cases,94
Colorado Case Counts by County,Saguache County,Cases,107
Colorado Case Counts by County,San Juan County,Cases,2
Colorado Case Counts by County,San Miguel County,Cases,73
Colorado Case Counts by County,Sedgwick County,Cases,11
Colorado Case Counts by County,Summit County,Cases,315
Colorado Case Counts by County,Teller County,Cases,96
Colorado Case Counts by County,Washington County,Cases,46
Colorado Case Counts by County,Weld County,Cases,3386
Colorado Case Counts by County,Yuma County,Cases,57
Colorado Case Counts by County,Note,"County rates per 100,000 are calculated using 2018 population estimates from the Demography Section, Colorado Division of Local Government.",NA
COVID-19 in Colorado by Age Group,0-9,Percent of Cases,2.91
COVID-19 in Colorado by Age Group,10-19,Percent of Cases,6.76
COVID-19 in Colorado by Age Group,20-29,Percent of Cases,20.73
COVID-19 in Colorado by Age Group,30-39,Percent of Cases,17.92
COVID-19 in Colorado by Age Group,40-49,Percent of Cases,16.04
COVID-19 in Colorado by Age Group,50-59,Percent of Cases,14.51
COVID-19 in Colorado by Age Group,60-69,Percent of Cases,9.5
COVID-19 in Colorado by Age Group,70-79,Percent of Cases,5.76
COVID-19 in Colorado by Age Group,80+,Percent of Cases,5.77
COVID-19 in Colorado by Age Group,Unknown,Percent of Cases,0.11
COVID-19 in Colorado by Age Group,10-19,Percent of Deaths,0.17
