description,attribute,metric,value
State Data,Statewide,Cases,15284
State Data,Statewide,Hospitalizations,2697
State Data,Statewide,Counties,56
State Data,Statewide,People Tested,72390
State Data,Statewide,Deaths,777
State Data,Statewide,Outbreaks,159
State Data,Statewide,Rate Per 100000,268.41
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
Colorado Case Counts by County,Adams,Cases,1585
Colorado Case Counts by County,Alamosa,Cases,10
Colorado Case Counts by County,Arapahoe,Cases,2472
Colorado Case Counts by County,Archuleta,Cases,8
Colorado Case Counts by County,Baca,Cases,10
Colorado Case Counts by County,Bent,Cases,0
Colorado Case Counts by County,Boulder,Cases,580
Colorado Case Counts by County,Broomfield,Cases,150
Colorado Case Counts by County,Chaffee,Cases,66
Colorado Case Counts by County,Cheyenne,Cases,0
Colorado Case Counts by County,Clear Creek,Cases,13
Colorado Case Counts by County,Conejos,Cases,0
Colorado Case Counts by County,Costilla,Cases,3
Colorado Case Counts by County,Crowley,Cases,2
Colorado Case Counts by County,Custer,Cases,2
Colorado Case Counts by County,Delta,Cases,44
Colorado Case Counts by County,Denver,Cases,3001
Colorado Case Counts by County,Dolores,Cases,0
Colorado Case Counts by County,Douglas,Cases,478
Colorado Case Counts by County,Eagle,Cases,550
Colorado Case Counts by County,El Paso,Cases,934
Colorado Case Counts by County,Elbert,Cases,29
Colorado Case Counts by County,Fremont,Cases,22
Colorado Case Counts by County,Garfield,Cases,93
Colorado Case Counts by County,Gilpin,Cases,1
Colorado Case Counts by County,Grand,Cases,5
Colorado Case Counts by County,Gunnison,Cases,166
Colorado Case Counts by County,Hinsdale,Cases,3
Colorado Case Counts by County,Huerfano,Cases,2
Colorado Case Counts by County,Jackson,Cases,0
Colorado Case Counts by County,Jefferson,Cases,1338
Colorado Case Counts by County,Kiowa,Cases,0
Colorado Case Counts by County,Kit Carson,Cases,21
Colorado Case Counts by County,La Plata,Cases,62
Colorado Case Counts by County,Lake,Cases,18
Colorado Case Counts by County,Larimer,Cases,363
Colorado Case Counts by County,Las Animas,Cases,3
Colorado Case Counts by County,Lincoln,Cases,3
Colorado Case Counts by County,Logan,Cases,282
Colorado Case Counts by County,Mesa,Cases,46
Colorado Case Counts by County,Mineral,Cases,2
Colorado Case Counts by County,Moffat,Cases,6
Colorado Case Counts by County,Montezuma,Cases,16
Colorado Case Counts by County,Montrose,Cases,96
Colorado Case Counts by County,Morgan,Cases,372
Colorado Case Counts by County,Otero,Cases,10
Colorado Case Counts by County,Ouray,Cases,5
Colorado Case Counts by County,Park,Cases,11
Colorado Case Counts by County,Phillips,Cases,5
Colorado Case Counts by County,Pitkin,Cases,65
Colorado Case Counts by County,Prowers,Cases,1
Colorado Case Counts by County,Pueblo,Cases,139
Colorado Case Counts by County,Rio Blanco,Cases,1
Colorado Case Counts by County,Rio Grande,Cases,7
Colorado Case Counts by County,Routt,Cases,56
Colorado Case Counts by County,Saguache,Cases,3
Colorado Case Counts by County,San Juan,Cases,0
Colorado Case Counts by County,San Miguel,Cases,19
Colorado Case Counts by County,Sedgwick,Cases,0
Colorado Case Counts by County,Summit,Cases,128
Colorado Case Counts by County,Teller,Cases,28
Colorado Case Counts by County,Unknown Or Pending,Cases,158
Colorado Case Counts by County,Washington,Cases,7
Colorado Case Counts by County,Weld,Cases,1776
Colorado Case Counts by County,Yuma,Cases,8
Colorado Case Counts by County,Note,People who tested positive for COVID-19 in Colorado while visiting are included in the county where they were identified.,NA
COVID-19 in Colorado by Age Group,0-9,Percent of Cases,1.33
COVID-19 in Colorado by Age Group,10-19,Percent of Cases,3.09
COVID-19 in Colorado by Age Group,20-29,Percent of Cases,14.17
COVID-19 in Colorado by Age Group,30-39,Percent of Cases,16.7
COVID-19 in Colorado by Age Group,40-49,Percent of Cases,16.89
COVID-19 in Colorado by Age Group,50-59,Percent of Cases,17.26
COVID-19 in Colorado by Age Group,60-69,Percent of Cases,13.03
COVID-19 in Colorado by Age Group,70-79,Percent of Cases,8.54
COVID-19 in Colorado by Age Group,80+,Percent of Cases,8.66
COVID-19 in Colorado by Age Group,Unknown,Percent of Cases,0.34
COVID-19 in Colorado by Age Group,10-19,Percent of Deaths,0.13
COVID-19 in Colorado by Age Group,20-29,Percent of Deaths,0.51
COVID-19 in Colorado by Age Group,30-39,Percent of Deaths,0.51
COVID-19 in Colorado by Age Group,40-49,Percent of Deaths,2.7
COVID-19 in Colorado by Age Group,50-59,Percent of Deaths,4.5
COVID-19 in Colorado by Age Group,60-69,Percent of Deaths,13.13
COVID-19 in Colorado by Age Group,70-79,Percent of Deaths,24.32
COVID-19 in Colorado by Age Group,80+,Percent of Deaths,54.05
COVID-19 in Colorado by Age Group,Unknown,Percent of Deaths,0.13
COVID-19 in Colorado by Age Group,0-9,Percent of Colorado Population,11.85
COVID-19 in Colorado by Age Group,10-19,Percent of Colorado Population,13.11
COVID-19 in Colorado by Age Group,20-29,Percent of Colorado Population,14.61
COVID-19 in Colorado by Age Group,30-39,Percent of Colorado Population,14.56
COVID-19 in Colorado by Age Group,40-49,Percent of Colorado Population,13.04
COVID-19 in Colorado by Age Group,50-59,Percent of Colorado Population,12.67
COVID-19 in Colorado by Age Group,60-69,Percent of Colorado Population,10.91
