description,attribute,metric,value
State Data,Statewide,Cases,51441
State Data,Statewide,Hospitalizations,6679
State Data,Statewide,Counties,63
State Data,Statewide,People Tested,597867
State Data,Statewide,Test Encounters,817422
State Data,Statewide,Deaths Among Cases,1875
State Data,Statewide,Deaths Due to COVID-19,1751
State Data,Statewide,Outbreaks,519
State Data,Statewide,Rate Per 100000,903.38
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,6581
Colorado Case Counts by County,Alamosa County,Cases,231
Colorado Case Counts by County,Arapahoe County,Cases,7377
Colorado Case Counts by County,Archuleta County,Cases,36
Colorado Case Counts by County,Baca County,Cases,15
Colorado Case Counts by County,Bent County,Cases,9
Colorado Case Counts by County,Boulder County,Cases,2086
Colorado Case Counts by County,Broomfield County,Cases,482
Colorado Case Counts by County,Chaffee County,Cases,304
Colorado Case Counts by County,Cheyenne County,Cases,9
Colorado Case Counts by County,Clear Creek County,Cases,30
Colorado Case Counts by County,Conejos County,Cases,23
Colorado Case Counts by County,Costilla County,Cases,23
Colorado Case Counts by County,Crowley County,Cases,72
Colorado Case Counts by County,Custer County,Cases,11
Colorado Case Counts by County,Delta County,Cases,128
Colorado Case Counts by County,Denver County,Cases,10319
Colorado Case Counts by County,Dolores County,Cases,1
Colorado Case Counts by County,Douglas County,Cases,1759
Colorado Case Counts by County,Eagle County,Cases,1126
Colorado Case Counts by County,El Paso County,Cases,5183
Colorado Case Counts by County,Elbert County,Cases,107
Colorado Case Counts by County,Fremont County,Cases,128
Colorado Case Counts by County,Garfield County,Cases,773
Colorado Case Counts by County,Gilpin County,Cases,16
Colorado Case Counts by County,Grand County,Cases,51
Colorado Case Counts by County,Gunnison County,Cases,274
Colorado Case Counts by County,Hinsdale County,Cases,3
Colorado Case Counts by County,Huerfano County,Cases,8
Colorado Case Counts by County,International,Cases,19
Colorado Case Counts by County,Jackson County,Cases,9
Colorado Case Counts by County,Jefferson County,Cases,4258
Colorado Case Counts by County,Kiowa County,Cases,0
Colorado Case Counts by County,Kit Carson County,Cases,56
Colorado Case Counts by County,La Plata County,Cases,222
Colorado Case Counts by County,Lake County,Cases,79
Colorado Case Counts by County,Larimer County,Cases,1590
Colorado Case Counts by County,Las Animas County,Cases,18
Colorado Case Counts by County,Lincoln County,Cases,8
Colorado Case Counts by County,Logan County,Cases,655
Colorado Case Counts by County,Mesa County,Cases,329
Colorado Case Counts by County,Mineral County,Cases,18
Colorado Case Counts by County,Moffat County,Cases,32
Colorado Case Counts by County,Montezuma County,Cases,112
Colorado Case Counts by County,Montrose County,Cases,312
Colorado Case Counts by County,Morgan County,Cases,687
Colorado Case Counts by County,Otero County,Cases,76
Colorado Case Counts by County,Ouray County,Cases,13
Colorado Case Counts by County,Park County,Cases,42
Colorado Case Counts by County,Phillips County,Cases,19
