description,attribute,metric,value
State Data,Statewide,Cases,16635
State Data,Statewide,Hospitalizations,2799
State Data,Statewide,Counties,56
State Data,Statewide,People Tested,81352
State Data,Statewide,Deaths,842
State Data,Statewide,Outbreaks,163
State Data,Statewide,"Rate per 100,000",292.13
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
Colorado Case Counts by County,Adams,Cases,1780
Colorado Case Counts by County,Alamosa,Cases,12
Colorado Case Counts by County,Arapahoe,Cases,2706
Colorado Case Counts by County,Archuleta,Cases,8
Colorado Case Counts by County,Baca,Cases,12
Colorado Case Counts by County,Bent,Cases,0
Colorado Case Counts by County,Boulder,Cases,661
Colorado Case Counts by County,Broomfield,Cases,165
Colorado Case Counts by County,Chaffee,Cases,67
Colorado Case Counts by County,Cheyenne,Cases,0
Colorado Case Counts by County,Clear Creek,Cases,13
Colorado Case Counts by County,Conejos,Cases,0
Colorado Case Counts by County,Costilla,Cases,3
Colorado Case Counts by County,Crowley,Cases,4
Colorado Case Counts by County,Custer,Cases,2
Colorado Case Counts by County,Delta,Cases,50
Colorado Case Counts by County,Denver,Cases,3345
Colorado Case Counts by County,Dolores,Cases,0
Colorado Case Counts by County,Douglas,Cases,526
Colorado Case Counts by County,Eagle,Cases,551
Colorado Case Counts by County,El Paso,Cases,994
Colorado Case Counts by County,Elbert,Cases,31
Colorado Case Counts by County,Fremont,Cases,22
Colorado Case Counts by County,Garfield,Cases,97
Colorado Case Counts by County,Gilpin,Cases,1
Colorado Case Counts by County,Grand,Cases,5
Colorado Case Counts by County,Gunnison,Cases,165
Colorado Case Counts by County,Hinsdale,Cases,3
Colorado Case Counts by County,Huerfano,Cases,2
Colorado Case Counts by County,Jackson,Cases,0
Colorado Case Counts by County,Jefferson,Cases,1405
Colorado Case Counts by County,Kiowa,Cases,0
Colorado Case Counts by County,Kit Carson,Cases,21
Colorado Case Counts by County,La Plata,Cases,63
Colorado Case Counts by County,Lake,Cases,20
Colorado Case Counts by County,Larimer,Cases,395
Colorado Case Counts by County,Las Animas,Cases,3
Colorado Case Counts by County,Lincoln,Cases,3
Colorado Case Counts by County,Logan,Cases,291
Colorado Case Counts by County,Mesa,Cases,47
Colorado Case Counts by County,Mineral,Cases,2
Colorado Case Counts by County,Moffat,Cases,6
Colorado Case Counts by County,Montezuma,Cases,17
Colorado Case Counts by County,Montrose,Cases,105
Colorado Case Counts by County,Morgan,Cases,399
Colorado Case Counts by County,Otero,Cases,10
Colorado Case Counts by County,Ouray,Cases,5
Colorado Case Counts by County,Park,Cases,14
Colorado Case Counts by County,Phillips,Cases,5
Colorado Case Counts by County,Pitkin,Cases,51
Colorado Case Counts by County,Prowers,Cases,1
Colorado Case Counts by County,Pueblo,Cases,158
Colorado Case Counts by County,Rio Blanco,Cases,1
Colorado Case Counts by County,Rio Grande,Cases,7
Colorado Case Counts by County,Routt,Cases,56
Colorado Case Counts by County,Saguache,Cases,3
Colorado Case Counts by County,San Juan,Cases,0
Colorado Case Counts by County,San Miguel,Cases,19
Colorado Case Counts by County,Sedgwick,Cases,0
Colorado Case Counts by County,Summit,Cases,144
Colorado Case Counts by County,Teller,Cases,28
Colorado Case Counts by County,Unknown Or Pending,Cases,242
Colorado Case Counts by County,Washington,Cases,8
Colorado Case Counts by County,Weld,Cases,1872
Colorado Case Counts by County,Yuma,Cases,9
Colorado Case Counts by County,Note,"County rates per 100,000 are calculated using 2018 population estimates from the Demography Section, Colorado Division of Local Government.",NA
COVID-19 in Colorado by Age Group,0-9,Percent of Cases,1.42
COVID-19 in Colorado by Age Group,10-19,Percent of Cases,3.18
COVID-19 in Colorado by Age Group,20-29,Percent of Cases,14.44
COVID-19 in Colorado by Age Group,30-39,Percent of Cases,16.79
COVID-19 in Colorado by Age Group,40-49,Percent of Cases,16.89
COVID-19 in Colorado by Age Group,50-59,Percent of Cases,17.01
COVID-19 in Colorado by Age Group,60-69,Percent of Cases,12.88
COVID-19 in Colorado by Age Group,70-79,Percent of Cases,8.37
COVID-19 in Colorado by Age Group,80+,Percent of Cases,8.66
COVID-19 in Colorado by Age Group,Unknown,Percent of Cases,0.37
COVID-19 in Colorado by Age Group,10-19,Percent of Deaths,0.12
COVID-19 in Colorado by Age Group,20-29,Percent of Deaths,0.59
COVID-19 in Colorado by Age Group,30-39,Percent of Deaths,0.48
COVID-19 in Colorado by Age Group,40-49,Percent of Deaths,2.49
COVID-19 in Colorado by Age Group,50-59,Percent of Deaths,4.87
COVID-19 in Colorado by Age Group,60-69,Percent of Deaths,12.95
COVID-19 in Colorado by Age Group,70-79,Percent of Deaths,24.23
COVID-19 in Colorado by Age Group,80+,Percent of Deaths,54.28
COVID-19 in Colorado by Age Group,0-9,Percent of Colorado Population,11.85
COVID-19 in Colorado by Age Group,10-19,Percent of Colorado Population,13.11
COVID-19 in Colorado by Age Group,20-29,Percent of Colorado Population,14.61
COVID-19 in Colorado by Age Group,30-39,Percent of Colorado Population,14.56
COVID-19 in Colorado by Age Group,40-49,Percent of Colorado Population,13.04
COVID-19 in Colorado by Age Group,50-59,Percent of Colorado Population,12.67
COVID-19 in Colorado by Age Group,60-69,Percent of Colorado Population,10.91
COVID-19 in Colorado by Age Group,70-79,Percent of Colorado Population,6.12
COVID-19 in Colorado by Age Group,80+,Percent of Colorado Population,3.13
COVID-19 in Colorado by Age Group,Unknown,Percent of Colorado Population,0
COVID-19 in Colorado by Age Group,Note,Percent of cases and deaths by age group compared to percent of total Colorado (CO) population.,NA
COVID-19 in Colorado by Age Group,Note,"Population Data: Colorado Department of Local Affairs State Demography Office, 2018 Regional Estimates",NA
COVID-19 in Colorado by Race & Ethnicity,AIAN - Non Hispanic,Percent of Cases,0.5
COVID-19 in Colorado by Race & Ethnicity,Asian - Non Hispanic,Percent of Cases,2.61
COVID-19 in Colorado by Race & Ethnicity,Black - Non Hispanic,Percent of Cases,7.57
COVID-19 in Colorado by Race & Ethnicity,"Hispanic, All Races",Percent of Cases,37.7
COVID-19 in Colorado by Race & Ethnicity,Multiple - Non Hispanic,Percent of Cases,1.34
COVID-19 in Colorado by Race & Ethnicity,NHOPI - Non Hispanic,Percent of Cases,0.54
COVID-19 in Colorado by Race & Ethnicity,White - Non Hispanic,Percent of Cases,48.82
COVID-19 in Colorado by Race & Ethnicity,Other,Percent of Cases,0.93
COVID-19 in Colorado by Race & Ethnicity,AIAN - Non Hispanic,Percent of Deaths,0.26
COVID-19 in Colorado by Race & Ethnicity,Asian - Non Hispanic,Percent of Deaths,3.59
COVID-19 in Colorado by Race & Ethnicity,Black - Non Hispanic,Percent of Deaths,6.41
COVID-19 in Colorado by Race & Ethnicity,"Hispanic, All Races",Percent of Deaths,17.82
COVID-19 in Colorado by Race & Ethnicity,Multiple - Non Hispanic,Percent of Deaths,1.03
COVID-19 in Colorado by Race & Ethnicity,NHOPI - Non Hispanic,Percent of Deaths,0.64
COVID-19 in Colorado by Race & Ethnicity,White - Non Hispanic,Percent of Deaths,69.87
COVID-19 in Colorado by Race & Ethnicity,Other,Percent of Deaths,0.38
COVID-19 in Colorado by Race & Ethnicity,AIAN - Non Hispanic,Percent of Colorado Population,0.56
COVID-19 in Colorado by Race & Ethnicity,Asian - Non Hispanic,Percent of Colorado Population,3.12
COVID-19 in Colorado by Race & Ethnicity,Black - Non Hispanic,Percent of Colorado Population,3.92
COVID-19 in Colorado by Race & Ethnicity,"Hispanic, All Races",Percent of Colorado Population,21.69
COVID-19 in Colorado by Race & Ethnicity,Multiple - Non Hispanic,Percent of Colorado Population,2.65
COVID-19 in Colorado by Race & Ethnicity,NHOPI - Non Hispanic,Percent of Colorado Population,0.12
COVID-19 in Colorado by Race & Ethnicity,White - Non Hispanic,Percent of Colorado Population,67.76
COVID-19 in Colorado by Race & Ethnicity,Other,Percent of Colorado Population,0.19
COVID-19 in Colorado by Race & Ethnicity,Note,Percent of cases and deaths by race and ethnicity compared to percent of total Colorado (CO) population.,NA
COVID-19 in Colorado by Race & Ethnicity,Note,Cases with an unknown race or ethnicity are excluded from the above calculations.,NA
COVID-19 in Colorado by Race & Ethnicity,Note,"Population Data: U.S. Census Bureau, 2018 American Community Survey 1-Year Estimates",NA
COVID-19 in Colorado by Sex,Female,Percent of Cases,50.96
COVID-19 in Colorado by Sex,Male,Percent of Cases,47.83
COVID-19 in Colorado by Sex,Male to Female,Percent of Cases,0.01
COVID-19 in Colorado by Sex,Unknown,Percent of Cases,1.2
COVID-19 in Colorado by Sex,Female,Percent of Deaths,42.87
COVID-19 in Colorado by Sex,Male,Percent of Deaths,55.94
COVID-19 in Colorado by Sex,Unknown,Percent of Deaths,1.19
Case Status for Cases & Deaths,Confirmed,Number of Cases,14897
Case Status for Cases & Deaths,Confirmed,Percent of Cases,0.9
Case Status for Cases & Deaths,Confirmed,Number of Deaths,705
Case Status for Cases & Deaths,Confirmed,Percent of Deaths,0.84
Case Status for Cases & Deaths,Probable,Number of Cases,1637
Case Status for Cases & Deaths,Probable,Percent of Cases,0.1
Case Status for Cases & Deaths,Probable,Number of Deaths,137
Case Status for Cases & Deaths,Probable,Percent of Deaths,0.16
Case Status for Cases & Deaths,Unknown,Number of Cases,101
Case Status for Cases & Deaths,Unknown,Percent of Cases,0.01
Case Status for Cases & Deaths,Unknown,Number of Deaths,NA
Case Status for Cases & Deaths,Unknown,Percent of Deaths,NA
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-07,Three-Day Moving Average Of Cases,2.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-08,Three-Day Moving Average Of Cases,0
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-09,Three-Day Moving Average Of Cases,1.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-10,Three-Day Moving Average Of Cases,3.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-11,Three-Day Moving Average Of Cases,10
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-12,Three-Day Moving Average Of Cases,11.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-13,Three-Day Moving Average Of Cases,19
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-14,Three-Day Moving Average Of Cases,23.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-15,Three-Day Moving Average Of Cases,31.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-16,Three-Day Moving Average Of Cases,34.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-17,Three-Day Moving Average Of Cases,33.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-18,Three-Day Moving Average Of Cases,45
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-19,Three-Day Moving Average Of Cases,61.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-20,Three-Day Moving Average Of Cases,91
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-21,Three-Day Moving Average Of Cases,106.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-22,Three-Day Moving Average Of Cases,120
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-23,Three-Day Moving Average Of Cases,144.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-24,Three-Day Moving Average Of Cases,164.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-25,Three-Day Moving Average Of Cases,227.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-26,Three-Day Moving Average Of Cases,262.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-27,Three-Day Moving Average Of Cases,313.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-28,Three-Day Moving Average Of Cases,289
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-29,Three-Day Moving Average Of Cases,301
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-30,Three-Day Moving Average Of Cases,300
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-31,Three-Day Moving Average Of Cases,347.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-01,Three-Day Moving Average Of Cases,369
Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-02,Three-Day Moving Average Of Cases,411
