description,attribute,metric,value
State Data,Statewide,Cases,216
State Data,Statewide,Hospitalizations,26
State Data,Statewide,Counties,20
State Data,Statewide,People Tested,2328
State Data,Statewide,Deaths,2
State Data,Statewide,Rate Per 100000,3.793
Case Counts by County,Denver,Rate Per 100000,5.990009222
Case Counts by County,Denver,Cases,43
Case Counts by County,Eagle,Rate Per 100000,71.04472174
Case Counts by County,Eagle,Cases,39
Case Counts by County,Jefferson,Rate Per 100000,4.311259112
Case Counts by County,Jefferson,Cases,25
Case Counts by County,Arapahoe,Rate Per 100000,3.376755337
Case Counts by County,Arapahoe,Cases,22
Case Counts by County,Douglas,Rate Per 100000,3.207586233
Case Counts by County,Douglas,Cases,11
Case Counts by County,Gunnison,Rate Per 100000,64.02048656
Case Counts by County,Gunnison,Cases,11
Case Counts by County,Pitkin,Rate Per 100000,61.3633828
Case Counts by County,Pitkin,Cases,11
Case Counts by County,Adams,Rate Per 100000,1.9541937
Case Counts by County,Adams,Cases,10
Case Counts by County,Weld,Rate Per 100000,2.863615537
Case Counts by County,Weld,Cases,9
Case Counts by County,El Paso,Rate Per 100000,1.119607689
Case Counts by County,El Paso,Cases,8
Case Counts by County,Boulder,Rate Per 100000,2.150405505
Case Counts by County,Boulder,Cases,7
Case Counts by County,Larimer,Rate Per 100000,1.141474328
Case Counts by County,Larimer,Cases,4
Case Counts by County,Summit,Rate Per 100000,12.91238944
Case Counts by County,Summit,Cases,4
Case Counts by County,*County is unknown or pending,Rate Per 100000,NA
Case Counts by County,*County is unknown or pending,Cases,3
Case Counts by County,Clear Creek,Rate Per 100000,20.70607723
Case Counts by County,Clear Creek,Cases,2
Case Counts by County,Garfield,Rate Per 100000,3.34146423
Case Counts by County,Garfield,Cases,2
Case Counts by County,Routt,Rate Per 100000,7.777259294
Case Counts by County,Routt,Cases,2
Case Counts by County,Grand,Rate Per 100000,6.450364446
Case Counts by County,Grand,Cases,1
Case Counts by County,Mesa,Rate Per 100000,0.650923009
Case Counts by County,Mesa,Cases,1
Case Counts by County,Pueblo,Rate Per 100000,0.598512099
Case Counts by County,Pueblo,Cases,1
Case Counts by Age Group,0-9,Cases,1
Case Counts by Age Group,0-9,Percent,0.46
Case Counts by Age Group,10-19,Cases,9
Case Counts by Age Group,10-19,Percent,4.17
Case Counts by Age Group,20-29,Cases,27
Case Counts by Age Group,20-29,Percent,12.5
Case Counts by Age Group,30-39,Cases,40
Case Counts by Age Group,30-39,Percent,18.52
Case Counts by Age Group,40-49,Cases,41
Case Counts by Age Group,40-49,Percent,18.98
Case Counts by Age Group,50-59,Cases,40
Case Counts by Age Group,50-59,Percent,18.52
Case Counts by Age Group,60-69,Cases,29
Case Counts by Age Group,60-69,Percent,13.43
Case Counts by Age Group,70-79,Cases,18
Case Counts by Age Group,70-79,Percent,8.33
Case Counts by Age Group,80+,Cases,7
Case Counts by Age Group,80+,Percent,3.24
Case Counts by Age Group,Unknown,Cases,4
Case Counts by Age Group,Unknown,Percent,1.85
Transmission Type,Under Investigation,Cases,124
Transmission Type,Under Investigation,Percent,57.41
Transmission Type,Community,Cases,36
Transmission Type,Community,Percent,16.67
Transmission Type,Travel,Cases,27
Transmission Type,Travel,Percent,12.5
Transmission Type,Limited Person-to-Person,Cases,29
Transmission Type,Limited Person-to-Person,Percent,13.43
Case Counts by Onset Date,2/18/2020,Cases,1
Case Counts by Onset Date,2/19/2020,Cases,1
Case Counts by Onset Date,2/20/2020,Cases,3
Case Counts by Onset Date,2/23/2020,Cases,1
Case Counts by Onset Date,2/26/2020,Cases,1
Case Counts by Onset Date,2/27/2020,Cases,1
Case Counts by Onset Date,2/28/2020,Cases,2
Case Counts by Onset Date,2/29/2020,Cases,2
Case Counts by Onset Date,3/1/2020,Cases,9
Case Counts by Onset Date,3/2/2020,Cases,7
Case Counts by Onset Date,3/3/2020,Cases,10
Case Counts by Onset Date,3/4/2020,Cases,14
Case Counts by Onset Date,3/5/2020,Cases,3
Case Counts by Onset Date,3/6/2020,Cases,12
Case Counts by Onset Date,3/7/2020,Cases,11
Case Counts by Onset Date,3/8/2020,Cases,16
Case Counts by Onset Date,3/9/2020,Cases,12
Case Counts by Onset Date,3/10/2020,Cases,23
Case Counts by Onset Date,3/11/2020,Cases,10
Case Counts by Onset Date,3/12/2020,Cases,2
