description,attribute,metric,value
State Data,Statewide,Cases,9730
State Data,Statewide,Hospitalizations,1813
State Data,Statewide,Counties,56
State Data,Statewide,People Tested,46195
State Data,Statewide,Deaths,422
State Data,Statewide,Outbreaks,111
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results.,NA
State Data,Note,Outbreaks are investigated at all facilities.,NA
Case Counts by County,Adams County,Cases,915
Case Counts by County,Adams County,Rate Per 100000,178.89507364025081
Case Counts by County,Alamosa County,Cases,7
Case Counts by County,Alamosa County,Rate Per 100000,43.252595155709344
Case Counts by County,Arapahoe County,Cases,1536
Case Counts by County,Arapahoe County,Rate Per 100000,235.8208130290999
Case Counts by County,Archuleta County,Cases,7
Case Counts by County,Archuleta County,Rate Per 100000,50.957268690398195
Case Counts by County,Baca County,Cases,10
Case Counts by County,Baca County,Rate Per 100000,281.928390188892
Case Counts by County,Bent County,Cases,0
Case Counts by County,Bent County,Rate Per 100000,NA
Case Counts by County,Boulder County,Cases,352
Case Counts by County,Boulder County,Rate Per 100000,108.14929518612739
Case Counts by County,Broomfield County,Cases,101
Case Counts by County,Broomfield County,Rate Per 100000,145.42208399925127
Case Counts by County,Chaffee County,Cases,38
Case Counts by County,Chaffee County,Rate Per 100000,189.73437187936887
Case Counts by County,Cheyenne County,Cases,0
Case Counts by County,Cheyenne County,Rate Per 100000,NA
Case Counts by County,Clear Creek County,Cases,11
Case Counts by County,Clear Creek County,Rate Per 100000,113.83628272793129
Case Counts by County,Conejos County,Cases,0
Case Counts by County,Conejos County,Rate Per 100000,NA
Case Counts by County,Costilla County,Cases,3
Case Counts by County,Costilla County,Rate Per 100000,NA
Case Counts by County,Crowley County,Cases,2
Case Counts by County,Crowley County,Rate Per 100000,NA
Case Counts by County,Custer County,Cases,2
Case Counts by County,Custer County,Rate Per 100000,NA
Case Counts by County,Delta County,Cases,22
Case Counts by County,Delta County,Rate Per 100000,71.11455908973365
Case Counts by County,Denver County,Cases,1784
Case Counts by County,Denver County,Rate Per 100000,248.53823574074565
Case Counts by County,Dolores County,Cases,0
Case Counts by County,Dolores County,Rate Per 100000,NA
Case Counts by County,Douglas County,Cases,368
Case Counts by County,Douglas County,Rate Per 100000,107.33807409827267
Case Counts by County,Eagle County,Cases,485
Case Counts by County,Eagle County,Rate Per 100000,884.0201957603485
Case Counts by County,El Paso County,Cases,731
Case Counts by County,El Paso County,Rate Per 100000,102.32434437531057
Case Counts by County,Elbert County,Cases,23
Case Counts by County,Elbert County,Rate Per 100000,87.7259897780151
Case Counts by County,Fremont County,Cases,10
Case Counts by County,Fremont County,Rate Per 100000,20.871597929537486
Case Counts by County,Garfield County,Cases,70
Case Counts by County,Garfield County,Rate Per 100000,117.04315548347184
Case Counts by County,Gilpin County,Cases,1
Case Counts by County,Gilpin County,Rate Per 100000,NA
Case Counts by County,Grand County,Cases,4
Case Counts by County,Grand County,Rate Per 100000,NA
Case Counts by County,Grand Total County,Cases,9730
Case Counts by County,Grand Total County,Rate Per 100000,NA
Case Counts by County,Gunnison County,Cases,114
Case Counts by County,Gunnison County,Rate Per 100000,663.8327607290514
Case Counts by County,Hinsdale County,Cases,3
Case Counts by County,Hinsdale County,Rate Per 100000,NA
Case Counts by County,Huerfano County,Cases,1
Case Counts by County,Huerfano County,Rate Per 100000,NA
Case Counts by County,Jackson County,Cases,0
Case Counts by County,Jackson County,Rate Per 100000,NA
Case Counts by County,Jefferson County,Cases,957
Case Counts by County,Jefferson County,Rate Per 100000,165.14492891175186
