description,attribute,metric,value
State Data,Statewide,Cases,4565
State Data,Statewide,Hospitalizations,875
State Data,Statewide,Counties,54
State Data,Statewide,People Tested,23900
State Data,Statewide,Deaths,126
State Data,Statewide,Outbreaks,30
State Data,Statewide,Rate Per 100000,80.17
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Outbreaks are investigated at residential and non-hospital heathcare facilities.,NA
State Data,Note,"The state rate per 100,000 includes all cases (including cases who have not yet been assigned to a county).",NA
Case Counts by County,Adams County,Cases,320
Case Counts by County,Adams County,Rate Per 100000,62.56439733866695
Case Counts by County,Alamosa County,Cases,4
Case Counts by County,Alamosa County,Rate Per 100000,NA
Case Counts by County,Arapahoe County,Cases,552
Case Counts by County,Arapahoe County,Rate Per 100000,84.74810468233278
Case Counts by County,Archuleta County,Cases,1
Case Counts by County,Archuleta County,Rate Per 100000,NA
Case Counts by County,Baca County,Cases,9
Case Counts by County,Baca County,Rate Per 100000,253.73555117000282
Case Counts by County,Bent County,Cases,0
Case Counts by County,Bent County,Rate Per 100000,NA
Case Counts by County,Boulder County,Cases,154
Case Counts by County,Boulder County,Rate Per 100000,47.315316643930736
Case Counts by County,Broomfield County,Cases,44
Case Counts by County,Broomfield County,Rate Per 100000,63.35219500957482
Case Counts by County,Chaffee County,Cases,21
Case Counts by County,Chaffee County,Rate Per 100000,104.8532055122828
Case Counts by County,Cheyenne County,Cases,0
Case Counts by County,Cheyenne County,Rate Per 100000,NA
Case Counts by County,Clear Creek County,Cases,6
Case Counts by County,Clear Creek County,Rate Per 100000,62.09251785159888
Case Counts by County,Conejos County,Cases,0
Case Counts by County,Conejos County,Rate Per 100000,NA
Case Counts by County,Costilla County,Cases,3
Case Counts by County,Costilla County,Rate Per 100000,NA
Case Counts by County,Crowley County,Cases,1
Case Counts by County,Crowley County,Rate Per 100000,NA
Case Counts by County,Custer County,Cases,2
Case Counts by County,Custer County,Rate Per 100000,NA
Case Counts by County,Delta County,Cases,4
Case Counts by County,Delta County,Rate Per 100000,NA
Case Counts by County,Denver County,Cases,769
Case Counts by County,Denver County,Rate Per 100000,107.13335385909943
Case Counts by County,Dolores County,Cases,0
Case Counts by County,Dolores County,Rate Per 100000,NA
Case Counts by County,Douglas County,Cases,209
Case Counts by County,Douglas County,Rate Per 100000,60.96102577863856
Case Counts by County,Eagle County,Cases,333
Case Counts by County,Eagle County,Rate Per 100000,606.9664436870022
Case Counts by County,El Paso County,Cases,406
Case Counts by County,El Paso County,Rate Per 100000,56.83130481036402
Case Counts by County,Elbert County,Cases,9
Case Counts by County,Elbert County,Rate Per 100000,34.327561217484174
Case Counts by County,Fremont County,Cases,3
Case Counts by County,Fremont County,Rate Per 100000,NA
Case Counts by County,Garfield County,Cases,45
Case Counts by County,Garfield County,Rate Per 100000,75.24202852508904
Case Counts by County,Gilpin County,Cases,0
Case Counts by County,Gilpin County,Rate Per 100000,NA
Case Counts by County,Grand County,Cases,4
Case Counts by County,Grand County,Rate Per 100000,NA
Case Counts by County,Grand Total County,Cases,4565
Case Counts by County,Grand Total County,Rate Per 100000,NA
Case Counts by County,Gunnison County,Cases,90
Case Counts by County,Gunnison County,Rate Per 100000,524.078495312409
Case Counts by County,Hinsdale County,Cases,1
Case Counts by County,Hinsdale County,Rate Per 100000,NA
Case Counts by County,Huerfano County,Cases,1
Case Counts by County,Huerfano County,Rate Per 100000,NA
Case Counts by County,Jackson County,Cases,0
Case Counts by County,Jackson County,Rate Per 100000,NA
Case Counts by County,Jefferson County,Cases,483
Case Counts by County,Jefferson County,Rate Per 100000,83.3490080087525
Case Counts by County,Kiowa County,Cases,0
Case Counts by County,Kiowa County,Rate Per 100000,NA
Case Counts by County,Kit Carson County,Cases,5
Case Counts by County,Kit Carson County,Rate Per 100000,69.8616738857063
Case Counts by County,La Plata County,Cases,25
Case Counts by County,La Plata County,Rate Per 100000,44.323883481375105
Case Counts by County,Lake County,Cases,3
Case Counts by County,Lake County,Rate Per 100000,NA
Case Counts by County,Larimer County,Cases,144
Case Counts by County,Larimer County,Rate Per 100000,41.10034764044046
Case Counts by County,Las Animas County,Cases,1
Case Counts by County,Las Animas County,Rate Per 100000,NA
Case Counts by County,Lincoln County,Cases,1
Case Counts by County,Lincoln County,Rate Per 100000,NA
Case Counts by County,Logan County,Cases,8
Case Counts by County,Logan County,Rate Per 100000,36.60657087947286
Case Counts by County,Mesa County,Cases,20
Case Counts by County,Mesa County,Rate Per 100000,13.018290698431297
Case Counts by County,Mineral County,Cases,2
Case Counts by County,Mineral County,Rate Per 100000,NA
Case Counts by County,Moffat County,Cases,3
Case Counts by County,Moffat County,Rate Per 100000,NA
Case Counts by County,Montezuma County,Cases,6
Case Counts by County,Montezuma County,Rate Per 100000,22.93665660002294
Case Counts by County,Montrose County,Cases,31
Case Counts by County,Montrose County,Rate Per 100000,73.35541883577852
Case Counts by County,Morgan County,Cases,16
Case Counts by County,Morgan County,Rate Per 100000,56.1344419885626
Case Counts by County,Otero County,Cases,3
Case Counts by County,Otero County,Rate Per 100000,NA
Case Counts by County,Ouray County,Cases,2
Case Counts by County,Ouray County,Rate Per 100000,NA
Case Counts by County,Park County,Cases,5
Case Counts by County,Park County,Rate Per 100000,26.944010346499972
Case Counts by County,Phillips County,Cases,3
Case Counts by County,Phillips County,Rate Per 100000,NA
Case Counts by County,Pitkin County,Cases,38
Case Counts by County,Pitkin County,Rate Per 100000,212.53985122210412
Case Counts by County,Prowers County,Cases,0
Case Counts by County,Prowers County,Rate Per 100000,NA
Case Counts by County,Pueblo County,Cases,36
Case Counts by County,Pueblo County,Rate Per 100000,21.541922975657627
Case Counts by County,Rio Blanco County,Cases,1
Case Counts by County,Rio Blanco County,Rate Per 100000,NA
Case Counts by County,Rio Grande County,Cases,5
Case Counts by County,Rio Grande County,Rate Per 100000,44.53946196329948
Case Counts by County,Routt County,Cases,29
Case Counts by County,Routt County,Rate Per 100000,112.91515788653973
Case Counts by County,Saguache County,Cases,3
Case Counts by County,Saguache County,Rate Per 100000,NA
Case Counts by County,San Juan County,Cases,0
Case Counts by County,San Juan County,Rate Per 100000,NA
Case Counts by County,San Miguel County,Cases,9
Case Counts by County,San Miguel County,Rate Per 100000,110.0648159471689
Case Counts by County,Sedgwick County,Cases,0
Case Counts by County,Sedgwick County,Rate Per 100000,NA
Case Counts by County,Summit County,Cases,43
Case Counts by County,Summit County,Rate Per 100000,138.8305943886611
Case Counts by County,Teller County,Cases,11
Case Counts by County,Teller County,Rate Per 100000,43.89465283320032
Case Counts by County,Unknown Or Pending County,Cases,211
Case Counts by County,Unknown Or Pending County,Rate Per 100000,NA
Case Counts by County,Washington County,Cases,1
Case Counts by County,Washington County,Rate Per 100000,NA
Case Counts by County,Weld County,Cases,424
Case Counts by County,Weld County,Rate Per 100000,134.92399387750555
Case Counts by County,Yuma County,Cases,2
Case Counts by County,Yuma County,Rate Per 100000,NA
Case Counts by County,Note,People who tested positive for COVID-19 in Colorado while visiting are included in the county where they were identified.,NA
Case Counts by County,Note,"County rates per 100,000 are calculated using 2018 population estimates from the Demography Section, Colorado Division of Local Government.",NA
Case Counts by County,Note,Rates are not shown for counties with fewer than 5 cases.,NA
Case Counts by County,Note,Caution should be used when interpreting rates in counties with small populations.,NA
Case Counts by County,Note,Some cases may still be under investigation and county not assigned yet.,NA
Case Counts by Age Group,0-9,Cases,45
Case Counts by Age Group,0-9,Percent,0.99
Case Counts by Age Group,10-19,Cases,83
Case Counts by Age Group,10-19,Percent,1.82
Case Counts by Age Group,20-29,Cases,623
Case Counts by Age Group,20-29,Percent,13.65
Case Counts by Age Group,30-39,Cases,737
Case Counts by Age Group,30-39,Percent,16.14
Case Counts by Age Group,40-49,Cases,724
