description,attribute,metric,value
State Data,Statewide,Cases,5655
State Data,Statewide,Hospitalizations,1162
State Data,Statewide,Counties,54
State Data,Statewide,People Tested,29199
State Data,Statewide,Deaths,193
State Data,Statewide,Outbreaks,48
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results.,NA
State Data,Note,Outbreaks are investigated at residential and non-hospital heathcare facilities.,NA
Case Counts by County,Adams County,Cases,417
Case Counts by County,Adams County,Rate Per 100000,81.52923028195036
Case Counts by County,Alamosa County,Cases,5
Case Counts by County,Alamosa County,Rate Per 100000,30.894710825506674
Case Counts by County,Arapahoe County,Cases,764
Case Counts by County,Arapahoe County,Rate Per 100000,117.29628981395335
Case Counts by County,Archuleta County,Cases,6
Case Counts by County,Archuleta County,Rate Per 100000,43.67765887748416
Case Counts by County,Baca County,Cases,9
Case Counts by County,Baca County,Rate Per 100000,253.73555117000282
Case Counts by County,Bent County,Cases,0
Case Counts by County,Bent County,Rate Per 100000,NA
Case Counts by County,Boulder County,Cases,207
Case Counts by County,Boulder County,Rate Per 100000,63.59915938502378
Case Counts by County,Broomfield County,Cases,52
Case Counts by County,Broomfield County,Rate Per 100000,74.870775920406615
Case Counts by County,Chaffee County,Cases,23
Case Counts by County,Chaffee County,Rate Per 100000,114.83922508488116
Case Counts by County,Cheyenne County,Cases,0
Case Counts by County,Cheyenne County,Rate Per 100000,NA
Case Counts by County,Clear Creek County,Cases,7
Case Counts by County,Clear Creek County,Rate Per 100000,72.44127082686536
Case Counts by County,Conejos County,Cases,0
Case Counts by County,Conejos County,Rate Per 100000,NA
Case Counts by County,Costilla County,Cases,3
Case Counts by County,Costilla County,Rate Per 100000,NA
Case Counts by County,Crowley County,Cases,1
Case Counts by County,Crowley County,Rate Per 100000,NA
Case Counts by County,Custer County,Cases,2
Case Counts by County,Custer County,Rate Per 100000,NA
Case Counts by County,Delta County,Cases,5
Case Counts by County,Delta County,Rate Per 100000,16.16239979312128
Case Counts by County,Denver County,Cases,927
Case Counts by County,Denver County,Rate Per 100000,129.14514828008475
Case Counts by County,Dolores County,Cases,0
Case Counts by County,Dolores County,Rate Per 100000,NA
Case Counts by County,Douglas County,Cases,244
Case Counts by County,Douglas County,Rate Per 100000,71.16980999994166
Case Counts by County,Eagle County,Cases,374
Case Counts by County,Eagle County,Rate Per 100000,681.698047864681
Case Counts by County,El Paso County,Cases,472
Case Counts by County,El Paso County,Rate Per 100000,66.06989130663008
Case Counts by County,Elbert County,Cases,10
Case Counts by County,Elbert County,Rate Per 100000,38.14173468609353
Case Counts by County,Fremont County,Cases,4
Case Counts by County,Fremont County,Rate Per 100000,NA
Case Counts by County,Garfield County,Cases,49
Case Counts by County,Garfield County,Rate Per 100000,81.93020883843029
Case Counts by County,Gilpin County,Cases,0
Case Counts by County,Gilpin County,Rate Per 100000,NA
Case Counts by County,Grand County,Cases,4
Case Counts by County,Grand County,Rate Per 100000,NA
Case Counts by County,Grand Total County,Cases,5655
Case Counts by County,Grand Total County,Rate Per 100000,NA
Case Counts by County,Gunnison County,Cases,98
Case Counts by County,Gunnison County,Rate Per 100000,570.6632504512899
