description,attribute,metric,value
State Data,Statewide,Cases,363
State Data,Statewide,Hospitalizations,44
State Data,Statewide,Counties,24
State Data,Statewide,People Tested,3680
State Data,Statewide,Deaths,4
State Data,Statewide,Rate Per 100000,6.374
Case Counts by County,*Unknown or pending,Rate Per 100000,NA
Case Counts by County,*Unknown or pending,Cases,20
Case Counts by County,Adams,Rate Per 100000,2.34503244
Case Counts by County,Adams,Cases,12
Case Counts by County,Alamosa,Rate Per 100000,NA
Case Counts by County,Alamosa,Cases,0
Case Counts by County,Arapahoe,Rate Per 100000,4.45117749
Case Counts by County,Arapahoe,Cases,29
Case Counts by County,Archuleta,Rate Per 100000,NA
Case Counts by County,Archuleta,Cases,0
Case Counts by County,Baca,Rate Per 100000,NA
Case Counts by County,Baca,Cases,0
Case Counts by County,Bent,Rate Per 100000,NA
Case Counts by County,Bent,Cases,0
Case Counts by County,Boulder,Rate Per 100000,4.915212583
Case Counts by County,Boulder,Cases,16
Case Counts by County,Broomfield,Rate Per 100000,2.893099957
Case Counts by County,Broomfield,Cases,2
Case Counts by County,Chaffee,Rate Per 100000,NA
Case Counts by County,Chaffee,Cases,0
Case Counts by County,Cheyenne,Rate Per 100000,NA
Case Counts by County,Cheyenne,Cases,0
Case Counts by County,Clear Creek,Rate Per 100000,20.70607723
Case Counts by County,Clear Creek,Cases,2
Case Counts by County,Conejos,Rate Per 100000,NA
Case Counts by County,Conejos,Cases,0
Case Counts by County,Costilla,Rate Per 100000,NA
Case Counts by County,Costilla,Cases,0
Case Counts by County,Crowley,Rate Per 100000,17.0794193
Case Counts by County,Crowley,Cases,1
Case Counts by County,Custer,Rate Per 100000,NA
Case Counts by County,Custer,Cases,0
Case Counts by County,Delta,Rate Per 100000,NA
Case Counts by County,Delta,Cases,0
Case Counts by County,Denver,Rate Per 100000,9.333270183
Case Counts by County,Denver,Cases,67
Case Counts by County,Dolores,Rate Per 100000,NA
Case Counts by County,Dolores,Cases,0
Case Counts by County,Douglas,Rate Per 100000,4.957178724
Case Counts by County,Douglas,Cases,17
Case Counts by County,Eagle,Rate Per 100000,111.1212314
Case Counts by County,Eagle,Cases,61
Case Counts by County,El Paso,Rate Per 100000,3.778675952
Case Counts by County,El Paso,Cases,27
Case Counts by County,Elbert,Rate Per 100000,NA
Case Counts by County,Elbert,Cases,0
Case Counts by County,Fremont,Rate Per 100000,NA
Case Counts by County,Fremont,Cases,0
Case Counts by County,Garfield,Rate Per 100000,6.682928459
Case Counts by County,Garfield,Cases,4
Case Counts by County,Gilpin,Rate Per 100000,NA
Case Counts by County,Gilpin,Cases,0
Case Counts by County,Grand,Rate Per 100000,19.35109334
Case Counts by County,Grand,Cases,3
