Name,Pop,Desc_,Attr_Date,Metric,Value,Rep_Date,ObjectId
Colorado,5763976,Weekly COVID-19 Antibody Test Data From Clinical Laboratories,04/12/2020,Number of positive tests,3,09/14/2020,1
Colorado,5763976,Weekly COVID-19 PCR Test Data From Clinical Laboratories,03/08/2020,People Tested at CDPHE State Lab,624,09/14/2020,2
Colorado,5763976,Weekly COVID-19 Antibody Test Data From Clinical Laboratories,04/12/2020,Number of negative tests,3,09/14/2020,3
Colorado,5763976,Weekly COVID-19 PCR Test Data From Clinical Laboratories,03/08/2020,People Tested at Non-CDPHE (Commerical) Labs,80,09/14/2020,4
Colorado,5763976,Daily COVID-19 PCR Test Data From Clinical Laboratories,04/02/2020,Total Tests per 100K People,31.5,09/14/2020,5
Colorado,5763976,Weekly COVID-19 PCR Test Data From Clinical Laboratories,03/15/2020,Percent Change in Weekly Positivity,-0.24,09/14/2020,6
Colorado,5763976,Weekly COVID-19 PCR Test Data From Clinical Laboratories,03/08/2020,Weekly Percent Positivity,0.116,09/14/2020,7
Colorado,5763976,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/27/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,6944,09/14/2020,8
Colorado,5763976,Weekly COVID-19 Antibody Test Data From Clinical Laboratories,04/12/2020,Weekly Percent Positivity,0.5,09/14/2020,9
Colorado,5763976,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/16/2020,Percent Positivity,0.072,09/14/2020,10
Colorado,5763976,Daily COVID-19 PCR Test Data From Clinical Laboratories,04/02/2020,People Tested at CDPHE State Lab,413,09/14/2020,11
Colorado,5763976,Daily COVID-19 PCR Test Data From Clinical Laboratories,04/07/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,21327,09/14/2020,12
Colorado,5763976,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/27/2020,7-Day Average Percent Positivity,0.139,09/14/2020,13
Colorado,5763976,Weekly COVID-19 PCR Test Data From Clinical Laboratories,03/08/2020,Cumulative People Tested at CDPHE State Lab,624,09/14/2020,14
Colorado,5763976,Daily COVID-19 PCR Test Data From Clinical Laboratories,04/18/2020,7-Day Average Percent Positivity,0.219,09/14/2020,15
Colorado,5763976,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/16/2020,Total Tests per 100K People,8,09/14/2020,16
Colorado,5763976,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/22/2020,Total Tests per 100K People,16,09/14/2020,17
Colorado,5763976,Weekly COVID-19 Antibody Test Data From Clinical Laboratories,04/12/2020,Cumulative Antibody Tests Performed,6,09/14/2020,18
Colorado,5763976,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/27/2020,3-Day Average Percent Positivity,0.166,09/14/2020,19
Colorado,5763976,Daily COVID-19 PCR Test Data From Clinical Laboratories,04/07/2020,7-Day Average Percent Positivity,0.184,09/14/2020,20
