OBJECTID,Name,Pop,Desc_,Attr_Date,Metric,Value,Rep_Date,Shape__Area,Shape__Length
1,Colorado,5694287,Positivity Data from Clinical Laboratories,03/10/2020,Count of people tested by CDPHE lab,68,05/14/2020,28.0394250010993,22.0199204177256
2,Colorado,5694287,Positivity Data from Clinical Laboratories,03/10/2020,Count of people tested by non-CDPHE (commercial) lab,2,05/14/2020,28.0394250010993,22.0199204177256
3,Colorado,5694287,Positivity Data from Clinical Laboratories,03/10/2020,Percent Positivity,8.6,05/14/2020,28.0394250010993,22.0199204177256
4,Colorado,5694287,Positivity Data from Clinical Laboratories,03/10/2020,Total Tests per 100k People,1.2,05/14/2020,28.0394250010993,22.0199204177256
5,Colorado,5694287,Positivity Data from Clinical Laboratories,03/11/2020,Count of people tested by CDPHE lab,125,05/14/2020,28.0394250010993,22.0199204177256
6,Colorado,5694287,Positivity Data from Clinical Laboratories,03/11/2020,Count of people tested by non-CDPHE (commercial) lab,3,05/14/2020,28.0394250010993,22.0199204177256
7,Colorado,5694287,Positivity Data from Clinical Laboratories,03/11/2020,Percent Positivity,14.8,05/14/2020,28.0394250010993,22.0199204177256
8,Colorado,5694287,Positivity Data from Clinical Laboratories,03/11/2020,Total Tests per 100k People,2.3,05/14/2020,28.0394250010993,22.0199204177256
9,Colorado,5694287,Positivity Data from Clinical Laboratories,03/12/2020,Count of people tested by CDPHE lab,134,05/14/2020,28.0394250010993,22.0199204177256
10,Colorado,5694287,Positivity Data from Clinical Laboratories,03/12/2020,Count of people tested by non-CDPHE (commercial) lab,1,05/14/2020,28.0394250010993,22.0199204177256
11,Colorado,5694287,Positivity Data from Clinical Laboratories,03/12/2020,Percent Positivity,6.7,05/14/2020,28.0394250010993,22.0199204177256
12,Colorado,5694287,Positivity Data from Clinical Laboratories,03/12/2020,Three-day Moving Average of Percent Positivity,10,05/14/2020,28.0394250010993,22.0199204177256
13,Colorado,5694287,Positivity Data from Clinical Laboratories,03/12/2020,Total Tests per 100k People,2.4,05/14/2020,28.0394250010993,22.0199204177256
14,Colorado,5694287,Positivity Data from Clinical Laboratories,03/13/2020,Count of people tested by CDPHE lab,150,05/14/2020,28.0394250010993,22.0199204177256
15,Colorado,5694287,Positivity Data from Clinical Laboratories,03/13/2020,Count of people tested by non-CDPHE (commercial) lab,42,05/14/2020,28.0394250010993,22.0199204177256
16,Colorado,5694287,Positivity Data from Clinical Laboratories,03/13/2020,Percent Positivity,14.1,05/14/2020,28.0394250010993,22.0199204177256
17,Colorado,5694287,Positivity Data from Clinical Laboratories,03/13/2020,Three-day Moving Average of Percent Positivity,11.9,05/14/2020,28.0394250010993,22.0199204177256
18,Colorado,5694287,Positivity Data from Clinical Laboratories,03/13/2020,Total Tests per 100k People,3.4,05/14/2020,28.0394250010993,22.0199204177256
19,Colorado,5694287,Positivity Data from Clinical Laboratories,03/14/2020,Count of people tested by CDPHE lab,147,05/14/2020,28.0394250010993,22.0199204177256
20,Colorado,5694287,Positivity Data from Clinical Laboratories,03/14/2020,Count of people tested by non-CDPHE (commercial) lab,32,05/14/2020,28.0394250010993,22.0199204177256
21,Colorado,5694287,Positivity Data from Clinical Laboratories,03/14/2020,Percent Positivity,15.6,05/14/2020,28.0394250010993,22.0199204177256
22,Colorado,5694287,Positivity Data from Clinical Laboratories,03/14/2020,Three-day Moving Average of Percent Positivity,12.1,05/14/2020,28.0394250010993,22.0199204177256
23,Colorado,5694287,Positivity Data from Clinical Laboratories,03/14/2020,Total Tests per 100k People,3.1,05/14/2020,28.0394250010993,22.0199204177256
24,Colorado,5694287,Positivity Data from Clinical Laboratories,03/15/2020,Count of people tested by CDPHE lab,258,05/14/2020,28.0394250010993,22.0199204177256
25,Colorado,5694287,Positivity Data from Clinical Laboratories,03/15/2020,Count of people tested by non-CDPHE (commercial) lab,45,05/14/2020,28.0394250010993,22.0199204177256
26,Colorado,5694287,Positivity Data from Clinical Laboratories,03/15/2020,Percent Positivity,11.2,05/14/2020,28.0394250010993,22.0199204177256
27,Colorado,5694287,Positivity Data from Clinical Laboratories,03/15/2020,Three-day Moving Average of Percent Positivity,13.6,05/14/2020,28.0394250010993,22.0199204177256
28,Colorado,5694287,Positivity Data from Clinical Laboratories,03/15/2020,Total Tests per 100k People,5.3,05/14/2020,28.0394250010993,22.0199204177256
29,Colorado,5694287,Positivity Data from Clinical Laboratories,03/16/2020,Count of people tested by CDPHE lab,355,05/14/2020,28.0394250010993,22.0199204177256
30,Colorado,5694287,Positivity Data from Clinical Laboratories,03/16/2020,Count of people tested by non-CDPHE (commercial) lab,106,05/14/2020,28.0394250010993,22.0199204177256
31,Colorado,5694287,Positivity Data from Clinical Laboratories,03/16/2020,Percent Positivity,6.9,05/14/2020,28.0394250010993,22.0199204177256
32,Colorado,5694287,Positivity Data from Clinical Laboratories,03/16/2020,Three-day Moving Average of Percent Positivity,11.3,05/14/2020,28.0394250010993,22.0199204177256
33,Colorado,5694287,Positivity Data from Clinical Laboratories,03/16/2020,Total Tests per 100k People,8.1,05/14/2020,28.0394250010993,22.0199204177256
34,Colorado,5694287,Positivity Data from Clinical Laboratories,03/17/2020,Count of people tested by CDPHE lab,650,05/14/2020,28.0394250010993,22.0199204177256
35,Colorado,5694287,Positivity Data from Clinical Laboratories,03/17/2020,Count of people tested by non-CDPHE (commercial) lab,86,05/14/2020,28.0394250010993,22.0199204177256
36,Colorado,5694287,Positivity Data from Clinical Laboratories,03/17/2020,Percent Positivity,3.4,05/14/2020,28.0394250010993,22.0199204177256
37,Colorado,5694287,Positivity Data from Clinical Laboratories,03/17/2020,Three-day Moving Average of Percent Positivity,7.2,05/14/2020,28.0394250010993,22.0199204177256
38,Colorado,5694287,Positivity Data from Clinical Laboratories,03/17/2020,Total Tests per 100k People,12.9,05/14/2020,28.0394250010993,22.0199204177256
39,Colorado,5694287,Positivity Data from Clinical Laboratories,03/18/2020,Count of people tested by CDPHE lab,332,05/14/2020,28.0394250010993,22.0199204177256
40,Colorado,5694287,Positivity Data from Clinical Laboratories,03/18/2020,Count of people tested by non-CDPHE (commercial) lab,192,05/14/2020,28.0394250010993,22.0199204177256
41,Colorado,5694287,Positivity Data from Clinical Laboratories,03/18/2020,Percent Positivity,10.9,05/14/2020,28.0394250010993,22.0199204177256
42,Colorado,5694287,Positivity Data from Clinical Laboratories,03/18/2020,Three-day Moving Average of Percent Positivity,7.1,05/14/2020,28.0394250010993,22.0199204177256
43,Colorado,5694287,Positivity Data from Clinical Laboratories,03/18/2020,Total Tests per 100k People,9.2,05/14/2020,28.0394250010993,22.0199204177256
44,Colorado,5694287,Positivity Data from Clinical Laboratories,03/19/2020,Count of people tested by CDPHE lab,506,05/14/2020,28.0394250010993,22.0199204177256
45,Colorado,5694287,Positivity Data from Clinical Laboratories,03/19/2020,Count of people tested by non-CDPHE (commercial) lab,301,05/14/2020,28.0394250010993,22.0199204177256
46,Colorado,5694287,Positivity Data from Clinical Laboratories,03/19/2020,Percent Positivity,8.9,05/14/2020,28.0394250010993,22.0199204177256
47,Colorado,5694287,Positivity Data from Clinical Laboratories,03/19/2020,Three-day Moving Average of Percent Positivity,7.7,05/14/2020,28.0394250010993,22.0199204177256
48,Colorado,5694287,Positivity Data from Clinical Laboratories,03/19/2020,Total Tests per 100k People,14.2,05/14/2020,28.0394250010993,22.0199204177256
