Name,Pop,Desc_,Attr_Date,Metric,Value,Rep_Date,ObjectId
Colorado,5694287,Positivity Data from Clinical Laboratories,04/19/2020,Percent Positivity,18.9,07/20/2020,1
Colorado,5694287,Positivity Data from Clinical Laboratories,04/19/2020,Three-day Moving Average of Percent Positivity,18.9,07/20/2020,2
Colorado,5694287,Positivity Data from Clinical Laboratories,04/19/2020,Total Tests per 100k People,26,07/20/2020,3
Colorado,5694287,Positivity Data from Clinical Laboratories,04/20/2020,Count of people tested by CDPHE lab,452,07/20/2020,4
Colorado,5694287,Positivity Data from Clinical Laboratories,04/20/2020,Count of people tested by non-CDPHE (commercial) lab,1032,07/20/2020,5
Colorado,5694287,Positivity Data from Clinical Laboratories,04/20/2020,Percent Positivity,16.9,07/20/2020,6
Colorado,5694287,Positivity Data from Clinical Laboratories,04/20/2020,Three-day Moving Average of Percent Positivity,16.4,07/20/2020,7
Colorado,5694287,Positivity Data from Clinical Laboratories,04/20/2020,Total Tests per 100k People,26.1,07/20/2020,8
Colorado,5694287,Positivity Data from Clinical Laboratories,04/21/2020,Count of people tested by CDPHE lab,519,07/20/2020,9
Colorado,5694287,Positivity Data from Clinical Laboratories,04/21/2020,Count of people tested by non-CDPHE (commercial) lab,1649,07/20/2020,10
Colorado,5694287,Positivity Data from Clinical Laboratories,04/21/2020,Percent Positivity,16,07/20/2020,11
Colorado,5694287,Positivity Data from Clinical Laboratories,04/21/2020,Three-day Moving Average of Percent Positivity,17.2,07/20/2020,12
Colorado,5694287,Positivity Data from Clinical Laboratories,04/21/2020,Total Tests per 100k People,38.1,07/20/2020,13
Colorado,5694287,Positivity Data from Clinical Laboratories,04/22/2020,Count of people tested by CDPHE lab,468,07/20/2020,14
Colorado,5694287,Positivity Data from Clinical Laboratories,04/22/2020,Count of people tested by non-CDPHE (commercial) lab,1443,07/20/2020,15
Colorado,5694287,Positivity Data from Clinical Laboratories,04/22/2020,Percent Positivity,17.8,07/20/2020,16
Colorado,5694287,Positivity Data from Clinical Laboratories,04/22/2020,Three-day Moving Average of Percent Positivity,16.9,07/20/2020,17
Colorado,5694287,Positivity Data from Clinical Laboratories,04/22/2020,Total Tests per 100k People,33.6,07/20/2020,18
Colorado,5694287,Positivity Data from Clinical Laboratories,04/23/2020,Count of people tested by CDPHE lab,804,07/20/2020,19
Colorado,5694287,Positivity Data from Clinical Laboratories,04/23/2020,Count of people tested by non-CDPHE (commercial) lab,4458,07/20/2020,20
Colorado,5694287,Positivity Data from Clinical Laboratories,04/23/2020,Percent Positivity,15.2,07/20/2020,21
Colorado,5694287,Positivity Data from Clinical Laboratories,04/23/2020,Three-day Moving Average of Percent Positivity,16.4,07/20/2020,22
Colorado,5694287,Positivity Data from Clinical Laboratories,04/23/2020,Total Tests per 100k People,92.4,07/20/2020,23
Colorado,5694287,Positivity Data from Clinical Laboratories,04/24/2020,Count of people tested by CDPHE lab,692,07/20/2020,24
Colorado,5694287,Positivity Data from Clinical Laboratories,04/24/2020,Count of people tested by non-CDPHE (commercial) lab,2265,07/20/2020,25
Colorado,5694287,Positivity Data from Clinical Laboratories,04/24/2020,Percent Positivity,19.2,07/20/2020,26
Colorado,5694287,Positivity Data from Clinical Laboratories,04/24/2020,Three-day Moving Average of Percent Positivity,17.4,07/20/2020,27
Colorado,5694287,Positivity Data from Clinical Laboratories,04/24/2020,Total Tests per 100k People,51.9,07/20/2020,28
Colorado,5694287,Positivity Data from Clinical Laboratories,04/25/2020,Count of people tested by CDPHE lab,761,07/20/2020,29
Colorado,5694287,Positivity Data from Clinical Laboratories,04/25/2020,Count of people tested by non-CDPHE (commercial) lab,2482,07/20/2020,30
Colorado,5694287,Positivity Data from Clinical Laboratories,04/25/2020,Percent Positivity,13.5,07/20/2020,31
Colorado,5694287,Positivity Data from Clinical Laboratories,04/25/2020,Three-day Moving Average of Percent Positivity,16,07/20/2020,32
Colorado,5694287,Positivity Data from Clinical Laboratories,04/25/2020,Total Tests per 100k People,57,07/20/2020,33
Colorado,5694287,Positivity Data from Clinical Laboratories,04/26/2020,Count of people tested by CDPHE lab,609,07/20/2020,34
Colorado,5694287,Positivity Data from Clinical Laboratories,04/26/2020,Count of people tested by non-CDPHE (commercial) lab,2057,07/20/2020,35
Colorado,5694287,Positivity Data from Clinical Laboratories,04/26/2020,Percent Positivity,14.5,07/20/2020,36
Colorado,5694287,Positivity Data from Clinical Laboratories,04/26/2020,Three-day Moving Average of Percent Positivity,15.8,07/20/2020,37
Colorado,5694287,Positivity Data from Clinical Laboratories,04/26/2020,Total Tests per 100k People,46.8,07/20/2020,38
Colorado,5694287,Positivity Data from Clinical Laboratories,04/27/2020,Count of people tested by CDPHE lab,813,07/20/2020,39
Colorado,5694287,Positivity Data from Clinical Laboratories,04/27/2020,Count of people tested by non-CDPHE (commercial) lab,1896,07/20/2020,40
Colorado,5694287,Positivity Data from Clinical Laboratories,04/27/2020,Percent Positivity,15.8,07/20/2020,41
Colorado,5694287,Positivity Data from Clinical Laboratories,04/27/2020,Three-day Moving Average of Percent Positivity,14.6,07/20/2020,42
Colorado,5694287,Positivity Data from Clinical Laboratories,04/27/2020,Total Tests per 100k People,47.6,07/20/2020,43
Colorado,5694287,Positivity Data from Clinical Laboratories,04/28/2020,Count of people tested by CDPHE lab,489,07/20/2020,44
Colorado,5694287,Positivity Data from Clinical Laboratories,04/28/2020,Count of people tested by non-CDPHE (commercial) lab,2273,07/20/2020,45
Colorado,5694287,Positivity Data from Clinical Laboratories,04/28/2020,Percent Positivity,14.2,07/20/2020,46
Colorado,5694287,Positivity Data from Clinical Laboratories,04/28/2020,Three-day Moving Average of Percent Positivity,14.9,07/20/2020,47
Colorado,5694287,Positivity Data from Clinical Laboratories,04/28/2020,Total Tests per 100k People,48.5,07/20/2020,48
Colorado,5694287,Positivity Data from Clinical Laboratories,04/29/2020,Count of people tested by CDPHE lab,499,07/20/2020,49
Colorado,5694287,Positivity Data from Clinical Laboratories,04/29/2020,Count of people tested by non-CDPHE (commercial) lab,2824,07/20/2020,50
Colorado,5694287,Positivity Data from Clinical Laboratories,05/19/2020,Percent Positivity,6.1,07/20/2020,51
Colorado,5694287,Positivity Data from Clinical Laboratories,03/10/2020,Count of people tested by CDPHE lab,68,07/20/2020,52
Colorado,5694287,Positivity Data from Clinical Laboratories,04/09/2020,Percent Positivity,19.9,07/20/2020,53
Colorado,5694287,Positivity Data from Clinical Laboratories,03/30/2020,Percent Positivity,20.8,07/20/2020,54
Colorado,5694287,Positivity Data from Clinical Laboratories,03/20/2020,Percent Positivity,12.7,07/20/2020,55
Colorado,5694287,Positivity Data from Clinical Laboratories,03/20/2020,Three-day Moving Average of Percent Positivity,10.7,07/20/2020,56
Colorado,5694287,Positivity Data from Clinical Laboratories,03/20/2020,Total Tests per 100k People,14.6,07/20/2020,57
Colorado,5694287,Positivity Data from Clinical Laboratories,03/21/2020,Count of people tested by CDPHE lab,889,07/20/2020,58
Colorado,5694287,Positivity Data from Clinical Laboratories,03/21/2020,Count of people tested by non-CDPHE (commercial) lab,533,07/20/2020,59
Colorado,5694287,Positivity Data from Clinical Laboratories,03/21/2020,Percent Positivity,7.5,07/20/2020,60
Colorado,5694287,Positivity Data from Clinical Laboratories,03/21/2020,Three-day Moving Average of Percent Positivity,9.6,07/20/2020,61
Colorado,5694287,Positivity Data from Clinical Laboratories,03/21/2020,Total Tests per 100k People,25,07/20/2020,62
Colorado,5694287,Positivity Data from Clinical Laboratories,03/22/2020,Count of people tested by CDPHE lab,372,07/20/2020,63
Colorado,5694287,Positivity Data from Clinical Laboratories,03/22/2020,Count of people tested by non-CDPHE (commercial) lab,552,07/20/2020,64
Colorado,5694287,Positivity Data from Clinical Laboratories,03/22/2020,Percent Positivity,12.2,07/20/2020,65
Colorado,5694287,Positivity Data from Clinical Laboratories,03/22/2020,Three-day Moving Average of Percent Positivity,10.8,07/20/2020,66
Colorado,5694287,Positivity Data from Clinical Laboratories,04/09/2020,Three-day Moving Average of Percent Positivity,20.4,07/20/2020,67
Colorado,5694287,Positivity Data from Clinical Laboratories,04/29/2020,Percent Positivity,24.3,07/20/2020,68
Colorado,5694287,Positivity Data from Clinical Laboratories,05/09/2020,Percent Positivity,8.3,07/20/2020,69
Colorado,5694287,Positivity Data from Clinical Laboratories,03/30/2020,Three-day Moving Average of Percent Positivity,19.2,07/20/2020,70
Colorado,5694287,Positivity Data from Clinical Laboratories,03/30/2020,Total Tests per 100k People,24.7,07/20/2020,71
Colorado,5694287,Positivity Data from Clinical Laboratories,03/31/2020,Count of people tested by CDPHE lab,328,07/20/2020,72
Colorado,5694287,Positivity Data from Clinical Laboratories,03/31/2020,Count of people tested by non-CDPHE (commercial) lab,1365,07/20/2020,73
Colorado,5694287,Positivity Data from Clinical Laboratories,03/31/2020,Percent Positivity,21.1,07/20/2020,74
Colorado,5694287,Positivity Data from Clinical Laboratories,03/31/2020,Three-day Moving Average of Percent Positivity,20.3,07/20/2020,75
Colorado,5694287,Positivity Data from Clinical Laboratories,03/31/2020,Total Tests per 100k People,29.7,07/20/2020,76
Colorado,5694287,Positivity Data from Clinical Laboratories,04/01/2020,Count of people tested by CDPHE lab,369,07/20/2020,77
Colorado,5694287,Positivity Data from Clinical Laboratories,04/01/2020,Count of people tested by non-CDPHE (commercial) lab,1221,07/20/2020,78
Colorado,5694287,Positivity Data from Clinical Laboratories,04/01/2020,Percent Positivity,22.7,07/20/2020,79
Colorado,5694287,Positivity Data from Clinical Laboratories,04/01/2020,Three-day Moving Average of Percent Positivity,21.5,07/20/2020,80
Colorado,5694287,Positivity Data from Clinical Laboratories,04/01/2020,Total Tests per 100k People,27.9,07/20/2020,81
Colorado,5694287,Positivity Data from Clinical Laboratories,04/02/2020,Count of people tested by CDPHE lab,408,07/20/2020,82
Colorado,5694287,Positivity Data from Clinical Laboratories,04/02/2020,Count of people tested by non-CDPHE (commercial) lab,1410,07/20/2020,83
Colorado,5694287,Positivity Data from Clinical Laboratories,04/02/2020,Percent Positivity,22.4,07/20/2020,84
Colorado,5694287,Positivity Data from Clinical Laboratories,04/02/2020,Three-day Moving Average of Percent Positivity,22.1,07/20/2020,85
Colorado,5694287,Positivity Data from Clinical Laboratories,04/02/2020,Total Tests per 100k People,31.9,07/20/2020,86
Colorado,5694287,Positivity Data from Clinical Laboratories,04/03/2020,Count of people tested by CDPHE lab,246,07/20/2020,87
Colorado,5694287,Positivity Data from Clinical Laboratories,04/03/2020,Count of people tested by non-CDPHE (commercial) lab,1722,07/20/2020,88
Colorado,5694287,Positivity Data from Clinical Laboratories,04/03/2020,Percent Positivity,17.9,07/20/2020,89
Colorado,5694287,Positivity Data from Clinical Laboratories,04/03/2020,Three-day Moving Average of Percent Positivity,21,07/20/2020,90
Colorado,5694287,Positivity Data from Clinical Laboratories,04/03/2020,Total Tests per 100k People,34.6,07/20/2020,91
Colorado,5694287,Positivity Data from Clinical Laboratories,04/04/2020,Count of people tested by CDPHE lab,308,07/20/2020,92
Colorado,5694287,Positivity Data from Clinical Laboratories,04/04/2020,Count of people tested by non-CDPHE (commercial) lab,1812,07/20/2020,93
Colorado,5694287,Positivity Data from Clinical Laboratories,04/04/2020,Percent Positivity,16.6,07/20/2020,94
Colorado,5694287,Positivity Data from Clinical Laboratories,04/04/2020,Three-day Moving Average of Percent Positivity,19,07/20/2020,95
Colorado,5694287,Positivity Data from Clinical Laboratories,04/04/2020,Total Tests per 100k People,37.2,07/20/2020,96
Colorado,5694287,Positivity Data from Clinical Laboratories,04/05/2020,Count of people tested by CDPHE lab,224,07/20/2020,97
Colorado,5694287,Positivity Data from Clinical Laboratories,04/05/2020,Count of people tested by non-CDPHE (commercial) lab,978,07/20/2020,98
Colorado,5694287,Positivity Data from Clinical Laboratories,04/05/2020,Percent Positivity,16.6,07/20/2020,99
Colorado,5694287,Positivity Data from Clinical Laboratories,04/05/2020,Three-day Moving Average of Percent Positivity,17.1,07/20/2020,100
Colorado,5694287,Positivity Data from Clinical Laboratories,04/05/2020,Total Tests per 100k People,21.1,07/20/2020,101
Colorado,5694287,Positivity Data from Clinical Laboratories,04/06/2020,Count of people tested by CDPHE lab,143,07/20/2020,102
Colorado,5694287,Positivity Data from Clinical Laboratories,04/06/2020,Count of people tested by non-CDPHE (commercial) lab,1494,07/20/2020,103
Colorado,5694287,Positivity Data from Clinical Laboratories,04/06/2020,Percent Positivity,13.9,07/20/2020,104
Colorado,5694287,Positivity Data from Clinical Laboratories,04/06/2020,Three-day Moving Average of Percent Positivity,15.7,07/20/2020,105
Colorado,5694287,Positivity Data from Clinical Laboratories,04/06/2020,Total Tests per 100k People,28.8,07/20/2020,106
Colorado,5694287,Positivity Data from Clinical Laboratories,04/07/2020,Count of people tested by CDPHE lab,145,07/20/2020,107
Colorado,5694287,Positivity Data from Clinical Laboratories,04/07/2020,Count of people tested by non-CDPHE (commercial) lab,1089,07/20/2020,108
Colorado,5694287,Positivity Data from Clinical Laboratories,04/07/2020,Percent Positivity,18.3,07/20/2020,109
