OBJECTID,Name,Pop,Desc_,Attr_Date,Metric,Value,Rep_Date,Shape__Area,Shape__Length
1,Colorado,5694287,Positivity Data from Clinical Laboratories,03/10/2020,Count of people tested by CDPHE lab,68,05/07/2020,28.0394250010993,22.0199204177256
2,Colorado,5694287,Positivity Data from Clinical Laboratories,03/10/2020,Count of people tested by non-CDPHE (commercial) lab,2,05/07/2020,28.0394250010993,22.0199204177256
3,Colorado,5694287,Positivity Data from Clinical Laboratories,03/10/2020,Percent Positivity,8.6,05/07/2020,28.0394250010993,22.0199204177256
4,Colorado,5694287,Positivity Data from Clinical Laboratories,03/10/2020,Total Tests per 100k People,1.2,05/07/2020,28.0394250010993,22.0199204177256
5,Colorado,5694287,Positivity Data from Clinical Laboratories,03/11/2020,Count of people tested by CDPHE lab,125,05/07/2020,28.0394250010993,22.0199204177256
6,Colorado,5694287,Positivity Data from Clinical Laboratories,03/11/2020,Count of people tested by non-CDPHE (commercial) lab,3,05/07/2020,28.0394250010993,22.0199204177256
7,Colorado,5694287,Positivity Data from Clinical Laboratories,03/11/2020,Percent Positivity,14.8,05/07/2020,28.0394250010993,22.0199204177256
8,Colorado,5694287,Positivity Data from Clinical Laboratories,03/11/2020,Total Tests per 100k People,2.3,05/07/2020,28.0394250010993,22.0199204177256
9,Colorado,5694287,Positivity Data from Clinical Laboratories,03/12/2020,Count of people tested by CDPHE lab,135,05/07/2020,28.0394250010993,22.0199204177256
10,Colorado,5694287,Positivity Data from Clinical Laboratories,03/12/2020,Count of people tested by non-CDPHE (commercial) lab,1,05/07/2020,28.0394250010993,22.0199204177256
11,Colorado,5694287,Positivity Data from Clinical Laboratories,03/12/2020,Percent Positivity,6.6,05/07/2020,28.0394250010993,22.0199204177256
12,Colorado,5694287,Positivity Data from Clinical Laboratories,03/12/2020,Three-day Moving Average of Percent Positivity,10,05/07/2020,28.0394250010993,22.0199204177256
13,Colorado,5694287,Positivity Data from Clinical Laboratories,03/12/2020,Total Tests per 100k People,2.4,05/07/2020,28.0394250010993,22.0199204177256
14,Colorado,5694287,Positivity Data from Clinical Laboratories,03/13/2020,Count of people tested by CDPHE lab,151,05/07/2020,28.0394250010993,22.0199204177256
15,Colorado,5694287,Positivity Data from Clinical Laboratories,03/13/2020,Count of people tested by non-CDPHE (commercial) lab,42,05/07/2020,28.0394250010993,22.0199204177256
16,Colorado,5694287,Positivity Data from Clinical Laboratories,03/13/2020,Percent Positivity,14,05/07/2020,28.0394250010993,22.0199204177256
17,Colorado,5694287,Positivity Data from Clinical Laboratories,03/13/2020,Three-day Moving Average of Percent Positivity,11.8,05/07/2020,28.0394250010993,22.0199204177256
18,Colorado,5694287,Positivity Data from Clinical Laboratories,03/13/2020,Total Tests per 100k People,3.4,05/07/2020,28.0394250010993,22.0199204177256
19,Colorado,5694287,Positivity Data from Clinical Laboratories,03/14/2020,Count of people tested by CDPHE lab,147,05/07/2020,28.0394250010993,22.0199204177256
