OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,8109,Saguache,8,SAGUACHE,109,3,6837,-1,3,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",13273871024,529491.079
2,Sedgwick County,8115,Sedgwick,8,SEDGWICK,115,0,2275,0,0,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",2491281577,208249.5687
3,Cheyenne County,8017,Cheyenne,8,CHEYENNE,17,0,1862,0,0,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",7613550870,373455.8318
4,Custer County,8027,Custer,8,CUSTER,27,2,4928,-1,2,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",3100361575,290994.589
5,La Plata County,8067,La Plata,8,LA PLATA,67,63,56403,111.7,63,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",6966607867,371001.0277
6,San Juan County,8111,San Juan,8,SAN JUAN,111,0,762,0,0,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",1611963627,209303.3468
7,Pitkin County,8097,Pitkin,8,PITKIN,97,52,17879,290.84,51,1,2,2,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",4204962607,360368.0505
8,Park County,8093,Park,8,PARK,93,14,18557,75.44,14,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",9525822458,477017.5205
9,Alamosa County,8003,Alamosa,8,ALAMOSA,3,14,16184,86.51,14,0,2,2,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",2987314188,224661.4372
10,Prowers County,8099,Prowers,8,PROWERS,99,3,12078,-1,1,2,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",6861386118,333326.7522
11,Moffat County,8081,Moffat,8,MOFFAT,81,6,13181,45.52,6,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",21378597682,615436.3637
12,Jefferson County,8059,Jefferson,8,JEFFERSON,59,1466,579491,252.98,1431,35,88,85,3,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",3379799619,374132.1175
13,Summit County,8117,Summit,8,SUMMIT,117,151,30973,487.52,144,7,1,1,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",2707648430,325660.7754
14,Pueblo County,8101,Pueblo,8,PUEBLO,101,158,167116,94.55,157,1,11,11,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",10064732291,426421.3459
15,Boulder County,8013,Boulder,8,BOULDER,13,685,325476,210.46,679,6,46,44,2,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",3280791024,290982.5021
16,Denver County,8031,Denver,8,DENVER,31,3546,717797,494.01,3428,118,188,166,22,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",680063925.7,341638.1275
17,Montrose County,8085,Montrose,8,MONTROSE,85,107,42260,253.19,106,1,11,11,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",9473395349,544456.7418
18,Eagle County,8037,Eagle,8,EAGLE,37,547,54863,997.03,552,-5,7,7,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",7395854605,390147.7781
19,San Miguel County,8113,San Miguel,8,SAN MIGUEL,113,20,8177,244.59,20,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",5384599735,409162.4398
20,Costilla County,8023,Costilla,8,COSTILLA,23,3,3809,-1,3,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",5044736712,326902.58
21,Broomfield County,8014,Broomfield,8,BROOMFIELD,14,178,69453,256.29,167,11,16,12,4,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",148046030.4,146355.8305
22,Chaffee County,8015,Chaffee,8,CHAFFEE,15,68,20028,339.52,67,1,16,16,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",4328004367,386588.2056
23,Crowley County,8025,Crowley,8,CROWLEY,25,4,5857,-1,4,0,1,1,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",3373467236,243673.4216
