"","time","prey","predators"
"1",1,100,10
"2",2,110.217082998276,10.5662064666562
"3",3,120.705070729392,11.2809033610227
"4",4,131.137877836539,12.1709714215425
"5",5,141.068735857542,13.2662124330498
"6",6,149.925581672054,14.5972582091443
"7",7,157.028046441929,16.1915091919704
"8",8,161.640051380143,18.0664903255534
"9",9,163.067066320654,20.2206269997634
"10",10,160.794652580103,22.6227607904408
"11",11,154.640682792618,25.2037887174166
"12",12,144.866476742054,27.8553860164414
"13",13,132.18714387782,30.4399223630435
"14",14,117.651523747363,32.8115256993743
"15",15,102.425066527706,34.8421643808109
"16",16,87.5599410943029,36.443138963862
"17",17,73.8354600704707,37.5747460742122
"18",18,61.7056734259959,38.2429549249446
"19",19,51.3360054794238,38.4874774745559
"20",20,42.6847176149798,38.3673052615642
"21",21,35.5891764712519,37.9481796670276
"22",22,29.8343474909687,37.2939421695119
"23",23,25.1977863759802,36.4617074294634
"24",24,21.4743382951019,35.4999165636631
"25",25,18.486823228686,34.4481788973385
"26",26,16.0882662780287,33.3380678516842
"27",27,14.1598355208747,32.1942884135289
"28",28,12.6070123651448,31.0358986218164
"29",29,11.3553799441553,29.8774285507
"30",30,10.3467062303831,28.7298359185899
"31",31,9.53559152753146,27.6012886721966
"32",32,8.8867259909188,26.4977906718498
"33",33,8.37270653818465,25.4236746780881
"34",34,7.97232994719141,24.3819868571143
"35",35,7.66927597263147,23.3747852214667
"36",36,7.45109911262708,22.4033709919912
"37",37,7.3084626561827,21.4684677741726
"38",38,7.23456014349583,20.5703608606195
"39",39,7.22468282088144,19.7090057292456
"40",40,7.27590336652704,18.8841123887747
"41",41,7.38684805157515,18.0952119791109
"42",42,7.5575400997241,17.3417094484468
"43",43,7.7893017168615,16.6229254480517
"44",44,8.08470459827836,15.9381300268879
"45",45,8.44756165402847,15.2865701187095
"46",46,8.88295512325662,14.6674923481297
"47",47,9.39729772796725,14.0801623809444
"48",48,9.99842467277963,13.5238818204565
"49",49,10.6957151010985,12.9980034936871
"50",50,11.5002420717155,12.5019458617594
"51",51,12.4249502288588,12.0352072261461
"52",52,13.484860055119,11.5973803794673
"53",53,14.6972968175602,11.1881683647973
"54",54,16.0821409994073,10.8074020612619
"55",55,17.6620947405942,10.4550603991922
"56",56,19.4629555859933,10.1312941698485
"57",57,21.513884071841,9.83645459673358
"58",58,23.8476450580898,9.5711280776377
"59",59,26.5007933443934,9.33617889964092
"60",60,29.513761331022,9.13280218464824
"61",61,32.930789142762,8.96258992230301
"62",62,36.7996143609493,8.82761369944506
"63",63,41.1708077642345,8.73052865677918
"64",64,46.0966015603317,8.67470428771906
"65",65,51.6290060028173,8.66438888538654
"66",66,57.8169484037209,8.70491558026398
"67",67,64.7021026325389,8.80295851366362
"68",68,72.3129717996835,8.96684795862171
"69",69,80.6567916456949,9.20694827990348
"70",70,89.7087314385121,9.53609713555981
"71",71,99.3980064003484,9.97008361168771
"72",72,109.590809316432,10.528111127352
"73",73,120.070675331599,11.2331272440627
"74",74,130.518217621003,12.1118041628168
"75",75,140.494332983616,13.1938081254848
"76",76,149.434275312571,14.5098086611733
"77",77,156.663109489415,16.0875631517813
"78",78,161.445804338733,17.9454343023216
"79",79,163.081750761373,20.0832915983281
"80",80,161.041363698434,22.4720328581769
"81",81,155.118689603947,25.0449679646776
"82",82,145.546767799838,27.695984242562
"83",83,133.015404422092,30.2887219174412
"84",84,118.558691007746,32.6770887376623
"85",85,103.341915544595,34.7312687624895
"86",86,88.4296262930635,36.3597698664355
"87",87,74.6202983936137,37.5199012286604
"88",88,62.3872661764052,38.2151685287493
"89",89,51.9111651195373,38.4836710267084
"90",90,43.1601435146382,38.3836330996487
"91",91,35.9766874679423,37.9806711285953
"92",92,30.1474317273142,37.3389102384811
"93",93,25.4495357561289,36.5159458381919
"94",94,21.6763560842722,35.5607620491964
"95",95,18.6489375532626,34.5134794002311
"96",96,16.2185018743444,33.4061275989741
"97",97,14.2646281388603,32.2637892750562
"98",98,12.6914516536085,31.1058301176409
"99",99,11.4234642402545,29.9470237777061
"100",100,10.4015541752595,28.7985192404893
"101",101,9.57962069028244,27.6686364110747
"102",102,8.92182506183098,26.5634918949861
"103",103,8.40033576784442,25.4875084153799
"104",104,7.99361744688564,24.4438001761521
"105",105,7.68508642161717,23.4344776800547
"106",106,7.46208682376128,22.4608823444966
"107",107,7.31510984079282,21.5237688391368
"108",108,7.23721525543297,20.62344426067
"109",109,7.22357777823711,19.7598815277803
"110",110,7.2711695048467,18.9328035283534
"111",111,7.37852785493006,18.1417506369648
"112",112,7.54559506567236,17.3861341756707
"113",113,7.77361683282956,16.665278871855
"114",114,8.0650902485093,15.9784569814203
"115",115,8.42375293973553,15.324916165713
"116",116,8.85460925198644,14.7039024970899
"117",117,9.36398943311837,14.1146800050633
"118",118,9.95963983061768,13.5565476895871
"119",119,10.6508426007319,13.028854884655
"120",120,11.4485639872969,12.5310157018269
"121",121,12.3656303486484,12.0625232306145
"122",122,13.416930849895,11.6229641441998
"123",123,14.619645008828,11.2120343719713
"124",124,15.9934919474718,10.8295565512264
"125",125,17.5609960671122,10.4755000616766
"126",126,19.3477606652675,10.1500046000921
"127",127,21.3827361321798,9.85340843057253
"128",128,23.6984640007307,9.58628270604627
"129",129,26.3312666718501,9.34947357411766
"130",130,29.3213424860493,9.14415449245614
"131",131,32.7127074048249,8.97189139528018
"132",132,36.5529020108075,8.83472428009711
"133",133,40.8923524047551,8.73526973623249
"134",134,45.7832341533044,8.67684994356317
"135",135,51.2776385613257,8.66365487345267
"136",136,57.4247793355038,8.70094557098438
"137",137,64.2669066368116,8.79530715381788
"138",138,71.8335206506101,8.95495980980007
"139",139,80.1334133324869,9.19013323583062
"140",140,89.1440468340732,9.5135021346728
"141",141,98.7978607967475,9.94066328178836
"142",142,108.965393673655,10.4906014106804
"143",143,119.435772798234,11.1860318008056
"144",144,129.896399283538,12.0534111548597
"145",145,139.91569585309,13.1222753288987
"146",146,148.936409008705,14.4233092726431
"147",147,156.289047381583,15.9846199258955
"148",148,161.240171956981,17.8253583895732
"149",149,163.083515026502,19.9468083515192
"150",150,161.274758150199,22.3219089449203
"151",151,155.584246727271,24.8863933203326
"152",152,146.216849816671,27.536374251991
"153",153,133.836859079909,30.1368181156859
"154",154,119.46311439873,32.5414788169665
"155",155,104.260001331433,34.618837148333
"156",156,89.3037337196225,36.2746825622356
"157",157,75.4114221142468,37.4633539101942
"158",158,63.0757106071931,38.1858419446274
"159",159,52.4928794462426,38.4785648828789
"160",160,43.6414086152168,38.3989159002348
"161",161,36.3691382689605,38.0123633206948
"162",162,30.4645716039996,37.3832917618569
"163",163,25.7045020987742,36.5697778963676
"164",164,21.8809350678238,35.6213391116148
"165",165,18.8130630911739,34.5786228226761
"166",166,16.3503232219403,33.4741137949083
"167",167,14.3706700085826,32.3332803127094
"168",168,12.7768766409017,31.1757988183092
"169",169,11.4923186610781,30.0166909903691
"170",170,10.4570005449662,28.8673019286677
"171",171,9.62413059001185,27.7361000251791
"172",172,8.95730786991626,26.6293215661998
"173",173,8.42827448477197,25.5514784328553
"174",174,8.01515649545024,24.5057544300634
"175",175,7.70110412602193,23.4943131380872
"176",176,7.47324998978357,22.5185364739304
"177",177,7.32191667313493,21.5792095489238
"178",178,7.24001818316777,20.6766641764047
"179",179,7.22261226885625,19.8108905449834
"180",180,7.26656994481679,18.9816245216153
"181",181,7.37033958333336,18.1884157609697
"182",182,7.53378443931096,17.4306815662399
"183",183,7.75807331947005,16.7077509562493
"184",184,8.04562806930791,16.018898595254
"185",185,8.4001111446656,15.3633729289093
"186",186,8.82644917524923,14.7404195420101
"187",187,9.33089022640728,14.1493008721488
"188",188,9.92109218022215,13.5893133598654
"189",189,10.606240691571,13.0598028864884
"190",190,11.397195769014,12.5601792538401
"191",191,12.306666155485,12.0899303808124
"192",192,13.3494104551696,11.6486368661332
